,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.clube_id,DE,DS,FS,GS,SG,A,CA,FC,FF,GC,I,PI,FD,FT,G,DP,PC,CV,PP,PS
0,32,4.04,Guto Ferreira,4.27,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,37245,3.17,-0.25,9,G. Ferreira,6,10.63,7,guto-ferreira,Augusto Sérgio Ferreira,Coritiba,294,,,,,,,,,,,,,,,,,,,,
1,32,5.84,Mano Menezes,5.24,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,37281,5.41,-0.11,29,M. Menezes,6,10.33,7,mano-menezes,Luis Antônio Venker de Menezes,Internacional,285,,,,,,,,,,,,,,,,,,,,
2,32,8.69,Fábio,3.35,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,37656,8.5,0.77,32,Fábio,1,11.02,7,fabio,Fábio Deivson Lopes Maciel,Fluminense,266,95.0,,4.0,38.0,10.0,,2.0,,,,,,,,,,,,,
3,32,5.51,Marcelo Boeck,2.87,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,37788,0.0,0.0,12,M. Boeck,1,4.64,6,marcelo-boeck,Marcelo Boeck,Fortaleza,356,38.0,,3.0,17.0,3.0,,2.0,,,,,,,,,,1.0,,,
4,32,3.88,Júlio César,0.0,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,38133,0.0,0.0,0,J. César,1,5.0,6,julio-cesar,Júlio César de Souza Santos,Bragantino,280,,,,,,,,,,,,,,,,,,,,
5,32,7.23,Jô,2.44,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,38138,8.0,1.01,12,Jô,5,5.74,7,jo,João Alves de Assis Silva,Ceará,354,,3.0,11.0,,,,2.0,11.0,6.0,,6.0,42.0,7.0,,3.0,,,1.0,1.0,
6,32,6.21,Miranda,3.43,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,38141,6.3,0.93,15,Miranda,3,6.85,6,miranda,João Miranda de Souza Filho,São Paulo,276,,24.0,9.0,,5.0,,4.0,14.0,3.0,,,36.0,2.0,,,,,,,
7,32,1.28,Rafinha,2.87,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,38144,0.0,0.0,25,Rafinha,2,8.17,7,rafinha,Márcio Rafael Ferreira de Souza,São Paulo,276,,42.0,18.0,,5.0,3.0,6.0,26.0,1.0,,,150.0,,,,,,,,
8,32,1.31,Muriqui,3.27,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,38225,0.0,0.0,22,Muriqui,5,8.86,6,muriqui,Luiz Guilherme da Conceição Silva,Avaí,314,,19.0,26.0,,,1.0,2.0,13.0,10.0,,6.0,75.0,1.0,1.0,4.0,,,,,1.0
9,32,1.44,Fábio Santos,4.9,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,38229,0.0,0.0,16,F. Santos,2,6.95,7,fabio-santos,Fábio Santos Romeu,Corinthians,264,,24.0,9.0,,7.0,,1.0,9.0,,,,101.0,,,3.0,,,,,
