,atletas.foto,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,atletas.pontos_num,atletas.apelido_abreviado,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,atletas.slug,atletas.minimo_para_valorizar,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PI,CV,PP,PS,DE,GC,GS,PC,SG,DP
0,https://s.sde.globo.com/media/person_role/2022/10/28/photo_FORMATO.png,7,286,Juventude,0.0,Celso Juarez Roth,0,Celso Roth,0.0,C. Roth,6.0,34,36856,celso-roth,,0.0,6,,,,,,,,,,,,,,,,,,,,
1,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,7,294,Coritiba,0.01,Augusto Sérgio Ferreira,11,Guto Ferreira,3.43,G. Ferreira,10.54,34,37245,guto-ferreira,4.16,4.05,6,,,,,,,,,,,,,,,,,,,,
2,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,7,285,Internacional,0.18,Luis Antônio Venker de Menezes,31,Mano Menezes,4.69,M. Menezes,10.18,34,37281,mano-menezes,5.14,5.15,6,,,,,,,,,,,,,,,,,,,,
3,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,6,266,Fluminense,1.2,Fábio Deivson Lopes Maciel,34,Fábio,9.0,Fábio,11.08,34,37656,fabio,8.98,3.45,1,,2.0,,,,,4.0,,,,,,,,102.0,,40.0,,11.0,
4,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,6,356,Fortaleza,0.0,Marcelo Boeck,12,Marcelo Boeck,0.0,M. Boeck,4.64,34,37788,marcelo-boeck,5.53,2.87,1,,2.0,,,,,3.0,,,,,,,,38.0,,17.0,1.0,3.0,
5,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,6,280,Bragantino,0.0,Júlio César de Souza Santos,0,Júlio César,0.0,J. César,5.0,34,38133,julio-cesar,3.88,0.0,1,,,,,,,,,,,,,,,,,,,,
6,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,6,354,Ceará,0.0,João Alves de Assis Silva,13,Jô,0.0,Jô,4.47,34,38138,jo,-0.53,2.22,5,,2.0,3.0,14.0,7.0,6.0,14.0,,3.0,7.0,51.0,1.0,1.0,,,,,,,
7,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,6,276,São Paulo,0.0,João Miranda de Souza Filho,15,Miranda,0.0,Miranda,6.85,34,38141,miranda,6.33,3.43,3,,4.0,24.0,14.0,2.0,3.0,9.0,,,,36.0,,,,,,,,5.0,
8,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,7,276,São Paulo,-0.15,Márcio Rafael Ferreira de Souza,27,Rafinha,2.3,Rafinha,8.39,34,38144,rafinha,3.1,2.85,2,3.0,6.0,48.0,27.0,,1.0,18.0,,,,168.0,,,,,,,,5.0,
9,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,7,314,Avaí,-0.05,Luiz Guilherme da Conceição Silva,23,Muriqui,1.6,Muriqui,8.81,34,38225,muriqui,2.47,3.2,5,1.0,2.0,19.0,13.0,1.0,11.0,28.0,1.0,4.0,6.0,77.0,,,1.0,,,,,,
10,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,7,264,Corinthians,-0.05,Fábio Santos Romeu,17,Fábio Santos,1.6,F. Santos,6.9,34,38229,fabio-santos,2.22,4.71,2,,1.0,26.0,10.0,,,10.0,,3.0,,111.0,,,,,,,,7.0,
11,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,7,327,América-MG,1.5,Wellington Pereira do Nascimento,15,Wellington Paulista,9.0,W. Paulista,5.41,34,38279,wellington-paulista,8.15,1.43,5,,1.0,1.0,9.0,2.0,3.0,6.0,1.0,2.0,4.0,25.0,,,,,,,,,
12,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,6,293,Athlético-PR,0.0,Thiago Heleno Henrique Ferreira,10,Thiago Heleno,0.0,T. Heleno,5.43,34,38394,thiago-heleno,-1.05,1.83,3,,4.0,11.0,9.0,1.0,5.0,4.0,,,,63.0,,1.0,,,,,,3.0,
13,https://s.sde.globo.com/media/person_role/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,6,264,Corinthians,-1.9,Renato Soares de Oliveira Augusto,20,Renato Augusto,0.2,R. Augusto,6.57,34,38398,renato-augusto,1.15,3.34,4,3.0,,29.0,12.0,7.0,10.0,19.0,,1.0,1.0,133.0,,,,,,,,,
14,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,6,262,Flamengo,0.0,Diego Alves Carreira,3,Diego Alves,0.0,D. Alves,6.31,34,38509,diego-alves,2.34,1.0,1,,,,,,,,,,,,,,,3.0,,5.0,,1.0,
15,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,6,266,Fluminense,-0.36,Felipe Melo de Carvalho,21,Felipe Melo,4.0,F. Melo,6.18,34,38545,felipe-melo,4.21,1.61,3,,6.0,10.0,15.0,,1.0,13.0,,,,49.0,,,,,,,,6.0,
16,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,5,266,Fluminense,0.0,Matheus Ferraz Pereira,0,Matheus Ferraz,0.0,M. Ferraz,3.0,34,38632,matheus-ferraz,2.34,0.0,3,,,,,,,,,,,,,,,,,,,,
17,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,6,262,Flamengo,0.0,Filipe Luís Kasmirski,9,Filipe Luís,0.0,F. Luís,6.48,34,38750,filipe-luis,5.88,3.37,2,,1.0,17.0,4.0,,2.0,8.0,,,,35.0,,,,,,,,2.0,
18,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,6,282,Atlético-MG,0.0,Mariano Ferreira Filho,20,Mariano,0.0,Mariano,8.02,34,38877,mariano,2.0,4.41,2,1.0,5.0,47.0,15.0,,1.0,12.0,,,,155.0,,,,,,,,9.0,
19,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,7,262,Flamengo,0.0,Diego Ribas da Cunha,17,Diego,0.0,Diego,3.75,34,38909,diego,2.83,1.72,4,,3.0,19.0,17.0,1.0,2.0,17.0,,1.0,1.0,45.0,,,,,,,,,
20,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,5,282,Atlético-MG,0.0,Givanildo Vieira de Souza,25,Hulk,0.0,Hulk,18.99,34,39148,hulk,4.3,7.0,5,2.0,5.0,11.0,35.0,17.0,35.0,59.0,4.0,12.0,15.0,169.0,,,,,,,,,
21,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,7,314,Avaí,-0.78,José Renato da Silva Júnior,14,Renato,-0.4,Renato,3.34,34,39572,renato,0.18,2.13,4,,2.0,13.0,10.0,5.0,9.0,25.0,1.0,,4.0,90.0,,,,,,,,,
22,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,7,327,América-MG,0.02,Vagner Carmo Mancini,33,Vagner Mancini,3.51,V. Mancini,8.3,34,39850,vagner-mancini,4.04,4.1,6,,,,,,,,,,,,,,,,,,,,
23,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,7,262,Flamengo,0.0,Dorival Silvestre Júnior,32,Dorival Júnior,0.0,D. Júnior,9.84,34,40990,dorival-junior,4.73,4.95,6,,,,,,,,,,,,,,,,,,,,
24,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,6,266,Fluminense,0.0,Willian Gomes de Siqueira,28,Willian,0.0,Willian,4.11,34,42116,willian,1.39,1.64,5,1.0,2.0,13.0,8.0,5.0,1.0,3.0,,3.0,2.0,21.0,,,,,,,,,
25,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,6,294,Coritiba,0.0,Egídio de Araújo Pereira Júnior,17,Egídio,0.0,Egídio,11.75,34,42145,egidio,1.94,4.09,2,2.0,1.0,31.0,12.0,7.0,3.0,17.0,,1.0,2.0,162.0,1.0,,,,,,1.0,4.0,
26,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,7,264,Corinthians,-0.71,Cássio Roberto Ramos,27,Cássio,2.5,Cássio,11.48,34,42234,cassio,3.55,4.91,1,,1.0,1.0,,,,4.0,,,,,,,,91.0,,21.0,,12.0,
27,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,7,282,Atlético-MG,0.1,Alexi Stival,14,Cuca,5.71,Cuca,11.4,34,42411,cuca,6.26,4.59,6,,,,,,,,,,,,,,,,,,,,
28,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,7,264,Corinthians,-1.41,Fagner Conserva Lemos,12,Fagner,-1.8,Fagner,8.17,34,42500,fagner,-0.37,3.31,2,2.0,2.0,19.0,10.0,,,5.0,,,1.0,104.0,,,,,,,,4.0,
29,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,7,293,Athlético-PR,0.0,Luiz Felipe Scolari,28,Luiz Felipe Scolari,0.0,L. Scolari,9.76,34,43618,luiz-felipe-scolari,4.56,4.36,6,,,,,,,,,,,,,,,,,,,,
30,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,6,266,Fluminense,0.0,David Braz de Oliveira Filho,11,David Braz,0.0,D. Braz,6.53,34,50317,david-braz,11.58,2.21,3,,2.0,12.0,11.0,1.0,4.0,2.0,,1.0,,43.0,3.0,,,,,,,3.0,
31,https://s.glbimg.com/es/sde/f/2022/07/15/7596fc0c82f0af26689bc225bb5d8716_FORMATO.png,2,282,Atlético-MG,-0.36,Alan Kardec de Sousa Pereira Júnior,12,Alan Kardec,0.0,A. Kardec,6.61,34,50347,alan-kardec,0.87,2.25,5,,,2.0,6.0,2.0,5.0,4.0,1.0,2.0,,11.0,,,,,,,,,
32,https://s.glbimg.com/es/sde/f/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,7,356,Fortaleza,0.0,Christian Chagas Tarouco,29,Titi,0.0,Titi,6.48,34,50353,titi,4.44,3.37,3,,3.0,37.0,37.0,,3.0,24.0,,,2.0,115.0,,,,,,,,13.0,
33,https://s.glbimg.com/es/sde/f/2022/08/16/763e722867751c09a3568b9a8117bb29_FORMATO.jpeg,6,327,América-MG,0.0,Carlos Eduardo Santos Oliveira,0,Eduardo,0.0,Eduardo,4.0,34,50645,eduardo,3.11,0.0,2,,,,,,,,,,,,,,,,,,,,
34,https://s.glbimg.com/es/sde/f/2022/02/23/cb5893cb9455c5aab2d21fd3f512ece2_FORMATO.png,5,294,Coritiba,0.0,Henrique Adriano Buss,16,Henrique,0.0,Henrique,5.07,34,50856,henrique,2.66,1.73,3,,4.0,18.0,12.0,3.0,6.0,4.0,1.0,,1.0,66.0,1.0,,,,1.0,,2.0,3.0,
35,https://s.glbimg.com/es/sde/f/2022/02/21/5a0a36ab5f18930dc3a619724138d367_FORMATO.png,6,293,Athlético-PR,0.0,Marlos Romero Bonfim,6,Marlos,0.0,Marlos,3.15,34,50879,marlos,0.18,0.48,4,,,2.0,1.0,1.0,,2.0,,,,14.0,,,,,,,,,
36,https://s.glbimg.com/es/sde/f/2022/03/02/2c74555af9089b55a230b00443763cf4_FORMATO.jpeg,7,290,Goiás,0.0,Luiz Diallison de Souza Alves,15,Apodi,0.0,Apodi,5.18,34,51042,apodi,0.4,2.17,4,1.0,3.0,13.0,20.0,3.0,5.0,15.0,,1.0,1.0,31.0,,,1.0,,,,,,
37,https://s.glbimg.com/es/sde/f/2021/05/28/50f29a94dff6b578111f33d689953f3c_FORMATO.png,6,1371,Cuiabá,1.29,Walter Leandro Capeloza Artune,24,Walter,13.0,Walter,13.05,34,51413,walter,12.55,4.3,1,,,3.0,,,,3.0,,,,,,,,84.0,,21.0,,7.0,
38,https://s.sde.globo.com/media/person_role/2022/04/27/9ac23014ff9196c4c2a10d652798dcfa_FORMATO.png,7,264,Corinthians,-0.21,Giuliano Victor de Paula,26,Giuliano,0.5,Giuliano,4.72,34,51548,giuliano,1.1,1.44,4,2.0,2.0,21.0,14.0,2.0,9.0,13.0,,,2.0,74.0,,,,,,,,,
39,https://s.sde.globo.com/media/person_role/2022/04/25/e994fa1ddcbf61530f2598311908c471_FORMATO.png,6,262,Flamengo,0.0,Everton Augusto de Barros Ribeiro,27,Everton Ribeiro,0.0,E. Ribeiro,9.08,34,51772,everton-ribeiro,4.74,4.07,4,4.0,,41.0,26.0,10.0,5.0,53.0,2.0,2.0,1.0,161.0,,,,,,,,,
