,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.nome,atletas.posicao_id,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.preco_num,atletas.media_num,atletas.rodada_id,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,DE,DS,FS,GS,SG,A,CA,FC,FD,FF,PC,PI,I,CV,FT,G,PP,PS,GC,DP
0,1,2.61,36856,286,7,Celso Juarez Roth,6,Celso Roth,celso-roth,1.87,Juventude,5.35,1.87,35,https://s.sde.globo.com/media/person_role/2022/10/28/photo_FORMATO.png,C. Roth,-0.65,,,,,,,,,,,,,,,,,,,,
1,12,6.36,37245,294,7,Augusto Sérgio Ferreira,6,Guto Ferreira,guto-ferreira,5.83,Coritiba,11.06,4.2,35,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,G. Ferreira,0.52,,,,,,,,,,,,,,,,,,,,
2,32,2.27,37281,285,7,Luis Antônio Venker de Menezes,6,Mano Menezes,mano-menezes,1.2,Internacional,9.69,5.03,35,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,M. Menezes,-0.49,,,,,,,,,,,,,,,,,,,,
3,34,9.07,37656,266,7,Fábio Deivson Lopes Maciel,1,Fábio,fabio,0.0,Fluminense,11.08,3.45,35,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Fábio,0.0,102.0,,4.0,40.0,11.0,,2.0,,,,,,,,,,,,,
4,12,5.56,37788,356,6,Marcelo Boeck,1,Marcelo Boeck,marcelo-boeck,0.0,Fortaleza,4.64,2.87,35,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,M. Boeck,0.0,38.0,,3.0,17.0,3.0,,2.0,,,,1.0,,,,,,,,,
5,0,3.88,38133,280,6,Júlio César de Souza Santos,1,Júlio César,julio-cesar,0.0,Bragantino,5.0,0.0,35,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,J. César,0.0,,,,,,,,,,,,,,,,,,,,
6,13,-0.39,38138,354,7,João Alves de Assis Silva,5,Jô,jo,0.0,Ceará,4.47,2.22,35,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,Jô,0.0,,3.0,14.0,,,,2.0,14.0,7.0,6.0,,51.0,7.0,1.0,,3.0,1.0,,,
7,15,6.37,38141,276,6,João Miranda de Souza Filho,3,Miranda,miranda,0.0,São Paulo,6.85,3.43,35,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,Miranda,0.0,,24.0,9.0,,5.0,,4.0,14.0,2.0,3.0,,36.0,,,,,,,,
8,28,0.71,38144,276,7,Márcio Rafael Ferreira de Souza,2,Rafinha,rafinha,-0.6,São Paulo,7.94,2.73,35,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Rafinha,-0.45,,48.0,18.0,,5.0,3.0,6.0,27.0,,1.0,,174.0,,,,,,,,
9,23,2.46,38225,314,7,Luiz Guilherme da Conceição Silva,5,Muriqui,muriqui,0.0,Avaí,8.81,3.2,35,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,Muriqui,0.0,,19.0,28.0,,,1.0,2.0,13.0,1.0,11.0,,77.0,6.0,,1.0,4.0,,1.0,,
