,atletas.foto,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.pontos_num,atletas.apelido_abreviado,atletas.atleta_id,atletas.posicao_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.nome,atletas.slug,atletas.rodada_id,CA,DE,DS,FS,GS,SG,A,CV,FC,FD,FF,FT,G,I,PI,PP,PS,DP,PC,GC
0,https://s.sde.globo.com/media/person_role/2022/10/28/photo_FORMATO.png,Juventude,1.5,Celso Roth,1.13,C. Roth,36856,6,5.08,7,-0.27,2,,286,Celso Juarez Roth,celso-roth,36,,,,,,,,,,,,,,,,,,,,
1,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,Coritiba,4.33,Guto Ferreira,5.92,G. Ferreira,37245,6,11.28,7,0.22,13,,294,Augusto Sérgio Ferreira,guto-ferreira,36,,,,,,,,,,,,,,,,,,,,
2,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,Internacional,5.09,Mano Menezes,7.14,M. Menezes,37281,6,10.73,6,1.04,33,,285,Luis Antônio Venker de Menezes,mano-menezes,36,,,,,,,,,,,,,,,,,,,,
3,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Fluminense,3.41,Fábio,2.0,Fábio,37656,1,10.14,7,-0.94,35,,266,Fábio Deivson Lopes Maciel,fabio,36,2.0,105.0,,4.0,41.0,11.0,,,,,,,,,,,,,,
4,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,Fortaleza,2.87,Marcelo Boeck,0.0,M. Boeck,37788,1,4.64,6,0.0,12,,356,Marcelo Boeck,marcelo-boeck,36,2.0,38.0,,3.0,17.0,3.0,,,,,,,,,,,,,1.0,
5,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,Bragantino,0.0,Júlio César,0.0,J. César,38133,1,5.0,6,0.0,0,,280,Júlio César de Souza Santos,julio-cesar,36,,,,,,,,,,,,,,,,,,,,
6,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,Ceará,2.28,Jô,3.0,Jô,38138,5,4.97,7,0.5,14,,354,João Alves de Assis Silva,jo,36,2.0,,4.0,15.0,,,,1.0,16.0,9.0,6.0,,3.0,8.0,55.0,1.0,,,,
7,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,São Paulo,3.43,Miranda,0.0,Miranda,38141,3,6.85,6,0.0,15,,276,João Miranda de Souza Filho,miranda,36,4.0,,24.0,9.0,,5.0,,,14.0,2.0,3.0,,,,36.0,,,,,
8,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,São Paulo,2.64,Rafinha,0.0,Rafinha,38144,2,8.04,6,0.1,29,,276,Márcio Rafael Ferreira de Souza,rafinha,36,6.0,,51.0,19.0,,5.0,3.0,1.0,29.0,,1.0,,,,179.0,,,,,
9,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,Avaí,3.04,Muriqui,-0.6,Muriqui,38225,5,8.48,6,-0.33,24,,314,Luiz Guilherme da Conceição Silva,muriqui,36,2.0,,19.0,28.0,,,1.0,,14.0,1.0,11.0,1.0,4.0,6.0,80.0,,1.0,,,
10,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,Corinthians,4.71,Fábio Santos,6.5,F. Santos,38229,2,7.82,3,0.68,19,,264,Fábio Santos Romeu,fabio-santos,36,2.0,,31.0,13.0,,8.0,,,11.0,,,,3.0,,129.0,,,,,
