,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.media_num,atletas.apelido,atletas.status_id,atletas.rodada_id,atletas.slug,atletas.posicao_id,atletas.jogos_num,atletas.foto,atletas.variacao_num,atletas.nome,atletas.atleta_id,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.apelido_abreviado,A,CA,DS,FC,FD,FF,FS,FT,G,I,PI,PP,DE,DP,GC,GS,PC,SG,CV,PS
0,286,5.86,4.52,2.51,Celso Roth,7,37,celso-roth,6,3,https://s.sde.globo.com/media/person_role/2022/10/28/photo_FORMATO.png,0.78,Celso Juarez Roth,36856,Juventude,,C. Roth,,,,,,,,,,,,,,,,,,,,
1,294,10.66,3.15,4.25,Guto Ferreira,7,37,guto-ferreira,6,14,https://s.glbimg.com/es/sde/f/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,-0.62,Augusto Sérgio Ferreira,37245,Coritiba,,G. Ferreira,,,,,,,,,,,,,,,,,,,,
2,285,10.73,0.0,5.09,Mano Menezes,7,37,mano-menezes,6,33,https://s.glbimg.com/es/sde/f/2022/04/20/e2710d5e2f652b8154c927ba13d68369_FORMATO.png,0.0,Luis Antônio Venker de Menezes,37281,Internacional,,M. Menezes,,,,,,,,,,,,,,,,,,,,
3,266,10.58,6.0,3.48,Fábio,7,37,fabio,1,36,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,0.44,Fábio Deivson Lopes Maciel,37656,Fluminense,,Fábio,,2.0,,,,,4.0,,,,,,106.0,,,41.0,,12.0,,
4,356,4.64,0.0,2.87,Marcelo Boeck,6,37,marcelo-boeck,1,12,https://s.glbimg.com/es/sde/f/2022/02/23/34de12a5651c918b60321caf78ecbfa7_FORMATO.png,0.0,Marcelo Boeck,37788,Fortaleza,,M. Boeck,,2.0,,,,,3.0,,,,,,38.0,,,17.0,1.0,3.0,,
5,280,5.0,0.0,0.0,Júlio César,6,37,julio-cesar,1,0,https://s.glbimg.com/es/sde/f/2022/05/05/9b1825e6eb8df8afa08e56d3f539fd63_FORMATO.png,0.0,Júlio César de Souza Santos,38133,Bragantino,,J. César,,,,,,,,,,,,,,,,,,,,
6,354,4.62,1.3,2.21,Jô,7,37,jo,5,15,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,-0.35,João Alves de Assis Silva,38138,Ceará,,Jô,,2.0,5.0,18.0,9.0,7.0,15.0,,3.0,8.0,56.0,1.0,,,,,,,1.0,
7,276,6.85,0.0,3.43,Miranda,6,37,miranda,3,15,https://s.glbimg.com/es/sde/f/2022/03/01/63cdbc67a76c583cd60a4368a8c9441e_FORMATO.png,0.0,João Miranda de Souza Filho,38141,São Paulo,,Miranda,,4.0,24.0,14.0,2.0,3.0,9.0,,,,36.0,,,,,,,5.0,,
8,276,8.04,0.0,2.64,Rafinha,7,37,rafinha,2,29,https://s.glbimg.com/es/sde/f/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,0.0,Márcio Rafael Ferreira de Souza,38144,São Paulo,,Rafinha,3.0,6.0,51.0,29.0,,1.0,19.0,,,,179.0,,,,,,,5.0,1.0,
9,314,8.36,0.0,2.92,Muriqui,6,37,muriqui,5,25,https://s.glbimg.com/es/sde/f/2022/02/24/4df18fe9d1a25d570f6c5f99adc76327_FORMATO.png,-0.12,Luiz Guilherme da Conceição Silva,38225,Avaí,,Muriqui,1.0,2.0,19.0,14.0,1.0,11.0,28.0,1.0,4.0,6.0,80.0,,,,,,,,,1.0
10,264,7.82,0.0,4.71,Fábio Santos,6,37,fabio-santos,2,19,https://s.sde.globo.com/media/person_role/2022/04/27/a698af6f4d4843e3d21f96d87aa76ef7_FORMATO.png,0.0,Fábio Santos Romeu,38229,Corinthians,,F. Santos,,2.0,31.0,11.0,,,13.0,,3.0,,129.0,,,,,,,8.0,,
11,327,4.0,-0.1,1.25,Wellington Paulista,6,37,wellington-paulista,5,18,https://s.glbimg.com/es/sde/f/2022/02/25/12f12e3c03d86cbfec605b70666faaf3_FORMATO.png,-0.21,Wellington Pereira do Nascimento,38279,América-MG,,W. Paulista,,1.0,1.0,11.0,3.0,4.0,7.0,1.0,2.0,4.0,32.0,,,,,,,,,
12,293,5.51,0.0,1.59,Thiago Heleno,6,37,thiago-heleno,3,12,https://s.glbimg.com/es/sde/f/2021/05/02/f69df2ecdf5d2a9d11697c61673c4358_FORMATO.png,0.0,Thiago Heleno Henrique Ferreira,38394,Athlético-PR,,T. Heleno,,4.0,15.0,10.0,1.0,5.0,4.0,,,,70.0,1.0,,,,,,3.0,1.0,
13,264,7.3,0.0,3.33,Renato Augusto,2,37,renato-augusto,4,22,https://s.sde.globo.com/media/person_role/2022/04/27/df30c3d9066a2e16c6625e3aa0a64436_FORMATO.png,0.0,Renato Soares de Oliveira Augusto,38398,Corinthians,,R. Augusto,3.0,,31.0,15.0,8.0,11.0,21.0,1.0,1.0,2.0,142.0,,,,,,,,,
14,262,6.31,0.0,1.0,Diego Alves,6,37,diego-alves,1,3,https://s.glbimg.com/es/sde/f/2022/03/03/ebf5983aad74aded51b2bdca5bed278f_FORMATO.png,0.0,Diego Alves Carreira,38509,Flamengo,,D. Alves,,,,,,,,,,,,,3.0,,,5.0,,1.0,,
15,266,6.3,5.0,1.71,Felipe Melo,6,37,felipe-melo,3,23,https://s.glbimg.com/es/sde/f/2022/02/24/ae51c505f4d9ceba09c22ba954cca2bf_FORMATO.png,0.62,Felipe Melo de Carvalho,38545,Fluminense,,F. Melo,,6.0,10.0,15.0,,1.0,14.0,,,,50.0,,,,,,,7.0,,
16,266,3.0,0.0,0.0,Matheus Ferraz,5,37,matheus-ferraz,3,0,https://s.glbimg.com/es/sde/f/2022/04/20/0cf7c39e0e85080dc2234671994e19d9_FORMATO.png,0.0,Matheus Ferraz Pereira,38632,Fluminense,,M. Ferraz,,,,,,,,,,,,,,,,,,,,
17,262,6.48,0.0,3.37,Filipe Luís,6,37,filipe-luis,2,9,https://s.sde.globo.com/media/person_role/2022/04/25/369bf71d74f60350b1da899775cdd41b_FORMATO.png,0.0,Filipe Luís Kasmirski,38750,Flamengo,,F. Luís,,1.0,17.0,4.0,,2.0,8.0,,,,35.0,,,,,,,2.0,,
18,282,8.45,4.9,4.36,Mariano,7,37,mariano,2,23,https://s.glbimg.com/es/sde/f/2022/07/15/c04eede8e289c2e2a9d0b82097512fdc_FORMATO.png,0.24,Mariano Ferreira Filho,38877,Atlético-MG,,Mariano,2.0,5.0,51.0,17.0,,3.0,12.0,,,1.0,190.0,,,,,,,10.0,,
19,262,3.36,0.0,1.65,Diego,6,37,diego,4,18,https://s.glbimg.com/es/sde/f/2022/04/25/a4a5d6ac853b270c7af13df3bcc44ee5_FORMATO.png,0.0,Diego Ribas da Cunha,38909,Flamengo,,Diego,,3.0,20.0,18.0,1.0,2.0,19.0,,1.0,1.0,50.0,,,,,,1.0,,,
20,282,18.99,0.0,7.0,Hulk,5,37,hulk,5,25,https://s.sde.globo.com/media/person_role/2022/07/15/ee2237ff2b55e16e4263c51c7626431e_FORMATO.png,0.0,Givanildo Vieira de Souza,39148,Atlético-MG,,Hulk,2.0,5.0,11.0,35.0,17.0,35.0,59.0,4.0,12.0,15.0,169.0,,,,,,,,,
21,314,3.33,0.0,1.96,Renato,6,37,renato,4,15,https://s.glbimg.com/es/sde/f/2022/02/24/c65bdd88b41fe9f8ddb3c5be562e45a9_FORMATO.png,0.0,José Renato da Silva Júnior,39572,Avaí,,Renato,,2.0,13.0,10.0,5.0,9.0,25.0,1.0,,4.0,94.0,,,,,,,,,
22,327,8.27,2.56,4.18,Vagner Mancini,7,37,vagner-mancini,6,36,https://s.glbimg.com/es/sde/f/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,-0.63,Vagner Carmo Mancini,39850,América-MG,,V. Mancini,,,,,,,,,,,,,,,,,,,,
23,262,9.66,3.81,4.78,Dorival Júnior,6,37,dorival-junior,6,35,https://s.glbimg.com/es/sde/f/2022/03/28/d28c444ff6eaf5f7b58d9f2ef2bd5075_FORMATO.png,0.22,Dorival Silvestre Júnior,40990,Flamengo,,D. Júnior,,,,,,,,,,,,,,,,,,,,
24,266,4.11,0.0,1.64,Willian,6,37,willian,5,28,https://s.glbimg.com/es/sde/f/2022/04/20/49ddf4ceba0c02ddb6fc62fb80ffa3dd_FORMATO.png,0.0,Willian Gomes de Siqueira,42116,Fluminense,,Willian,1.0,2.0,13.0,8.0,5.0,1.0,3.0,,3.0,2.0,21.0,,,,,,,,,
25,294,11.32,-0.1,4.06,Egídio,6,37,egidio,2,20,https://s.glbimg.com/es/sde/f/2022/02/23/c73f6de76388d7abc83e4fe10be2059a_FORMATO.png,-1.33,Egídio de Araújo Pereira Júnior,42145,Coritiba,,Egídio,2.0,1.0,32.0,12.0,7.0,4.0,17.0,,1.0,2.0,166.0,,,,,,1.0,6.0,1.0,
26,264,11.06,0.0,4.79,Cássio,7,37,cassio,1,30,https://s.glbimg.com/es/sde/f/2022/04/27/cea7970cc55ced32c922d0eb160757ad_FORMATO.png,-1.62,Cássio Roberto Ramos,42234,Corinthians,,Cássio,,2.0,1.0,,,,5.0,,,,,,101.0,,,24.0,,13.0,,
27,282,11.79,8.09,4.59,Cuca,7,37,cuca,6,17,https://s.glbimg.com/es/sde/f/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,0.7,Alexi Stival,42411,Atlético-MG,,Cuca,,,,,,,,,,,,,,,,,,,,
28,264,9.74,0.0,3.4,Fagner,6,37,fagner,2,14,https://s.glbimg.com/es/sde/f/2022/04/27/95fc5f697734bd603edc509a2d4bba7c_FORMATO.png,0.0,Fagner Conserva Lemos,42500,Corinthians,,Fagner,2.0,3.0,23.0,11.0,,,7.0,,,2.0,120.0,,,,,,,5.0,,
29,293,9.44,2.71,4.22,Luiz Felipe Scolari,7,37,luiz-felipe-scolari,6,31,https://s.glbimg.com/es/sde/f/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_FORMATO.png,0.04,Luiz Felipe Scolari,43618,Athlético-PR,,L. Scolari,,,,,,,,,,,,,,,,,,,,
30,266,6.53,0.0,2.21,David Braz,6,37,david-braz,3,11,https://s.glbimg.com/es/sde/f/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,0.0,David Braz de Oliveira Filho,50317,Fluminense,,D. Braz,,2.0,12.0,11.0,1.0,4.0,2.0,,1.0,,43.0,,,,,,,3.0,3.0,
