"","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.minimo_para_valorizar","atletas.slug","atletas.apelido","atletas.apelido_abreviado","atletas.nome","atletas.foto","atletas.clube.id.full.name","DS","FC","FF","FS","PI","CA","FD","SG","A","I","FT","G","DE","GS","PC","CV","PP","PS","GC","DP"
"1",91573,5,276,"zag","7",3.2,6,0.32,1.83,3,NA,"arboleda","Arboleda","Arboleda","Robert Abel Arboleda Escobar","https://s.glbimg.com/es/sde/f/2022/03/01/a2548066433583acdc68badc1f1e35bf_FORMATO.png","São Paulo",5,3,1,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",97341,5,276,"tec","7",3.38,11.63,0.01,4.55,5,NA,"rogerio-ceni","Rogério Ceni","R. Ceni","Rogério Ceni","https://s.glbimg.com/es/sde/f/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",70666,5,1371,"zag","7",5.8,7.83,0.94,5.45,4,NA,"marllon","Marllon","Marllon","Marllon Gonçalves Jerônimo Borges","https://s.glbimg.com/es/sde/f/2022/02/23/8d45db89a011dd77410922983889ff15_FORMATO.png","Cuiabá",9,3,3,1,12,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",100084,5,276,"mei","7",4.6,7.2,0.89,3.28,5,NA,"igor-gomes","Igor Gomes","I. Gomes","Igor Silveira Gomes","https://s.glbimg.com/es/sde/f/2022/03/01/b6d68ea91db4955b888e119a851704eb_FORMATO.png","São Paulo",10,8,1,6,33,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",106824,5,276,"lat","7",1.2,10.19,-0.54,4.5,5,NA,"welington","Welington ","Welington ","Welington Damascena Santos","https://s.glbimg.com/es/sde/f/2022/03/01/81ffdaa86a436b3f695649fc411cf06b_FORMATO.png","São Paulo",7,4,1,4,37,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",107172,5,263,"mei","7",0,7.26,0,4.23,4,NA,"patrick-de-paula","Patrick de Paula","P. Paula","Patrick de Paula Carreiro","https://s.glbimg.com/es/sde/f/2022/04/05/8c35d4213e4e54056fa8d79421ac1e23_FORMATO.png","Botafogo",8,3,3,7,31,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",101728,5,276,"zag","3",0.6,6.71,-0.37,1.94,5,NA,"diego","Diego","Diego","Diego Henrique Costa Barbosa","https://s.glbimg.com/es/sde/f/2022/03/01/996cbc8d639a3e640cf55d5326393d6d_FORMATO.png","São Paulo",9,9,2,1,25,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",62977,5,266,"mei","6",-0.4,6.87,-2.27,5.28,4,NA,"ganso","Ganso","Ganso","Paulo Henrique Chagas de Lima","https://s.glbimg.com/es/sde/f/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png","Fluminense",4,2,NA,5,18,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"9",107645,5,277,"tec","7",6.4,10.44,1.07,5.4,5,NA,"fabian-bustos","Fabián Bustos","F. Bustos","Fabián Daniel Bustos","https://s.glbimg.com/es/sde/f/2022/03/03/a96235f2bb25a5f65aae085d91ee43d4_FORMATO.png","Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",96725,5,263,"lat","7",3,6.93,0.17,3.54,5,NA,"saravia","Saravia","Saravia","Renzo Saravia","https://s.glbimg.com/es/sde/f/2022/03/15/fe7e3baf028e564db9023bc25ef5ec34_FORMATO.png","Botafogo",12,9,2,11,41,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",97520,5,373,"mei","7",1.1,3.69,-0.19,1.12,5,NA,"shaylon","Shaylon","Shaylon","Shaylon Kallyson Cardoso","https://s.glbimg.com/es/sde/f/2022/03/03/613cc4607b07db0edb4d019f37550ecc_FORMATO.png","Atlético-GO",2,1,6,1,29,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",83257,5,262,"ata","7",2.5,10.45,-0.53,3,4,NA,"gabriel","Gabriel","Gabriel","Gabriel Barbosa Almeida","https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png","Flamengo",NA,NA,4,3,16,1,2,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"13",106681,5,373,"ata","7",-0.9,6.15,-1.74,3.56,5,NA,"leo-pereira","Léo Pereira","L. Pereira","Leonardo Augusto dos Santos Pereira","https://s.glbimg.com/es/sde/f/2022/03/03/b6e2734629454f1ee92d354283343741_FORMATO.png","Atlético-GO",11,10,1,7,25,2,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",101960,5,293,"ata","7",5.5,4.95,0.98,2.38,5,NA,"vitinho","Vitinho","Vitinho","Vitor Hugo Naum dos Santos","https://s.glbimg.com/es/sde/f/2021/05/02/6f194f584e7ed2293b58deb814cde16c_FORMATO.png","Athlético-PR",6,5,2,6,21,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",110506,5,275,"tec","7",3.93,10.73,-0.78,5.5,4,NA,"abel-ferreira","Abel Ferreira","A. Ferreira","Abel Fernando Moreira Ferreira","https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png","Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",102130,5,275,"lat","5",3,6.5,-0.56,5.3,3,NA,"piquerez","Piquerez","Piquerez","Joaquín Piquerez Moreira","https://s.glbimg.com/es/sde/f/2022/02/21/82bd262ef647de7255e8df06fdd8e3f2_FORMATO.png","Palmeiras",9,NA,1,4,27,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",37424,5,1371,"tec","7",3.09,7.42,0.05,4.08,5,NA,"pintado","Pintado","Pintado","Luiz Carlos de Oliveira Preto","https://s.glbimg.com/es/sde/f/2019/10/22/4dc47f9ac81a1f2c7dfe2868232f8d29_FORMATO.png","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",96468,5,285,"gol","7",4,7.56,-0.22,4.4,5,NA,"daniel","Daniel","Daniel","Daniel de Sousa Brito","https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png","Internacional",NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,17,4,NA,NA,NA,NA,NA,NA
