,atletas.apelido,atletas.variacao_num,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.preco_num,atletas.posicao_id,atletas.media_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.slug,atletas.apelido_abreviado,atletas.foto,atletas.rodada_id,atletas.nome,atletas.status_id
0,Mano Menezes,0,285,0,7.04,0,12,6,0,37281,Internacional,mano-menezes,M. Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,1,Luis Antônio Venker de Menezes,7
1,Fábio,0,266,0,7.62,0,13,1,0,37656,Fluminense,fabio,Fábio,https://s.sde.globo.com/media/person_role/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,1,Fábio Deivson Lopes Maciel,7
2,Bruno Mezenga,0,277,0,,0,4,5,0,37865,Santos,bruno-mezenga,B. Mezenga,https://s.sde.globo.com/media/person_role/2023/04/12/photo_220x220_sVYVxtF.png,1,Bruno Ferreira Mombra Rosa,6
3,Rafinha,0,276,0,3.52,0,6,2,0,38144,São Paulo,rafinha,Rafinha,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,1,Márcio Rafael Ferreira de Souza,2
4,Fábio Santos,0,264,0,4.69,0,8,2,0,38229,Corinthians,fabio-santos,F. Santos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,1,Fábio Santos Romeu,7
5,Wellington Paulista,0,327,0,3.52,0,6,5,0,38279,América-MG,wellington-paulista,W. Paulista,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,1,Wellington Pereira do Nascimento,6
6,Thiago Heleno,0,293,0,4.11,0,7,3,0,38394,Athlético-PR,thiago-heleno,T. Heleno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,1,Thiago Heleno Henrique Ferreira,7
7,Renato Augusto,0,264,0,11.14,0,19,4,0,38398,Corinthians,renato-augusto,R. Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,1,Renato Soares de Oliveira Augusto,5
8,Marcelo,0,266,0,11.14,0,19,2,0,38402,Fluminense,marcelo,Marcelo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_cKnKiav.png,1,Marcelo Vieira da Silva Júnior,7
9,Felipe Melo,0,266,0,2.93,0,5,4,0,38545,Fluminense,felipe-melo,F. Melo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_vO8uTh1.png,1,Felipe Melo de Carvalho,7
10,Filipe Luís,0,262,0,4.69,0,8,2,0,38750,Flamengo,filipe-luis,F. Luís,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,1,Filipe Luís Kasmirski,6
11,Mariano,0,282,0,4.69,0,8,2,0,38877,Atlético-MG,mariano,Mariano,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,1,Mariano Ferreira Filho,2
12,Hulk,0,282,0,9.38,0,16,5,0,39148,Atlético-MG,hulk,Hulk,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,1,Givanildo Vieira de Souza,7
13,Vagner Mancini,0,327,0,3.52,0,6,6,0,39850,América-MG,vagner-mancini,V. Mancini,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,1,Vagner Carmo Mancini,7
14,Renato Gaúcho,0,284,0,6.45,0,11,6,0,41929,Grêmio,renato-gaucho,R. Gaúcho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,1,Renato Portaluppi,7
15,Willian,0,293,0,3.52,0,6,5,0,42116,Athlético-PR,willian,Willian,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,1,Willian Gomes de Siqueira,6
16,Cássio,0,264,0,10.56,0,18,1,0,42234,Corinthians,cassio,Cássio,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,1,Cássio Roberto Ramos,7
17,Fagner,0,264,0,5.28,0,9,2,0,42500,Corinthians,fagner,Fagner,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,1,Fagner Conserva Lemos,7
18,David Braz,0,266,0,2.93,0,5,3,0,50317,Fluminense,david-braz,D. Braz,https://s.sde.globo.com/media/person_role/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,1,David Braz de Oliveira Filho,6
19,Alan Kardec,0,282,0,3.52,0,6,5,0,50347,Atlético-MG,alan-kardec,A. Kardec,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,1,Alan Kardec de Sousa Pereira Júnior,6
20,Titi,0,356,0,3.52,0,6,3,0,50353,Fortaleza,titi,Titi,https://s.sde.globo.com/media/person_role/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,1,Christian Chagas Tarouco,7
21,Emerson Ávila,0,290,0,,0,4,6,0,50456,Goiás,emerson-avila,E. Ávila,https://s.sde.globo.com/media/person_role/2023/04/10/photo_220x220_yhlPBJo.png,1,Emerson Rodrigues Ávila,7
22,Henrique,0,294,0,2.35,0,4,3,0,50856,Coritiba,henrique,Henrique,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,1,Henrique Adriano Buss,6
23,Apodi,0,290,0,2.93,0,5,2,0,51042,Goiás,apodi,Apodi,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,1,Luiz Diallison de Souza Alves,7
24,Walter,0,1371,0,4.69,0,8,1,0,51413,Cuiabá,walter,Walter,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,1,Walter Leandro Capeloza Artune,7
25,Giuliano,0,264,0,3.52,0,6,4,0,51548,Corinthians,giuliano,Giuliano,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,1,Giuliano Victor de Paula,2
26,Everton Ribeiro,0,262,0,8.21,0,14,4,0,51772,Flamengo,everton-ribeiro,E. Ribeiro,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,1,Everton Augusto de Barros Ribeiro,7
27,Réver,0,282,0,3.52,0,6,3,0,52253,Atlético-MG,rever,Réver,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,1,Réver Humberto Alves Araújo,6
28,David Luiz,0,262,0,4.69,0,8,3,0,52827,Flamengo,david-luiz,D. Luiz,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,1,David Luiz Moreira Marinho,2
29,Alex Teixeira,0,267,0,4.69,0,8,4,0,60793,Vasco,alex-teixeira,A. Teixeira,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,1,Alex Teixeira Santos,7
30,Felipe Azevedo,0,327,0,4.11,0,7,5,0,60825,América-MG,felipe-azevedo,F. Azevedo,https://s.sde.globo.com/media/person_role/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,1,Felipe Azevedo dos Santos,7
31,Uendel,0,1371,0,2.35,0,4,2,0,60852,Cuiabá,uendel,Uendel,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,1,Uendel Pereira Gonçalves,6
32,Cicinho,0,265,0,2.35,0,4,2,0,61106,Bahia,cicinho,Cicinho,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,1,Neuciano de Jesus Gusmão,6
33,Gilberto,0,283,0,6.45,0,11,5,0,61188,Cruzeiro,gilberto,Gilberto,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,1,Gilberto Oliveira Souza Júnior,7
34,Edimar,0,267,0,2.35,0,4,2,0,62024,Vasco,edimar,Edimar,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_mbf9VnM.png,1,Edimar Curitiba Fraga,6
35,Alan,0,266,0,2.35,0,4,5,0,62969,Fluminense,alan,Alan,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_DUu9QkT.png,1,Alan Douglas Borges de Carvalho,6
36,Ganso,0,266,0,5.86,0,10,4,0,62977,Fluminense,ganso,Ganso,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,1,Paulo Henrique Chagas de Lima,7
37,Marcos Rocha,0,275,0,2.93,0,5,2,0,63013,Palmeiras,marcos-rocha,M. Rocha,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,1,Marcos Luis Rocha Aquino,7
38,Willian Farias,0,294,0,2.35,0,4,4,0,63058,Coritiba,willian-farias,W. Farias,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_FaZq8Ny.png,1,Willian Roberto Farias,6
39,Edenílson,0,282,0,4.69,0,8,4,0,63289,Atlético-MG,edenilson,Edenílson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_Nf8iNxS.png,1,Edenílson Andrade dos Santos,2
40,Rodrigo Moledo,0,285,0,2.93,0,5,3,0,63354,Internacional,rodrigo-moledo,R. Moledo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_oiE27eL.png,1,Rodrigo Modesto da Silva Moledo,6
41,Alan Patrick,0,285,0,6.45,0,11,4,0,68685,Internacional,alan-patrick,A. Patrick,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_M6Icp8o.png,1,Alan Patrick Lourenço,7
42,Eduardo,0,263,0,5.28,0,9,4,0,68708,Botafogo,eduardo,Eduardo,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_5IMT6Pl.png,1,Carlos Eduardo de Oliveira Alves,7
43,Dodô,0,282,0,2.93,0,5,2,0,68727,Atlético-MG,dodo,Dodô,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_qpaSZSL.png,1,José Rodolfo Pires Ribeiro,6
44,Camacho,0,277,0,2.93,0,5,4,0,68770,Santos,camacho,Camacho,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_F7E95Uy.png,1,Guilherme de Aguiar Camacho,7
45,Henrique Almeida,0,327,0,2.93,0,5,5,0,68773,América-MG,henrique-almeida,H. Almeida,https://s.sde.globo.com/media/person_role/2022/02/25/f952435e80bcd6628e6480a7ad0ed047_FORMATO.png,1,Henrique Almeida Caixeta Nascentes,6
46,Mário Fernandes,0,285,0,4.11,0,7,2,0,68804,Internacional,mario-fernandes,M. Fernandes,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_m0WICMh.png,1,Mário Figueira Fernandes,6
47,Nino Paraíba,0,327,0,4.69,0,8,2,0,68808,América-MG,nino-paraiba,N. Paraíba,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_LO6uOVK.png,1,Severino do Ramo Clementino da Silva,6
48,Ricardo Goulart,0,265,0,4.69,0,8,5,0,68833,Bahia,ricardo-goulart,R. Goulart,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_EXWSoml.png,1,Ricardo Goulart Pereira,6
49,Marcelo Lomba,0,275,0,4.69,0,8,1,0,68872,Palmeiras,marcelo-lomba,M. Lomba,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_3F3hUdw.png,1,Marcelo Lomba do Nascimento,6
50,Wellington Silva,0,1371,0,2.93,0,5,5,0,68895,Cuiabá,wellington-silva,W. Silva,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_blUyoXI.png,1,Wellington Alves da Silva,7
51,Diego Souza,0,284,0,4.11,0,7,5,0,68911,Grêmio,diego-souza,D. Souza,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_rWsMyzy.png,1,Diego Souza de Andrade,5
52,Vinicius,0,290,0,2.93,0,5,5,0,68917,Goiás,vinicius,Vinicius,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_ARVnYib.png,1,Vinicius Santos Silva,7
53,Dudu,0,275,0,9.38,0,16,5,0,68920,Palmeiras,dudu,Dudu,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_dKDb4Xe.png,1,Eduardo Pereira Rodrigues,7
54,Gil,0,264,0,4.69,0,8,3,0,68923,Corinthians,gil,Gil,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_qHWEwAj.png,1,Carlos Gilberto do Nascimento Silva,7
55,Rafael,0,276,0,4.69,0,8,1,0,68928,São Paulo,rafael,Rafael,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_5tYCknN.png,1,Rafael Pires Monteiro,7
56,Rafael Cabral,0,283,0,4.69,0,8,1,0,68940,Cruzeiro,rafael-cabral,R. Cabral,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_tTstlht.png,1,Rafael Cabral Barbosa,7
57,Luciano Castán,0,283,0,2.35,0,4,3,0,68942,Cruzeiro,luciano-castan,L. Castán,https://s.sde.globo.com/media/person_role/2023/03/22/photo_220x220.png,1,Luciano Castán da Silva,7
58,Marinho,0,262,0,4.11,0,7,5,0,68952,Flamengo,marinho,Marinho,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_eiyBkCZ.png,1,Mário Sérgio Santos Costa,6
59,Lucas Sasha,0,356,0,4.11,0,7,4,0,68991,Fortaleza,lucas-sasha,L. Sasha,https://s.sde.globo.com/media/person_role/2022/07/16/d91654c9e126e6f3f17fd09b816eedf5_FORMATO.png,1,Lucas Pacheco Affini,7
60,João Carlos,0,1371,0,1.76,0,3,1,0,69010,Cuiabá,joao-carlos,J. Carlos,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_uMDsJVm.png,1,João Carlos Heidemann,6
61,Santos,0,262,0,6.45,0,11,1,0,69012,Flamengo,santos,Santos,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_4U42mWk.png,1,Aderbar Melo dos Santos Neto,7
62,Manoel,0,266,0,4.69,0,8,3,0,69014,Fluminense,manoel,Manoel,https://s.sde.globo.com/media/person_role/2022/04/20/2ee72152c5a2da89ec05cb252df58e2b_FORMATO.png,1,Manoel Messias Silva Carvalho,6
63,Marcelo Cirino,0,293,0,2.93,0,5,5,0,69022,Athlético-PR,marcelo-cirino,M. Cirino,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_7POtFfh.png,1,Marcelo Cirino da Silva,5
64,Paulinho,0,264,0,3.52,0,6,4,0,69034,Corinthians,paulinho,Paulinho,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_6LHiiMD.png,1,José Paulo Bezerra Maciel Júnior,2
65,Vladimir,0,277,0,2.35,0,4,1,0,69040,Santos,vladimir,Vladimir,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nxWv2qc.png,1,Vladimir Orlando Cardoso de Araújo Filho,6
66,Danilo Fernandes,0,265,0,2.93,0,5,1,0,69051,Bahia,danilo-fernandes,D. Fernandes,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_JIPzPHq.png,1,Danilo Fernandes Batista,6
67,Vargas,0,282,0,4.69,0,8,5,0,69102,Atlético-MG,vargas,Vargas,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_yFYmdoD.png,1,Eduardo Jesús Vargas Rojas,5
68,Pablo,0,293,0,4.11,0,7,5,0,69138,Athlético-PR,pablo,Pablo,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_jLJg754.png,1,Pablo Felipe Teixeira,2
69,Pablo,0,262,0,2.93,0,5,3,0,69165,Flamengo,pablo,Pablo,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_PlvYQAE.png,1,Pablo Nascimento Castro,6
