,atletas.apelido,atletas.variacao_num,atletas.nome,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.status_id,atletas.slug,atletas.jogos_num,atletas.rodada_id,atletas.media_num,atletas.foto,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.atleta_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,SG,V,PS,DE,GS,DP,PP,PC,GC
0,Mano Menezes,0.21,Luis Antônio Venker de Menezes,M. Menezes,,7,mano-menezes,10,10,4.8,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,285,4.85,11.13,Internacional,6,37281,,,,,,,,,,,,,4.0,,,,,,,
1,Fábio,0.02,Fábio Deivson Lopes Maciel,Fábio,,7,fabio,10,10,5.15,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,266,4.0,12.78,Fluminense,1,37656,,2.0,,,,,1.0,,,,,4.0,,,44.0,11.0,,,,
2,Bruno Mezenga,0.01,Bruno Ferreira Mombra Rosa,B. Mezenga,,6,bruno-mezenga,5,10,0.98,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,277,1.2,2.24,Santos,5,37865,,,2.0,2.0,1.0,2.0,1.0,,,2.0,,,,,,,,,,
3,Rafinha,-0.72,Márcio Rafael Ferreira de Souza,Rafinha,,7,rafinha,8,10,4.2,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,276,0.5,6.83,São Paulo,2,38144,1.0,2.0,15.0,3.0,,,9.0,,,,,2.0,,,,,,,1.0,
4,Fábio Santos,0.0,Fábio Santos Romeu,F. Santos,,6,fabio-santos,5,10,0.68,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,264,0.0,3.0,Corinthians,2,38229,,2.0,6.0,7.0,,1.0,7.0,,,,,,,,,,,1.0,,
5,Wellington Paulista,0.76,Wellington Pereira do Nascimento,W. Paulista,,6,wellington-paulista,4,10,2.23,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,327,6.0,4.34,América-MG,5,38279,,,,2.0,2.0,4.0,,,1.0,1.0,,,,,,,,1.0,,
6,Thiago Heleno,-0.75,Thiago Heleno Henrique Ferreira,T. Heleno,,7,thiago-heleno,9,10,2.95,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,293,0.5,6.59,Athlético-PR,3,38394,,1.0,8.0,5.0,,2.0,6.0,,,1.0,,3.0,,,,,,,,
7,Renato Augusto,-0.52,Renato Soares de Oliveira Augusto,R. Augusto,,2,renato-augusto,3,10,1.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,264,0.0,12.78,Corinthians,4,38398,,,3.0,3.0,,1.0,2.0,,,,,,,,,,,,,
8,Marcelo,0.0,Marcelo Vieira da Silva Júnior,Marcelo,,6,marcelo,3,10,6.8,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,266,0.0,14.9,Fluminense,2,38402,,1.0,3.0,1.0,1.0,3.0,9.0,,,,,2.0,,,,,,,,
9,Felipe Melo,0.0,Felipe Melo de Carvalho,F. Melo,,7,felipe-melo,7,10,1.5,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,266,0.0,3.96,Fluminense,4,38545,,3.0,5.0,5.0,,,2.0,,1.0,,,,,,,,,,,
