,atletas.posicao_id,atletas.foto,atletas.nome,atletas.variacao_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.apelido_abreviado,atletas.pontos_num,atletas.status_id,atletas.slug,atletas.apelido,atletas.media_num,atletas.clube.id.full.name,atletas.atleta_id,CA,DS,FC,FF,FS,PC,SG,A,FD,G,I,CV,PS,FT,DE,GS,V,DP,PP,GC
0,6,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,Luis Antônio Venker de Menezes,-0.14,285,11.43,13,3.14,13,M. Menezes,4.96,7,mano-menezes,Mano Menezes,4.98,Internacional,37281,,,,,,,,,,,,,,,,,6.0,,,
1,1,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,Fábio Deivson Lopes Maciel,-0.12,266,12.21,13,1.23,13,Fábio,2.0,7,fabio,Fábio,4.58,Fluminense,37656,2.0,,,,1.0,,4.0,,,,,,,,55.0,14.0,,,,
2,5,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,Bruno Ferreira Mombra Rosa,-0.13,277,1.83,13,-0.4,7,B. Mezenga,-0.6,6,bruno-mezenga,Bruno Mezenga,0.57,Santos,37865,,2.0,5.0,2.0,1.0,,,,1.0,,2.0,,,,,,,,,
3,2,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Márcio Rafael Ferreira de Souza,1.82,276,8.26,13,6.78,11,Rafinha,10.5,7,rafinha,Rafinha,3.95,São Paulo,38144,2.0,21.0,6.0,,12.0,1.0,3.0,1.0,,,,,,,,,,,,1.0
4,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,Fábio Santos Romeu,0.0,264,3.46,13,-0.1,7,F. Santos,0.0,7,fabio-santos,Fábio Santos,1.23,Corinthians,38229,3.0,6.0,8.0,1.0,10.0,,1.0,,,,,,,,,,,,1.0,
5,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,Wellington Pereira do Nascimento,0.0,327,3.63,13,0.26,5,W. Paulista,0.0,6,wellington-paulista,Wellington Paulista,1.94,América-MG,38279,,,2.0,5.0,,,,,2.0,1.0,1.0,,,,,,,,1.0,
6,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,Thiago Heleno Henrique Ferreira,-0.32,293,6.96,13,1.84,12,T. Heleno,2.9,7,thiago-heleno,Thiago Heleno,2.93,Athlético-PR,38394,2.0,11.0,8.0,3.0,8.0,,4.0,,,,1.0,,,,,,,,,
7,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,Renato Soares de Oliveira Augusto,0.0,264,12.78,13,4.9,3,R. Augusto,0.0,2,renato-augusto,Renato Augusto,1.5,Corinthians,38398,,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
8,2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,Marcelo Vieira da Silva Júnior,-0.08,266,13.12,13,2.96,5,Marcelo,4.6,7,marcelo,Marcelo,5.82,Fluminense,38402,1.0,7.0,1.0,3.0,12.0,,2.0,,3.0,,,,,,,,,,,
9,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,Felipe Melo de Carvalho,-1.28,266,2.68,13,-0.54,8,F. Melo,-0.8,7,felipe-melo,Felipe Melo,1.21,Fluminense,38545,4.0,5.0,6.0,,3.0,,,,,1.0,,,,,,,,,,
