,atletas.variacao_num,atletas.preco_num,atletas.foto,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.media_num,atletas.apelido,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,PP,I,SG,PS,CV,DE,GS,V,PC,DP,GC
0,-0.43,11.0,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,Luis Antônio Venker de Menezes,Internacional,37281,M. Menezes,14,6,7,285,1.81,,14,4.75,Mano Menezes,mano-menezes,,,,,,,,,,,,,,,,,6.0,,,
1,0.55,12.76,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,Fábio Deivson Lopes Maciel,Fluminense,37656,Fábio,14,1,7,266,5.0,,14,4.61,Fábio,fabio,,2.0,,,,,1.0,,,,,5.0,,,55.0,14.0,,,,
2,-0.14,1.69,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,Bruno Ferreira Mombra Rosa,Santos,37865,B. Mezenga,14,5,6,277,-1.1,,8,0.36,Bruno Mezenga,bruno-mezenga,,1.0,2.0,8.0,1.0,3.0,1.0,,,,2.0,,,,,,,,,
3,0.0,8.26,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Márcio Rafael Ferreira de Souza,São Paulo,38144,Rafinha,14,2,7,276,0.0,,11,3.95,Rafinha,rafinha,1.0,2.0,21.0,6.0,,,12.0,,,,,3.0,,,,,,1.0,,1.0
4,1.04,4.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,Fábio Santos Romeu,Corinthians,38229,F. Santos,14,2,6,264,6.5,,8,1.89,Fábio Santos,fabio-santos,,3.0,6.0,8.0,,1.0,13.0,,,1.0,,2.0,,,,,,,,
5,-0.23,3.4,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,Wellington Pereira do Nascimento,América-MG,38279,W. Paulista,14,5,6,327,0.0,,6,1.62,Wellington Paulista,wellington-paulista,,,,2.0,2.0,5.0,,,1.0,1.0,1.0,,,,,,,,,
6,0.0,6.96,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,Thiago Heleno Henrique Ferreira,Athlético-PR,38394,T. Heleno,14,3,7,293,0.0,,12,2.93,Thiago Heleno,thiago-heleno,,2.0,11.0,8.0,,3.0,8.0,,,,1.0,4.0,,,,,,,,
7,-0.37,12.41,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,Renato Soares de Oliveira Augusto,Corinthians,38398,R. Augusto,14,4,6,264,2.9,,4,1.85,Renato Augusto,renato-augusto,,,5.0,3.0,,1.0,3.0,,,,,,,,,,,,,
8,2.09,15.21,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,Marcelo Vieira da Silva Júnior,Fluminense,38402,Marcelo,14,2,7,266,15.3,,6,7.4,Marcelo,marcelo,1.0,1.0,10.0,1.0,3.0,4.0,14.0,,,,1.0,3.0,,,,,,,,
9,0.08,2.76,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,Felipe Melo de Carvalho,Fluminense,38545,F. Melo,14,4,7,266,0.0,,9,1.08,Felipe Melo,felipe-melo,,4.0,5.0,6.0,,,3.0,,1.0,,,,,,,,,,,
10,0.0,6.27,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,Filipe Luís Kasmirski,Flamengo,38750,F. Luís,14,2,7,262,0.0,,3,2.33,Filipe Luís,filipe-luis,,,1.0,,,1.0,,,,,,1.0,,,,,,,,
11,-0.29,5.21,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,Mariano Ferreira Filho,Atlético-MG,38877,Mariano,14,2,3,282,0.4,,10,2.39,Mariano,mariano,,3.0,16.0,15.0,1.0,,2.0,,,,,2.0,,,,,,,,
12,0.0,17.78,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,Givanildo Vieira de Souza,Atlético-MG,39148,Hulk,14,5,7,282,0.0,,12,8.45,Hulk,hulk,2.0,4.0,2.0,19.0,16.0,17.0,41.0,,6.0,,6.0,,1.0,1.0,,,,,,
13,0.0,5.0,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_220x220.png,Alan Steven Franco Palma,Atlético-MG,39656,A. Franco,14,4,6,282,0.0,,0,0.0,Alan Franco,alan-franco,,,,,,,,,,,,,,,,,,,,
14,-0.18,7.5,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,Vagner Carmo Mancini,América-MG,39850,V. Mancini,14,6,6,327,3.37,,14,3.8,Vagner Mancini,vagner-mancini,,,,,,,,,,,,,,,,,2.0,,,
15,-0.12,11.36,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,Dorival Silvestre Júnior,São Paulo,40990,D. Júnior,14,6,7,276,5.96,,13,5.46,Dorival Júnior,dorival-junior,,,,,,,,,,,,,,,,,6.0,,,
16,1.03,8.22,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,Vanderlei Luxemburgo da Silva,Corinthians,41327,V. Luxemburgo,14,6,6,264,8.15,,11,4.46,Vanderlei Luxemburgo,vanderlei-luxemburgo,,,,,,,,,,,,,,,,,3.0,,,
17,-0.24,12.54,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,Renato Portaluppi,Grêmio,41929,R. Gaúcho,14,6,6,284,3.51,,14,5.59,Renato Gaúcho,renato-gaucho,,,,,,,,,,,,,,,,,8.0,,,
18,-0.18,4.85,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,Willian Gomes de Siqueira,Athlético-PR,42116,Willian,14,5,6,293,0.5,,7,2.47,Willian,willian,,,,1.0,,2.0,,,2.0,,,,,,,,,,,
19,1.57,8.48,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,Cássio Roberto Ramos,Corinthians,42234,Cássio,14,1,6,264,11.0,,14,2.96,Cássio,cassio,,2.0,,,,,3.0,,,,,3.0,,,45.0,17.0,,1.0,,
20,0.78,8.88,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,Fagner Conserva Lemos,Corinthians,42500,Fagner,14,2,6,264,7.7,,12,4.43,Fagner,fagner,1.0,4.0,20.0,6.0,,3.0,19.0,1.0,,,,3.0,,,,,,,,
21,-0.18,8.86,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,Luiz Felipe Scolari,Atlético-MG,43618,L. Scolari,14,6,7,282,2.79,,4,3.16,Luiz Felipe Scolari,luiz-felipe-scolari,,,,,,,,,,,,,,,,,,,,
22,-1.41,3.59,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,Alexandre Rodrigues da Silva,São Paulo,49675,A. Pato,14,5,6,276,0.0,,1,0.0,Alexandre Pato,alexandre-pato,,,,,,,,,,,,,,,,,,,,
23,0.35,5.99,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,David Braz de Oliveira Filho,Fluminense,50317,D. Braz,14,3,6,266,4.7,,8,2.92,David Braz,david-braz,,1.0,3.0,6.0,,2.0,2.0,,,,,4.0,,,,,,,,
24,0.25,4.68,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,Alan Kardec de Sousa Pereira Júnior,Atlético-MG,50347,A. Kardec,14,5,6,282,0.8,,3,2.8,Alan Kardec,alan-kardec,,1.0,,2.0,,2.0,1.0,,1.0,,1.0,,,,,,,,,
25,0.13,8.81,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,Christian Chagas Tarouco,Fortaleza,50353,Titi,14,3,7,356,6.4,,12,5.51,Titi,titi,1.0,3.0,22.0,11.0,1.0,1.0,10.0,,,,,7.0,,,,,,1.0,,
26,-0.1,2.56,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,Henrique Adriano Buss,Coritiba,50856,Henrique,14,3,3,294,-0.4,,9,0.84,Henrique,henrique,,3.0,5.0,9.0,1.0,,2.0,,,,,1.0,,,,,,,,
27,0.0,5.29,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,Luiz Diallison de Souza Alves,Goiás,51042,Apodi,14,2,6,290,0.0,,9,2.46,Apodi,apodi,,1.0,3.0,6.0,5.0,1.0,2.0,,1.0,,5.0,1.0,1.0,,,,,,,
28,-0.62,5.56,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,Walter Leandro Capeloza Artune,Cuiabá,51413,Walter,14,1,7,1371,2.0,,14,2.71,Walter,walter,,1.0,,,,,2.0,,,,,3.0,,,41.0,17.0,,1.0,,
29,-0.56,2.41,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,Giuliano Victor de Paula,Corinthians,51548,Giuliano,14,4,6,264,0.0,,10,0.71,Giuliano,giuliano,,1.0,5.0,5.0,,2.0,4.0,,,,,,,,,,,,,
