,atletas.clube_id,atletas.rodada_id,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.atleta_id,atletas.slug,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.status_id,atletas.apelido_abreviado,atletas.variacao_num,atletas.pontos_num,atletas.foto,atletas.clube.id.full.name,atletas.apelido,CA,DS,FC,FD,FF,FS,G,I,SG,A,FT,CV,PC,PP,PS,DE,GS,DP,GC,V
0,285,15,15,Luis Antônio Venker de Menezes,6,37281,mano-menezes,4.83,,11.55,7,M. Menezes,0.55,5.98,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,Internacional,Mano Menezes,,,,,,,,,,,,,,,,,,,,6.0
1,266,15,15,Fábio Deivson Lopes Maciel,1,37656,fabio,4.84,,13.2,7,Fábio,0.44,8.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,Fluminense,Fábio,2.0,,,,,1.0,,,6.0,,,,,,,58.0,14.0,,,
2,277,15,8,Bruno Ferreira Mombra Rosa,5,37865,bruno-mezenga,0.36,,1.69,6,B. Mezenga,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,Santos,Bruno Mezenga,1.0,2.0,8.0,1.0,3.0,1.0,,2.0,,,,,,,,,,,,
3,276,15,12,Márcio Rafael Ferreira de Souza,2,38144,rafinha,3.9,,7.3,7,Rafinha,-0.96,3.4,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,São Paulo,Rafinha,2.0,23.0,7.0,,1.0,13.0,,,3.0,1.0,,,1.0,,,,,,1.0,
4,264,15,8,Fábio Santos Romeu,2,38229,fabio-santos,1.89,,4.5,6,F. Santos,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,Corinthians,Fábio Santos,3.0,6.0,8.0,,1.0,13.0,,,2.0,,,,,1.0,,,,,,
5,327,15,6,Wellington Pereira do Nascimento,5,38279,wellington-paulista,1.62,,3.4,6,W. Paulista,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,América-MG,Wellington Paulista,,,2.0,2.0,5.0,,1.0,1.0,,,,,,1.0,,,,,,
6,293,15,13,Thiago Heleno Henrique Ferreira,3,38394,thiago-heleno,3.15,,7.41,7,T. Heleno,0.45,5.8,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,Athlético-PR,Thiago Heleno,3.0,13.0,10.0,,3.0,8.0,,1.0,5.0,,,,,,,,,,,
7,264,15,4,Renato Soares de Oliveira Augusto,4,38398,renato-augusto,1.85,,12.41,6,R. Augusto,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,Corinthians,Renato Augusto,,5.0,3.0,,1.0,3.0,,,,,,,,,,,,,,
8,266,15,7,Marcelo Vieira da Silva Júnior,2,38402,marcelo,7.23,,13.89,7,Marcelo,-1.32,6.2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,Fluminense,Marcelo,1.0,10.0,2.0,3.0,4.0,17.0,,1.0,4.0,1.0,,,,,,,,,,
9,266,15,10,Felipe Melo de Carvalho,4,38545,felipe-melo,1.13,,2.98,7,F. Melo,0.22,1.6,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,Fluminense,Felipe Melo,5.0,7.0,7.0,,,4.0,1.0,,,,,,,,,,,,,
10,262,15,4,Filipe Luís Kasmirski,2,38750,filipe-luis,4.02,,6.98,7,F. Luís,0.71,9.1,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,Flamengo,Filipe Luís,1.0,3.0,1.0,,1.0,6.0,,,2.0,,,,,,,,,,,
11,282,15,10,Mariano Ferreira Filho,2,38877,mariano,2.39,,5.21,3,Mariano,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,Atlético-MG,Mariano,3.0,16.0,15.0,1.0,,2.0,,,2.0,,,,,,,,,,,
12,282,15,13,Givanildo Vieira de Souza,5,39148,hulk,8.26,,16.94,7,Hulk,-0.84,6.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,Atlético-MG,Hulk,4.0,3.0,19.0,17.0,19.0,45.0,6.0,6.0,,2.0,,1.0,,,1.0,,,,,
13,282,15,1,Alan Steven Franco Palma,4,39656,alan-franco,0.5,,3.71,7,A. Franco,-1.29,0.5,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_220x220.png,Atlético-MG,Alan Franco,1.0,2.0,3.0,,,,,,,,,,,,,,,,,
