,atletas.posicao_id,atletas.foto,atletas.status_id,atletas.apelido_abreviado,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.pontos_num,atletas.rodada_id,atletas.slug,atletas.media_num,atletas.apelido,atletas.nome,atletas.preco_num,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,FT,G,I,SG,CV,PC,PS,DE,GS,PP,DP,GC,V
0,1,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,7,Fábio,266,16,37656,1.0,16,fabio,4.6,Fábio,Fábio Deivson Lopes Maciel,12.18,Fluminense,-1.02,,,2.0,,,,,1.0,,,,6.0,,,,61.0,16.0,,,,
1,5,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,6,B. Mezenga,277,8,37865,0.0,16,bruno-mezenga,0.36,Bruno Mezenga,Bruno Ferreira Mombra Rosa,1.69,Santos,0.0,,,1.0,2.0,8.0,1.0,3.0,1.0,,,2.0,,,,,,,,,,
2,2,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,6,Rafinha,276,12,38144,0.0,16,rafinha,3.9,Rafinha,Márcio Rafael Ferreira de Souza,7.3,São Paulo,0.0,,1.0,2.0,23.0,7.0,,1.0,13.0,,,,3.0,,1.0,,,,,,1.0,
3,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,7,F. Santos,264,9,38229,7.3,16,fabio-santos,2.49,Fábio Santos,Fábio Santos Romeu,4.85,Corinthians,0.35,,,3.0,8.0,10.0,,1.0,14.0,,,,3.0,,,,,,1.0,,,
4,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,6,W. Paulista,327,6,38279,0.0,16,wellington-paulista,1.62,Wellington Paulista,Wellington Pereira do Nascimento,3.4,América-MG,0.0,,,,,2.0,2.0,5.0,,,1.0,1.0,,,,,,,1.0,,,
5,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,3,T. Heleno,293,13,38394,0.0,16,thiago-heleno,3.15,Thiago Heleno,Thiago Heleno Henrique Ferreira,7.41,Athlético-PR,0.0,,,3.0,13.0,10.0,,3.0,8.0,,,1.0,5.0,,,,,,,,,
6,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,7,R. Augusto,264,5,38398,0.9,16,renato-augusto,1.66,Renato Augusto,Renato Soares de Oliveira Augusto,11.77,Corinthians,-0.64,,,,5.0,3.0,,1.0,5.0,,,1.0,,,,,,,,,,
7,2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,6,Marcelo,266,7,38402,0.0,16,marcelo,7.23,Marcelo,Marcelo Vieira da Silva Júnior,13.89,Fluminense,0.0,,1.0,1.0,10.0,2.0,3.0,4.0,17.0,,,1.0,4.0,,,,,,,,,
8,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,7,F. Melo,266,11,38545,-0.2,16,felipe-melo,1.01,Felipe Melo,Felipe Melo de Carvalho,2.7,Fluminense,-0.28,,,5.0,7.0,7.0,,1.0,4.0,,1.0,,,,1.0,,,,,,,
9,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,6,F. Luís,262,4,38750,0.0,16,filipe-luis,4.02,Filipe Luís,Filipe Luís Kasmirski,6.98,Flamengo,0.0,,,1.0,3.0,1.0,,1.0,6.0,,,,2.0,,,,,,,,,
