,atletas.status_id,atletas.foto,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.media_num,atletas.clube.id.full.name,atletas.clube_id,atletas.slug,atletas.nome,atletas.rodada_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.jogos_num,atletas.minimo_para_valorizar,CA,DE,FS,GS,PC,SG,V,A,CV,DS,FC,FD,FF,I,PS,FT,G,PP,DP,GC
0,7,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,12.74,37656,0.56,1,4.62,Fluminense,266,fabio,Fábio Deivson Lopes Maciel,17,5.0,Fábio,Fábio,17,3.5,2.0,61.0,1.0,16.0,,7.0,,,,,,,,,,,,,,
1,6,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,1.69,37865,0.0,5,0.36,Santos,277,bruno-mezenga,Bruno Ferreira Mombra Rosa,17,0.0,B. Mezenga,Bruno Mezenga,8,0.65,1.0,,1.0,,,,,,,2.0,8.0,1.0,3.0,2.0,,,,,,
2,7,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,8.15,38144,0.85,2,4.23,São Paulo,276,rafinha,Márcio Rafael Ferreira de Souza,17,8.2,Rafinha,Rafinha,13,5.88,2.0,,14.0,,1.0,4.0,,1.0,,23.0,8.0,,1.0,,,1.0,,,,1.0
3,7,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,3.78,38229,-1.07,2,2.24,Corinthians,264,fabio-santos,Fábio Santos Romeu,17,0.0,F. Santos,Fábio Santos,10,-0.02,3.0,,14.0,,,3.0,,,,8.0,10.0,,1.0,,,,,1.0,,
4,6,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,3.4,38279,0.0,5,1.62,América-MG,327,wellington-paulista,Wellington Pereira do Nascimento,17,0.0,W. Paulista,Wellington Paulista,6,-2.86,,,,,,,,,,,2.0,2.0,5.0,1.0,,,1.0,1.0,,
5,7,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,6.59,38394,-0.82,3,2.96,Athlético-PR,293,thiago-heleno,Thiago Heleno Henrique Ferreira,17,0.5,T. Heleno,Thiago Heleno,14,0.31,3.0,,9.0,,,5.0,,,,13.0,10.0,,3.0,1.0,,,,,,
6,7,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,12.56,38398,0.79,4,2.42,Corinthians,264,renato-augusto,Renato Soares de Oliveira Augusto,17,6.2,R. Augusto,Renato Augusto,6,4.52,,,5.0,,,,,1.0,,5.0,3.0,1.0,1.0,1.0,,,,,,
7,6,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,13.89,38402,0.0,2,7.23,Fluminense,266,marcelo,Marcelo Vieira da Silva Júnior,17,0.0,Marcelo,Marcelo,7,4.01,1.0,,17.0,,,4.0,,1.0,,10.0,2.0,3.0,4.0,1.0,,,,,,
8,7,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,2.7,38545,0.0,4,1.01,Fluminense,266,felipe-melo,Felipe Melo de Carvalho,17,0.0,F. Melo,Felipe Melo,11,0.67,5.0,,4.0,,1.0,,,,,7.0,7.0,,1.0,,,,1.0,,,
9,7,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,5.63,38750,-1.35,2,3.2,Flamengo,262,filipe-luis,Filipe Luís Kasmirski,17,-0.1,F. Luís,Filipe Luís,5,-0.08,2.0,,6.0,,,2.0,,,,4.0,2.0,,1.0,,,,,,,
10,2,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,5.15,38877,0.01,2,2.16,Atlético-MG,282,mariano,Mariano Ferreira Filho,17,1.2,Mariano,Mariano,12,0.85,3.0,,2.0,,,2.0,,,,18.0,16.0,1.0,,,,,,,,
11,7,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,17.98,39148,1.25,5,8.22,Atlético-MG,282,hulk,Givanildo Vieira de Souza,17,11.7,Hulk,Hulk,15,8.28,4.0,,52.0,,,,,2.0,1.0,6.0,25.0,20.0,24.0,6.0,1.0,1.0,6.0,,,
12,6,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_220x220.png,3.42,39656,-0.29,4,0.55,Atlético-MG,282,alan-franco,Alan Steven Franco Palma,17,0.6,A. Franco,Alan Franco,2,0.47,1.0,,,,,,,,,3.0,5.0,,,,,,,,,
13,7,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,7.39,39850,-0.08,6,3.73,América-MG,327,vagner-mancini,Vagner Carmo Mancini,17,2.91,V. Mancini,Vagner Mancini,16,2.01,,,,,,,2.0,,,,,,,,,,,,,
14,7,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,11.54,40990,0.5,6,5.49,São Paulo,276,dorival-junior,Dorival Silvestre Júnior,17,5.88,D. Júnior,Dorival Júnior,16,4.09,,,,,,,7.0,,,,,,,,,,,,,
15,7,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,8.32,41327,0.3,6,4.76,Corinthians,264,vanderlei-luxemburgo,Vanderlei Luxemburgo da Silva,17,6.86,V. Luxemburgo,Vanderlei Luxemburgo,13,4.86,,,,,,,4.0,,,,,,,,,,,,,
16,7,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,12.42,41929,-0.56,6,5.56,Grêmio,284,renato-gaucho,Renato Portaluppi,17,3.54,R. Gaúcho,Renato Gaúcho,16,2.39,,,,,,,9.0,,,,,,,,,,,,,
17,5,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,4.85,42116,0.0,5,2.47,Athlético-PR,293,willian,Willian Gomes de Siqueira,17,0.0,Willian,Willian,7,1.77,,,,,,,,,,,1.0,,2.0,,,,2.0,,,
18,7,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,7.64,42234,-0.89,1,3.38,Corinthians,264,cassio,Cássio Roberto Ramos,17,3.0,Cássio,Cássio,16,2.08,2.0,53.0,4.0,18.0,1.0,4.0,,,,,,,,,,,,,,
19,7,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,7.95,42500,-0.91,2,4.35,Corinthians,264,fagner,Fagner Conserva Lemos,17,0.9,Fagner,Fagner,14,0.55,4.0,,21.0,,,4.0,,1.0,,22.0,8.0,,3.0,,,1.0,,,,
20,7,https://s.sde.globo.com/media/person_role/2021/07/09/e29b4de70c7cc0b46eb86661058d026f_220x220.png,9.23,43618,0.39,6,3.54,Atlético-MG,282,luiz-felipe-scolari,Luiz Felipe Scolari,17,4.58,L. Scolari,Luiz Felipe Scolari,7,3.22,,,,,,,,,,,,,,,,,,,,
21,6,https://s.sde.globo.com/media/person_role/2023/05/26/photo_FORMATO_44OJR08.png,4.17,49675,-0.92,5,3.07,São Paulo,276,alexandre-pato,Alexandre Rodrigues da Silva,17,1.2,A. Pato,Alexandre Pato,3,0.87,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,
22,6,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,6.04,50317,0.05,3,3.15,Fluminense,266,david-braz,David Braz de Oliveira Filho,17,5.0,D. Braz,David Braz,9,3.62,1.0,,2.0,,,5.0,,,,3.0,6.0,,2.0,,,,,,,
23,6,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,4.36,50347,-0.13,5,1.76,Atlético-MG,282,alan-kardec,Alan Kardec de Sousa Pereira Júnior,17,0.0,A. Kardec,Alan Kardec,5,0.02,1.0,,1.0,,,,,,,,3.0,,3.0,2.0,,,1.0,,,
24,7,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,7.85,50353,0.25,3,4.6,Fortaleza,356,titi,Christian Chagas Tarouco,17,1.3,Titi,Titi,15,0.83,5.0,,14.0,,1.0,7.0,,1.0,,25.0,16.0,1.0,2.0,,,,,,,
25,7,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,2.9,50856,-0.74,3,1.34,Coritiba,294,henrique,Henrique Adriano Buss,17,0.9,Henrique,Henrique,11,0.66,3.0,,2.0,,,2.0,,,,7.0,10.0,1.0,,,,,,,,
26,6,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,5.29,51042,0.0,2,2.46,Goiás,290,apodi,Luiz Diallison de Souza Alves,17,0.0,Apodi,Apodi,9,2.16,1.0,,2.0,,,1.0,,,,3.0,6.0,5.0,1.0,5.0,1.0,,1.0,,,
27,7,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,5.73,51413,-0.05,1,3.0,Cuiabá,1371,walter,Walter Leandro Capeloza Artune,17,1.0,Walter,Walter,17,0.63,2.0,52.0,2.0,19.0,1.0,4.0,,,,,,,,,,,,,,
28,6,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,2.75,51548,0.0,4,0.86,Corinthians,264,giuliano,Giuliano Victor de Paula,17,0.0,Giuliano,Giuliano,11,2.36,1.0,,4.0,,,,,,,7.0,5.0,,2.0,,,,,,,
29,7,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,8.88,51772,-0.41,4,3.98,Flamengo,262,everton-ribeiro,Everton Augusto de Barros Ribeiro,17,1.2,E. Ribeiro,Everton Ribeiro,13,0.81,1.0,,15.0,,,,,2.0,,12.0,9.0,3.0,5.0,1.0,,,2.0,,,
30,6,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,4.52,52253,0.0,3,4.85,Atlético-MG,282,rever,Réver Humberto Alves Araújo,17,0.0,Réver,Réver,2,4.38,1.0,,,,,2.0,,,,,1.0,,,,,,,,,
31,6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,7.42,52827,0.0,3,4.28,Flamengo,262,david-luiz,David Luiz Moreira Marinho,17,0.0,D. Luiz,David Luiz,11,3.26,1.0,,3.0,,,4.0,,1.0,,12.0,12.0,1.0,2.0,,,,1.0,,,
32,6,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,6.0,60793,0.0,4,2.7,Vasco,267,alex-teixeira,Alex Teixeira Santos,17,0.0,A. Teixeira,Alex Teixeira,14,1.28,1.0,,19.0,,,,,3.0,,6.0,20.0,5.0,10.0,8.0,,,,,,
33,6,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_cX2MCU4.png,5.75,60825,0.0,5,2.88,América-MG,327,felipe-azevedo,Felipe Azevedo dos Santos,17,0.0,F. Azevedo,Felipe Azevedo,13,6.08,,,12.0,,,,,,,7.0,11.0,3.0,5.0,1.0,,1.0,2.0,,,
34,6,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,2.87,60852,0.0,2,0.0,Cuiabá,1371,uendel,Uendel Pereira Gonçalves,17,0.0,Uendel,Uendel,1,3.77,,,,,,,,,,,,,,,,,,,,
35,6,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,4.73,61106,0.0,2,4.12,Bahia,265,cicinho,Neuciano de Jesus Gusmão,17,0.0,Cicinho,Cicinho,8,4.89,3.0,,9.0,,,3.0,,,,13.0,18.0,2.0,1.0,,,1.0,,,,
36,6,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,8.5,61188,0.0,5,3.7,Cruzeiro,283,gilberto,Gilberto Oliveira Souza Júnior,17,0.0,Gilberto,Gilberto,15,2.37,3.0,,11.0,,,,,1.0,,6.0,13.0,5.0,19.0,4.0,,,3.0,,,
37,6,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_cj8zcro.png,5.29,62969,0.0,5,8.0,Fluminense,266,alan,Alan Douglas Borges de Carvalho,17,0.0,Alan,Alan,1,5.98,,,,,,,,,,,,,,,,,1.0,,,
38,7,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_PmRYkjX.png,10.64,62977,-0.33,4,4.52,Fluminense,266,ganso,Paulo Henrique Chagas de Lima,17,1.4,Ganso,Ganso,14,0.91,2.0,,23.0,,,,,3.0,,11.0,8.0,2.0,2.0,1.0,,,3.0,,,
39,2,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,4.67,63013,0.17,2,2.9,Palmeiras,275,marcos-rocha,Marcos Luis Rocha Aquino,17,0.9,M. Rocha,Marcos Rocha,5,0.66,,,6.0,,1.0,1.0,,,,8.0,7.0,,,,,,,,,
