,atletas.clube_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.jogos_num,atletas.apelido,atletas.status_id,atletas.slug,atletas.pontos_num,atletas.atleta_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.nome,atletas.clube.id.full.name,atletas.preco_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,PS,PC,SG,DE,GS,V,CV,DP,GC
0,266,0.02,4.61,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,Fábio,18,Fábio,7,fabio,4.5,37656,1,,18,Fábio Deivson Lopes Maciel,Fluminense,12.76,,2.0,,,,,2.0,,,,,,,7.0,66.0,17.0,,,,
1,277,0.0,0.36,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,B. Mezenga,8,Bruno Mezenga,6,bruno-mezenga,0.0,37865,5,,18,Bruno Ferreira Mombra Rosa,Santos,1.69,,1.0,2.0,8.0,1.0,3.0,1.0,,,2.0,,,,,,,,,,
2,276,-1.04,3.99,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Rafinha,14,Rafinha,3,rafinha,0.8,38144,2,,18,Márcio Rafael Ferreira de Souza,São Paulo,7.11,1.0,3.0,24.0,10.0,1.0,1.0,14.0,1.0,,,,,1.0,4.0,,,,,,1.0
3,264,2.58,3.37,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,F. Santos,11,Fábio Santos,7,fabio-santos,14.7,38229,2,,18,Fábio Santos Romeu,Corinthians,6.36,1.0,3.0,9.0,10.0,,1.0,15.0,,1.0,,1.0,,,3.0,,,,,,
4,327,0.0,1.62,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,W. Paulista,6,Wellington Paulista,6,wellington-paulista,0.0,38279,5,,18,Wellington Pereira do Nascimento,América-MG,3.4,,,,2.0,2.0,5.0,,,1.0,1.0,1.0,,,,,,,,,
5,293,0.07,2.84,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,T. Heleno,15,Thiago Heleno,6,thiago-heleno,1.1,38394,3,,18,Thiago Heleno Henrique Ferreira,Athlético-PR,6.66,,3.0,15.0,11.0,,3.0,9.0,,,1.0,,,1.0,5.0,,,,,,
6,264,0.46,3.22,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,R. Augusto,7,Renato Augusto,7,renato-augusto,8.0,38398,4,,18,Renato Soares de Oliveira Augusto,Corinthians,13.02,1.0,,5.0,3.0,1.0,1.0,5.0,,1.0,1.0,,,,,,,,,,
7,266,-0.12,7.08,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,Marcelo,8,Marcelo,7,marcelo,6.0,38402,2,,18,Marcelo Vieira da Silva Júnior,Fluminense,13.77,1.0,1.0,15.0,2.0,3.0,4.0,17.0,,,1.0,,,,4.0,,,,,,
8,266,-0.22,0.84,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,F. Melo,12,Felipe Melo,3,felipe-melo,-1.0,38545,4,,18,Felipe Melo de Carvalho,Fluminense,2.48,,6.0,7.0,7.0,,1.0,4.0,,1.0,,,,1.0,,,,,,,
9,262,0.0,3.2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,F. Luís,5,Filipe Luís,6,filipe-luis,0.0,38750,2,,18,Filipe Luís Kasmirski,Flamengo,5.63,,2.0,4.0,2.0,,1.0,6.0,,,,,,,2.0,,,,,,
10,282,0.0,2.16,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,Mariano,12,Mariano,6,mariano,0.0,38877,2,,18,Mariano Ferreira Filho,Atlético-MG,5.15,,3.0,18.0,16.0,1.0,,2.0,,,,,,,2.0,,,,,,
11,282,0.55,8.51,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,Hulk,16,Hulk,7,hulk,12.9,39148,5,,18,Givanildo Vieira de Souza,Atlético-MG,18.53,2.0,4.0,7.0,27.0,20.0,27.0,56.0,1.0,7.0,7.0,,1.0,,,,,,1.0,,
12,282,-0.2,0.37,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_220x220.png,A. Franco,3,Alan Franco,6,alan-franco,0.0,39656,4,,18,Alan Steven Franco Palma,Atlético-MG,3.22,,1.0,3.0,5.0,,,,,,,,,,,,,,,,
13,1,0.17,3.72,,V. Mancini,17,Vagner Mancini,6,vagner-mancini,3.52,39850,6,,18,Vagner Carmo Mancini,,7.56,,,,,,,,,,,,,,,,,,,,
14,276,-0.42,5.32,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,D. Júnior,17,Dorival Júnior,7,dorival-junior,2.68,40990,6,,18,Dorival Silvestre Júnior,São Paulo,11.12,,,,,,,,,,,,,,,,,7.0,,,
15,264,-0.23,4.73,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,V. Luxemburgo,14,Vanderlei Luxemburgo,7,vanderlei-luxemburgo,4.27,41327,6,,18,Vanderlei Luxemburgo da Silva,Corinthians,8.09,,,,,,,,,,,,,,,,,4.0,,,
