,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.entrou_em_campo,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.media_num,atletas.atleta_id,atletas.clube_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.foto,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PC,SG,PS,PP,DE,GS,PI,DP,GC,V
0,,1,Fábio Deivson Lopes Maciel,Fluminense,fabio,19,7,True,19,1.0,Fábio,4.42,37656,266,Fábio,12.19,-0.57,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,,2.0,,,,,2.0,,,,,,7.0,,,69.0,19.0,,,,
1,,5,Bruno Ferreira Mombra Rosa,Santos,bruno-mezenga,9,6,True,19,0.7,Bruno Mezenga,0.4,37865,277,B. Mezenga,1.82,0.13,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,,1.0,2.0,9.0,1.0,3.0,3.0,,,2.0,,,,,,,,,,,
2,,2,Márcio Rafael Ferreira de Souza,São Paulo,rafinha,14,3,False,19,0.0,Rafinha,3.99,38144,276,Rafinha,7.11,0.0,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,1.0,3.0,24.0,10.0,1.0,1.0,14.0,1.0,,,,1.0,4.0,,,,,,,1.0,
3,,2,Fábio Santos Romeu,Corinthians,fabio-santos,12,7,True,19,0.5,Fábio Santos,3.13,38229,264,F. Santos,4.36,-2.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,1.0,3.0,9.0,10.0,,1.0,16.0,,1.0,,,,3.0,,1.0,,,,,,
4,,5,Wellington Pereira do Nascimento,América-MG,wellington-paulista,7,6,True,19,1.2,Wellington Paulista,1.56,38279,327,W. Paulista,3.4,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,,,,2.0,2.0,6.0,1.0,,1.0,2.0,,,,,1.0,,,,,,
5,,3,Thiago Heleno Henrique Ferreira,Athlético-PR,thiago-heleno,15,6,False,19,0.0,Thiago Heleno,2.84,38394,293,T. Heleno,6.66,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,,3.0,15.0,11.0,,3.0,9.0,,,1.0,,1.0,5.0,,,,,,,,
6,,4,Renato Soares de Oliveira Augusto,Corinthians,renato-augusto,8,7,True,19,4.7,Renato Augusto,3.41,38398,264,R. Augusto,12.62,-0.4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,1.0,,5.0,3.0,3.0,2.0,8.0,,1.0,1.0,,,,,,,,,,,
7,,2,Marcelo Vieira da Silva Júnior,Fluminense,marcelo,9,7,True,19,4.2,Marcelo,6.76,38402,266,Marcelo,13.55,-0.22,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,1.0,1.0,16.0,3.0,4.0,6.0,18.0,,,1.0,,,4.0,,,,,,,,
8,,4,Felipe Melo de Carvalho,Fluminense,felipe-melo,12,3,False,19,0.0,Felipe Melo,0.84,38545,266,F. Melo,2.48,0.0,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,,6.0,7.0,7.0,,1.0,4.0,,1.0,,,1.0,,,,,,,,,
9,,2,Filipe Luís Kasmirski,Flamengo,filipe-luis,5,6,False,19,0.0,Filipe Luís,3.2,38750,262,F. Luís,5.63,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,,2.0,4.0,2.0,,1.0,6.0,,,,,,2.0,,,,,,,,
10,,2,Mariano Ferreira Filho,Atlético-MG,mariano,13,7,True,19,5.9,Mariano,2.45,38877,282,Mariano,5.95,0.8,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,,3.0,19.0,17.0,1.0,,2.0,,,,,,3.0,,,,,,,,
