,atletas.atleta_id,atletas.apelido,atletas.minimo_para_valorizar,atletas.status_id,atletas.apelido_abreviado,atletas.jogos_num,atletas.slug,atletas.pontos_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.posicao_id,atletas.clube_id,atletas.preco_num,atletas.nome,atletas.variacao_num,atletas.media_num,atletas.foto,FF,G,CA,DS,FC,FD,FS,I,SG,DE,DP,GS,PC,CV,FT,A,PS,V,PP
0,37281,Mano Menezes,,7,M. Menezes,2,mano-menezes,6.95,Internacional,2,6,285,11.03,Luis Antônio Venker de Menezes,0.35,5.75,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,,,,,,,,,,,,,,,,,,1.0,
1,37656,Fábio,,7,Fábio,2,fabio,7.0,Fluminense,2,1,266,13.17,Fábio Deivson Lopes Maciel,0.27,7.0,https://s.sde.globo.com/media/person_role/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,,,,,,,,,2.0,4.0,,,,,,,,,
2,37865,Bruno Mezenga,,6,B. Mezenga,2,bruno-mezenga,0.0,Santos,2,5,277,2.53,Bruno Ferreira Mombra Rosa,-0.82,0.6,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,,,,1.0,,,,,,,,,,,,,,,
3,38144,Rafinha,,6,Rafinha,1,rafinha,0.0,São Paulo,2,2,276,6.06,Márcio Rafael Ferreira de Souza,0.0,3.4,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,,,,2.0,,,2.0,,,,,,,,,,,,
4,38229,Fábio Santos,,7,F. Santos,2,fabio-santos,4.0,Corinthians,2,2,264,5.0,Fábio Santos Romeu,-0.16,2.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,,,1.0,3.0,2.0,,4.0,,,,,,,,,,,,
5,38279,Wellington Paulista,,6,W. Paulista,2,wellington-paulista,0.0,América-MG,2,5,327,4.57,Wellington Pereira do Nascimento,-1.17,1.45,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,4.0,,,,1.0,,,,,,,,,,,,,,
6,38394,Thiago Heleno,,7,T. Heleno,2,thiago-heleno,3.6,Athlético-PR,2,3,293,7.46,Thiago Heleno Henrique Ferreira,0.1,4.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,,,,3.0,2.0,,,,1.0,,,,,,,,,,
7,38398,Renato Augusto,,5,R. Augusto,0,renato-augusto,0.0,Corinthians,2,4,264,19.0,Renato Soares de Oliveira Augusto,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,,,,,,,,,,,,,,,,,,,
8,38402,Marcelo,,7,Marcelo,0,marcelo,0.0,Fluminense,2,2,266,19.0,Marcelo Vieira da Silva Júnior,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_cKnKiav.png,,,,,,,,,,,,,,,,,,,
9,38545,Felipe Melo,,7,F. Melo,1,felipe-melo,0.5,Fluminense,2,4,266,3.51,Felipe Melo de Carvalho,-1.49,0.5,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_vO8uTh1.png,,,,,,,1.0,,,,,,,,,,,,
10,38750,Filipe Luís,,6,F. Luís,0,filipe-luis,0.0,Flamengo,2,2,262,8.0,Filipe Luís Kasmirski,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,,,,,,,,,,,,,,,,,,,
11,38877,Mariano,,6,Mariano,2,mariano,3.1,Atlético-MG,2,2,282,6.31,Mariano Ferreira Filho,-0.4,2.75,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,,,1.0,2.0,3.0,,,,1.0,,,,,,,,,,
12,39148,Hulk,,7,Hulk,2,hulk,4.0,Atlético-MG,2,5,282,13.19,Givanildo Vieira de Souza,-1.58,5.45,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,4.0,,1.0,,4.0,5.0,8.0,1.0,,,,,,,,,,,
13,39850,Vagner Mancini,,7,V. Mancini,2,vagner-mancini,2.89,América-MG,2,6,327,5.53,Vagner Carmo Mancini,-0.04,2.76,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,,,,,,,,,,,,,,,,,,,
14,40990,Dorival Júnior,,7,D. Júnior,1,dorival-junior,9.45,São Paulo,2,6,276,9.97,Dorival Silvestre Júnior,0.57,9.45,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,,,,,,,,,,,,,,,,,,1.0,
15,41929,Renato Gaúcho,,7,R. Gaúcho,2,renato-gaucho,3.53,Grêmio,2,6,284,11.82,Renato Portaluppi,-0.62,5.9,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,,,,,,,,,,,,,,,,,,1.0,
16,42116,Willian,,6,Willian,0,willian,0.0,Athlético-PR,2,5,293,6.0,Willian Gomes de Siqueira,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,,,,,,,,,,,,,,,,,,,
17,42234,Cássio,,7,Cássio,2,cassio,1.0,Corinthians,2,1,264,8.43,Cássio Roberto Ramos,-3.51,0.75,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,,,,,,,1.0,,,5.0,,4.0,,,,,,,
18,42411,Cuca,,7,Cuca,1,cuca,3.22,Corinthians,2,6,264,6.28,Alexi Stival,-1.28,3.22,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,,,,,,,,,,,,,,,,,,,
19,42500,Fagner,,5,Fagner,1,fagner,0.0,Corinthians,2,2,264,8.06,Fagner Conserva Lemos,0.0,3.5,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,,,1.0,4.0,1.0,,,,,,,,,,,,,,
20,50317,David Braz,,6,D. Braz,1,david-braz,0.0,Fluminense,2,3,266,6.45,David Braz de Oliveira Filho,0.0,5.0,https://s.sde.globo.com/media/person_role/2022/04/20/2787635c960a396f6aca8c8ff11b00d3_FORMATO.png,,,,,,,,,1.0,,,,,,,,,,
21,50347,Alan Kardec,,6,A. Kardec,0,alan-kardec,0.0,Atlético-MG,2,5,282,6.0,Alan Kardec de Sousa Pereira Júnior,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,,,,,,,,,,,,,,,,,,,
22,50353,Titi,,7,Titi,2,titi,6.2,Fortaleza,2,3,356,5.64,Christian Chagas Tarouco,1.19,3.55,https://s.sde.globo.com/media/person_role/2022/05/12/534ed4edd303b71622c53c102254193d_FORMATO.png,,,,2.0,1.0,,,,1.0,,,,,,,,,,
23,50456,Emerson Ávila,,7,E. Ávila,2,emerson-avila,6.35,Goiás,2,6,290,5.32,Emerson Rodrigues Ávila,1.72,3.96,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dFLXQrB.png,,,,,,,,,,,,,,,,,,1.0,
24,50856,Henrique,,6,Henrique,0,henrique,0.0,Coritiba,2,3,294,4.0,Henrique Adriano Buss,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,,,,,,,,,,,,,,,,,,,
25,51042,Apodi,,6,Apodi,1,apodi,9.6,Goiás,2,2,290,7.12,Luiz Diallison de Souza Alves,2.12,9.6,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
26,51413,Walter,,7,Walter,2,walter,0.0,Cuiabá,2,1,1371,4.8,Walter Leandro Capeloza Artune,-1.65,1.0,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,,,,,,,,,,5.0,,3.0,,,,,,,
27,51548,Giuliano,,7,Giuliano,2,giuliano,2.2,Corinthians,2,4,264,4.06,Giuliano Victor de Paula,-0.39,1.55,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,,
28,51772,Everton Ribeiro,,6,E. Ribeiro,2,everton-ribeiro,2.5,Flamengo,2,4,262,8.21,Everton Augusto de Barros Ribeiro,-1.98,2.15,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_SWdtKkm.png,1.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,
29,52253,Réver,,6,Réver,0,rever,0.0,Atlético-MG,2,3,282,6.0,Réver Humberto Alves Araújo,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_TbZoSBd.png,,,,,,,,,,,,,,,,,,,
30,52827,David Luiz,,7,D. Luiz,0,david-luiz,0.0,Flamengo,2,3,262,8.0,David Luiz Moreira Marinho,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8l0cfjh.png,,,,,,,,,,,,,,,,,,,
31,60793,Alex Teixeira,,7,A. Teixeira,2,alex-teixeira,6.9,Vasco,2,4,267,6.43,Alex Teixeira Santos,1.01,3.65,https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_95Ip8xR.png,1.0,,,1.0,4.0,,3.0,,,,,,,,,1.0,,,
32,60825,Felipe Azevedo,,6,F. Azevedo,2,felipe-azevedo,2.0,América-MG,2,5,327,4.33,Felipe Azevedo dos Santos,-0.7,1.4,https://s.sde.globo.com/media/person_role/2022/02/25/32fc5d9f18e690ed6ef80d16faae95cc_FORMATO.png,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,
33,60852,Uendel,,6,Uendel,0,uendel,0.0,Cuiabá,2,2,1371,4.0,Uendel Pereira Gonçalves,0.0,0.0,https://s.sde.globo.com/media/person_role/2022/02/23/80aa17d4669a6357c0620eb0988e839e_FORMATO.png,,,,,,,,,,,,,,,,,,,
34,61106,Cicinho,,6,Cicinho,0,cicinho,0.0,Bahia,2,2,265,4.0,Neuciano de Jesus Gusmão,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_o4R14ec.png,,,,,,,,,,,,,,,,,,,
35,61188,Gilberto,,7,Gilberto,2,gilberto,2.4,Cruzeiro,2,5,283,6.06,Gilberto Oliveira Souza Júnior,-1.42,1.5,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JtLzuBr.png,2.0,,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,
36,62969,Alan,,6,Alan,0,alan,0.0,Fluminense,2,5,266,4.0,Alan Douglas Borges de Carvalho,0.0,0.0,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_DUu9QkT.png,,,,,,,,,,,,,,,,,,,
37,62977,Ganso,,7,Ganso,2,ganso,5.3,Fluminense,2,4,266,10.66,Paulo Henrique Chagas de Lima,0.21,5.75,https://s.sde.globo.com/media/person_role/2022/04/20/509250387f7c9402d22e9aa33a52de97_FORMATO.png,,,,4.0,1.0,,4.0,,,,,,,,,1.0,,,
38,63013,Marcos Rocha,,7,M. Rocha,1,marcos-rocha,0.0,Palmeiras,2,2,275,6.26,Marcos Luis Rocha Aquino,0.0,4.7,https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_OnxH8aq.png,,,,4.0,2.0,,1.0,,,,,,,,,,,,
