,atletas.posicao_id,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.atleta_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.foto,atletas.slug,atletas.status_id,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.nome,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,PS,SG,CV,I,PC,DE,GS,FT,PP,DP,GC,V,PI
0,1,-0.13,20,Fábio,37656,4.25,,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,fabio,7,266,12.06,20,Fluminense,Fábio Deivson Lopes Maciel,True,Fábio,1.0,,2.0,,,,,2.0,,,7.0,,,,71.0,20.0,,,,,,
1,5,0.0,9,Bruno Mezenga,37865,0.4,,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,bruno-mezenga,6,277,1.82,20,Santos,Bruno Ferreira Mombra Rosa,False,B. Mezenga,0.0,,1.0,2.0,9.0,1.0,3.0,3.0,,,,,2.0,,,,,,,,,
2,2,-0.44,14,Rafinha,38144,3.92,,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,rafinha,6,276,6.67,20,São Paulo,Márcio Rafael Ferreira de Souza,False,Rafinha,-1.0,1.0,4.0,24.0,10.0,1.0,1.0,14.0,,,4.0,,,1.0,,,1.0,,,1.0,,
3,2,0.0,12,Fábio Santos,38229,3.13,,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,fabio-santos,6,264,4.36,20,Corinthians,Fábio Santos Romeu,False,F. Santos,0.0,1.0,3.0,9.0,10.0,,1.0,16.0,1.0,,3.0,,,,,,,1.0,,,,
4,5,0.0,7,Wellington Paulista,38279,1.56,,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,wellington-paulista,6,327,3.4,20,América-MG,Wellington Pereira do Nascimento,False,W. Paulista,0.0,,,,2.0,2.0,6.0,1.0,1.0,,,,2.0,,,,,1.0,,,,
5,3,0.0,15,Thiago Heleno,38394,2.84,,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,thiago-heleno,6,293,6.66,20,Athlético-PR,Thiago Heleno Henrique Ferreira,False,T. Heleno,0.0,,3.0,15.0,11.0,,3.0,9.0,,,5.0,,1.0,1.0,,,,,,,,
6,4,0.0,8,Renato Augusto,38398,3.41,,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,renato-augusto,6,264,12.62,20,Corinthians,Renato Soares de Oliveira Augusto,False,R. Augusto,0.0,1.0,,5.0,3.0,3.0,2.0,8.0,1.0,,,,1.0,,,,,,,,,
7,2,-0.6,10,Marcelo,38402,6.18,,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,marcelo,7,266,12.95,20,Fluminense,Marcelo Vieira da Silva Júnior,True,Marcelo,1.0,1.0,1.0,16.0,3.0,4.0,6.0,20.0,,,4.0,,1.0,,,,,,,,,
8,4,0.11,13,Felipe Melo,38545,0.79,,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,felipe-melo,7,266,2.59,20,Fluminense,Felipe Melo de Carvalho,True,F. Melo,0.2,,6.0,7.0,8.0,,1.0,5.0,1.0,,,,,1.0,,,,,,,,
9,2,0.03,6,Filipe Luís,38750,2.85,,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,filipe-luis,7,262,5.66,20,Flamengo,Filipe Luís Kasmirski,True,F. Luís,1.1,,2.0,6.0,3.0,,1.0,6.0,,,2.0,,,1.0,,,,,,,,
