,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.nome,atletas.pontos_num,atletas.clube.id.full.name,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.foto,atletas.apelido,atletas.preco_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.variacao_num,atletas.clube_id,CV,FC,FD,FF,FS,G,I,PP,CA,DS,PC,SG,A,DE,GS,FT,GC,V,PS,DP,PI
0,Fábio,7,1,22,,Fábio Deivson Lopes Maciel,11.0,Fluminense,4.57,fabio,21,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,Fábio,13.69,True,37656,1.63,266,,,,,2.0,,,,2.0,,,8.0,,77.0,20.0,,,,,,
1,B. Mezenga,6,5,22,,Bruno Ferreira Mombra Rosa,0.0,Santos,0.4,bruno-mezenga,9,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,Bruno Mezenga,1.82,False,37865,0.0,277,,9.0,1.0,3.0,3.0,,2.0,,1.0,2.0,,,,,,,,,,,
2,Rafinha,6,2,22,,Márcio Rafael Ferreira de Souza,0.0,São Paulo,3.92,rafinha,14,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,Rafinha,6.67,False,38144,0.0,276,,10.0,1.0,1.0,14.0,,,,4.0,24.0,1.0,4.0,1.0,,,1.0,1.0,,,,
3,F. Santos,7,2,22,,Fábio Santos Romeu,6.9,Corinthians,3.42,fabio-santos,13,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,Fábio Santos,5.39,True,38229,1.03,264,,11.0,,1.0,18.0,1.0,,1.0,3.0,10.0,,4.0,1.0,,,,,,,,
4,W. Paulista,3,5,22,,Wellington Pereira do Nascimento,0.0,América-MG,1.13,wellington-paulista,7,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,Wellington Paulista,2.63,False,38279,0.0,327,1.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
5,T. Heleno,7,3,22,,Thiago Heleno Henrique Ferreira,1.6,Athlético-PR,2.7,thiago-heleno,17,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,Thiago Heleno,6.62,True,38394,0.03,293,,14.0,1.0,4.0,11.0,,1.0,,3.0,16.0,1.0,5.0,,,,,,,,,
6,R. Augusto,6,4,22,,Renato Soares de Oliveira Augusto,0.0,Corinthians,3.78,renato-augusto,9,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,Renato Augusto,12.83,False,38398,0.0,264,,3.0,4.0,2.0,9.0,1.0,1.0,,,5.0,,,2.0,,,,,,,,
7,Marcelo,5,2,22,,Marcelo Vieira da Silva Júnior,0.0,Fluminense,6.18,marcelo,10,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,Marcelo,12.95,False,38402,0.0,266,,3.0,4.0,6.0,20.0,,1.0,,1.0,16.0,,4.0,1.0,,,,,,,,
8,F. Melo,7,4,22,,Felipe Melo de Carvalho,2.9,Fluminense,0.94,felipe-melo,14,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,Felipe Melo,3.03,True,38545,0.44,266,,8.0,,1.0,6.0,1.0,,,6.0,9.0,1.0,,,,,,,,,,
9,F. Luís,6,2,22,,Filipe Luís Kasmirski,0.0,Flamengo,2.85,filipe-luis,6,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,Filipe Luís,5.66,False,38750,0.0,262,,3.0,,1.0,6.0,,,,2.0,6.0,1.0,2.0,,,,,,,,,
10,Mariano,7,2,22,,Mariano Ferreira Filho,1.4,Atlético-MG,2.59,mariano,15,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,Mariano,5.44,True,38877,-0.53,282,,21.0,1.0,,3.0,,,,4.0,22.0,,4.0,,,,,,,,,
11,Hulk,7,5,22,,Givanildo Vieira de Souza,1.6,Atlético-MG,8.38,hulk,20,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,Hulk,17.42,True,39148,-2.02,282,1.0,37.0,27.0,31.0,68.0,7.0,9.0,,6.0,8.0,,,5.0,,,2.0,,,1.0,,
12,A. Franco,5,4,22,,Alan Steven Franco Palma,0.0,Atlético-MG,0.8,alan-franco,5,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,Alan Franco,3.32,False,39656,0.0,282,,9.0,,,1.0,,,,1.0,6.0,,,,,,,,,,,
13,D. Júnior,6,6,22,,Dorival Silvestre Júnior,0.0,São Paulo,5.04,dorival-junior,20,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,Dorival Júnior,11.09,False,40990,0.0,276,,,,,,,,,,,,,,,,,,7.0,,,
14,V. Luxemburgo,7,6,22,,Vanderlei Luxemburgo da Silva,5.34,Corinthians,4.81,vanderlei-luxemburgo,18,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,Vanderlei Luxemburgo,8.71,True,41327,0.42,264,,,,,,,,,,,,,,,,,,5.0,,,
15,R. Gaúcho,7,6,22,,Renato Portaluppi,7.46,Grêmio,5.62,renato-gaucho,21,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,Renato Gaúcho,13.46,True,41929,-0.08,284,,,,,,,,,,,,,,,,,,12.0,,,
16,Willian,5,5,22,,Willian Gomes de Siqueira,0.0,Athlético-PR,2.47,willian,7,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,Willian,4.85,False,42116,0.0,293,,1.0,,2.0,,2.0,,,,,,,,,,,,,,,
17,Cássio,7,1,22,,Cássio Roberto Ramos,9.0,Corinthians,3.49,cassio,21,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,Cássio,8.83,True,42234,1.29,264,,,,,4.0,,,,2.0,,1.0,5.0,,72.0,23.0,,,,,,
