,atletas.status_id,atletas.apelido_abreviado,atletas.jogos_num,atletas.slug,atletas.entrou_em_campo,atletas.rodada_id,atletas.apelido,atletas.preco_num,atletas.posicao_id,atletas.foto,atletas.media_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.clube.id.full.name,atletas.atleta_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,DE,GS,SG,CV,PC,PS,V,GC,DP,PI
0,7,Fábio,22,fabio,True,23,Fábio,11.24,1,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,4.18,,266,Fluminense,37656,-4.0,Fábio Deivson Lopes Maciel,-2.45,,2.0,,,,,2.0,,,,,77.0,24.0,8.0,,,,,,,
1,6,B. Mezenga,9,bruno-mezenga,False,23,Bruno Mezenga,1.82,5,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,0.4,,277,Santos,37865,0.0,Bruno Ferreira Mombra Rosa,0.0,,1.0,2.0,9.0,1.0,3.0,3.0,,,2.0,,,,,,,,,,,
2,7,Rafinha,15,rafinha,True,23,Rafinha,6.34,2,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,3.55,,276,São Paulo,38144,-1.6,Márcio Rafael Ferreira de Souza,-0.33,1.0,5.0,24.0,12.0,1.0,1.0,14.0,1.0,,,,,,4.0,,1.0,,,1.0,,
3,7,F. Santos,13,fabio-santos,False,23,Fábio Santos,5.39,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,3.42,,264,Corinthians,38229,0.0,Fábio Santos Romeu,0.0,1.0,3.0,10.0,11.0,,1.0,18.0,,1.0,,1.0,,,4.0,,,,,,,
4,5,W. Paulista,7,wellington-paulista,False,23,Wellington Paulista,2.63,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,1.13,,327,América-MG,38279,0.0,Wellington Pereira do Nascimento,0.0,,,,2.0,2.0,6.0,1.0,,1.0,2.0,1.0,,,,1.0,,,,,,
5,7,T. Heleno,18,thiago-heleno,True,23,Thiago Heleno,7.32,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,2.88,,293,Athlético-PR,38394,5.9,Thiago Heleno Henrique Ferreira,0.7,,3.0,17.0,15.0,1.0,4.0,11.0,,,1.0,,,,6.0,,1.0,,,,,
6,7,R. Augusto,9,renato-augusto,False,23,Renato Augusto,12.83,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,3.78,,264,Corinthians,38398,0.0,Renato Soares de Oliveira Augusto,0.0,2.0,,5.0,3.0,4.0,2.0,9.0,,1.0,1.0,,,,,,,,,,,
7,6,Marcelo,11,marcelo,True,23,Marcelo,14.17,2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,6.52,,266,Fluminense,38402,9.9,Marcelo Vieira da Silva Júnior,1.22,1.0,1.0,17.0,4.0,4.0,6.0,22.0,,1.0,1.0,,,,4.0,,,,,,,
8,7,F. Melo,14,felipe-melo,False,23,Felipe Melo,3.03,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,0.94,,266,Fluminense,38545,0.0,Felipe Melo de Carvalho,0.0,,6.0,9.0,8.0,,1.0,6.0,,1.0,,,,,,,1.0,,,,,
9,5,F. Luís,6,filipe-luis,False,23,Filipe Luís,5.66,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,2.85,,262,Flamengo,38750,0.0,Filipe Luís Kasmirski,0.0,,2.0,6.0,3.0,,1.0,6.0,,,,,,,2.0,,1.0,,,,,
10,7,Mariano,16,mariano,True,23,Mariano,6.32,2,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,2.85,,282,Atlético-MG,38877,6.7,Mariano Ferreira Filho,0.88,,5.0,25.0,24.0,1.0,,3.0,,,,,,,5.0,,,,,,,
11,7,Hulk,20,hulk,False,23,Hulk,17.42,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,8.38,,282,Atlético-MG,39148,0.0,Givanildo Vieira de Souza,0.0,5.0,6.0,8.0,37.0,27.0,31.0,68.0,2.0,7.0,9.0,,,,,1.0,,1.0,,,,
12,5,A. Franco,5,alan-franco,False,23,Alan Franco,3.32,4,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,0.8,,282,Atlético-MG,39656,0.0,Alan Steven Franco Palma,0.0,,1.0,6.0,9.0,,,1.0,,,,,,,,,,,,,,
