,atletas.preco_num,atletas.jogos_num,atletas.slug,atletas.media_num,atletas.clube_id,atletas.pontos_num,atletas.entrou_em_campo,atletas.status_id,atletas.posicao_id,atletas.foto,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.apelido,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,G,PS,SG,I,PP,CV,PC,FT,DE,GS,DP,GC,V,PI
0,12.81,23,fabio,4.26,266,6.0,True,3,1,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,37656,Fábio,Fluminense,Fábio Deivson Lopes Maciel,24,1.57,Fábio,,,3.0,,,,,2.0,,,9.0,,,,,,79.0,24.0,,,,
1,1.82,9,bruno-mezenga,0.4,277,0.0,False,6,5,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,37865,B. Mezenga,Santos,Bruno Ferreira Mombra Rosa,24,0.0,Bruno Mezenga,,,1.0,2.0,9.0,1.0,3.0,3.0,,,,2.0,,,,,,,,,,
2,6.34,15,rafinha,3.55,276,0.0,False,7,2,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,38144,Rafinha,São Paulo,Márcio Rafael Ferreira de Souza,24,0.0,Rafinha,,1.0,5.0,24.0,12.0,1.0,1.0,14.0,,,4.0,,,,1.0,1.0,,,,1.0,,
3,5.43,14,fabio-santos,3.62,264,6.2,True,7,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,38229,F. Santos,Corinthians,Fábio Santos Romeu,24,0.04,Fábio Santos,,1.0,3.0,11.0,11.0,,1.0,18.0,1.0,,5.0,,1.0,,,,,,,,,
4,2.63,7,wellington-paulista,1.13,327,0.0,False,6,5,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,38279,W. Paulista,América-MG,Wellington Pereira do Nascimento,24,0.0,Wellington Paulista,,,,,2.0,2.0,6.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,
5,6.79,19,thiago-heleno,2.83,293,1.9,True,7,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,38394,T. Heleno,Athlético-PR,Thiago Heleno Henrique Ferreira,24,-0.53,Thiago Heleno,,,4.0,17.0,17.0,1.0,4.0,12.0,,,6.0,1.0,,,1.0,1.0,,,,,,
6,12.49,10,renato-augusto,3.85,264,4.5,True,7,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,38398,R. Augusto,Corinthians,Renato Soares de Oliveira Augusto,24,-0.34,Renato Augusto,,2.0,,7.0,3.0,4.0,4.0,10.0,1.0,,,1.0,,,,,,,,,,
7,13.55,12,marcelo,6.38,266,4.8,True,7,2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,38402,Marcelo,Fluminense,Marcelo Vieira da Silva Júnior,24,-0.62,Marcelo,,1.0,2.0,17.0,4.0,4.0,7.0,22.0,1.0,,5.0,1.0,,,,,,,,,,
8,2.53,15,felipe-melo,0.86,266,-0.3,True,7,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,38545,F. Melo,Fluminense,Felipe Melo de Carvalho,24,-0.5,Felipe Melo,,,7.0,9.0,9.0,,1.0,8.0,1.0,,,,,,1.0,,,,,,,
9,5.66,6,filipe-luis,2.85,262,0.0,False,5,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,38750,F. Luís,Flamengo,Filipe Luís Kasmirski,24,0.0,Filipe Luís,,,2.0,6.0,3.0,,1.0,6.0,,,2.0,,,,1.0,,,,,,,
