,atletas.entrou_em_campo,atletas.minimo_para_valorizar,atletas.preco_num,atletas.pontos_num,atletas.jogos_num,atletas.clube.id.full.name,atletas.foto,atletas.atleta_id,atletas.posicao_id,atletas.media_num,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.nome,atletas.clube_id,atletas.slug,atletas.apelido,atletas.rodada_id,CA,DS,FC,FF,FS,G,SG,A,FD,PS,I,CV,PC,FT,PP,DE,GS,GC,V,DP,PI
0,True,,10.51,2.55,16,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,37281,6,4.69,7,-1.04,M. Menezes,Luis Antônio Venker de Menezes,264,mano-menezes,Mano Menezes,25,,,,,,,,,,,,,,,,,,,6.0,,
1,False,,12.81,0.0,23,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,37656,1,4.26,3,0.0,Fábio,Fábio Deivson Lopes Maciel,266,fabio,Fábio,25,3.0,,,,2.0,,9.0,,,,,,,,,79.0,24.0,,,,
2,False,,1.82,0.0,9,Santos,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,37865,5,0.4,6,0.0,B. Mezenga,Bruno Ferreira Mombra Rosa,277,bruno-mezenga,Bruno Mezenga,25,1.0,2.0,9.0,3.0,3.0,,,,1.0,,2.0,,,,,,,,,,
3,True,,6.27,-1.0,16,São Paulo,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,38144,2,3.27,7,-0.07,Rafinha,Márcio Rafael Ferreira de Souza,276,rafinha,Rafinha,25,6.0,25.0,16.0,1.0,14.0,,4.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,
4,False,,5.43,0.0,14,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,38229,2,3.62,6,0.0,F. Santos,Fábio Santos Romeu,264,fabio-santos,Fábio Santos,25,3.0,11.0,11.0,1.0,18.0,1.0,5.0,1.0,,,,,,,1.0,,,,,,
5,False,,2.63,0.0,7,América-MG,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,38279,5,1.13,6,0.0,W. Paulista,Wellington Pereira do Nascimento,327,wellington-paulista,Wellington Paulista,25,,,2.0,6.0,1.0,1.0,,,2.0,,2.0,1.0,,,1.0,,,,,,
6,True,,7.23,4.7,20,Athlético-PR,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,38394,3,2.92,7,0.44,T. Heleno,Thiago Heleno Henrique Ferreira,293,thiago-heleno,Thiago Heleno,25,5.0,21.0,19.0,4.0,15.0,,6.0,,1.0,,1.0,,1.0,1.0,,,,,,,
7,True,,11.68,0.0,11,Corinthians,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,38398,4,3.5,6,-0.81,R. Augusto,Renato Soares de Oliveira Augusto,264,renato-augusto,Renato Augusto,25,,7.0,3.0,4.0,10.0,1.0,,2.0,4.0,,1.0,,,,,,,,,,
8,False,,13.55,0.0,12,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,38402,2,6.38,6,0.0,Marcelo,Marcelo Vieira da Silva Júnior,266,marcelo,Marcelo,25,2.0,17.0,4.0,7.0,22.0,1.0,5.0,1.0,4.0,,1.0,,,,,,,,,,
9,False,,2.53,0.0,15,Fluminense,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,38545,4,0.86,6,0.0,F. Melo,Felipe Melo de Carvalho,266,felipe-melo,Felipe Melo,25,7.0,9.0,9.0,1.0,8.0,1.0,,,,,,,1.0,,,,,,,,
