,atletas.slug,atletas.clube_id,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.foto,atletas.jogos_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.apelido,atletas.nome,atletas.apelido_abreviado,atletas.preco_num,atletas.media_num,A,CA,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,PP,CV,V,DE,GS,PS,DP,PI
0,mano-menezes,264,37281,3.64,,-0.21,True,6,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,19,7,Corinthians,28,Mano Menezes,Luis Antônio Venker de Menezes,M. Menezes,10.74,4.62,,,,,,,,,,,,,,,,6.0,,,,,
1,fabio,266,37656,0.0,,0.38,True,1,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,26,7,Fluminense,28,Fábio,Fábio Deivson Lopes Maciel,Fábio,11.47,3.69,,3.0,,,,,2.0,,,,9.0,,,,,,83.0,30.0,,,
2,bruno-mezenga,277,37865,0.0,,0.0,False,5,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,9,6,Santos,28,Bruno Mezenga,Bruno Ferreira Mombra Rosa,B. Mezenga,1.82,0.4,,1.0,2.0,9.0,1.0,3.0,3.0,,,,,,2.0,,,,,,,,
3,rafinha,276,38144,7.6,,1.38,True,2,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,18,7,São Paulo,28,Rafinha,Márcio Rafael Ferreira de Souza,Rafinha,7.53,3.28,1.0,7.0,27.0,18.0,1.0,1.0,16.0,1.0,1.0,1.0,5.0,,,,,,,,,,
4,fabio-santos,264,38229,-0.1,,-1.35,True,2,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,17,6,Corinthians,28,Fábio Santos,Fábio Santos Romeu,F. Santos,4.87,4.06,1.0,3.0,13.0,13.0,,1.0,19.0,,,,5.0,3.0,,1.0,,,,,,,
5,wellington-paulista,327,38279,-1.3,,-0.27,True,5,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,9,6,América-MG,28,Wellington Paulista,Wellington Pereira do Nascimento,W. Paulista,2.61,0.74,,1.0,,3.0,2.0,6.0,1.0,,,,,1.0,2.0,1.0,1.0,,,,,,
6,thiago-heleno,293,38394,3.1,,0.04,True,3,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,22,7,Athlético-PR,28,Thiago Heleno,Thiago Heleno Henrique Ferreira,T. Heleno,7.02,2.94,,6.0,27.0,23.0,1.0,5.0,16.0,1.0,,1.0,6.0,,1.0,,,,,,,,
7,renato-augusto,264,38398,0.0,,-0.08,True,4,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,14,7,Corinthians,28,Renato Augusto,Renato Soares de Oliveira Augusto,R. Augusto,11.43,2.86,2.0,,7.0,4.0,4.0,5.0,12.0,,,,,1.0,1.0,,,,,,,,
8,marcelo,266,38402,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,14,7,Fluminense,28,Marcelo,Marcelo Vieira da Silva Júnior,Marcelo,13.06,5.89,1.0,3.0,18.0,5.0,6.0,11.0,23.0,,,,5.0,1.0,1.0,,,,,,,,
9,felipe-melo,266,38545,0.0,,0.0,False,4,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,16,7,Fluminense,28,Felipe Melo,Felipe Melo de Carvalho,F. Melo,2.27,0.73,,7.0,10.0,9.0,,1.0,9.0,,,1.0,,1.0,,,1.0,,,,,,
10,filipe-luis,262,38750,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,6,6,Flamengo,28,Filipe Luís,Filipe Luís Kasmirski,F. Luís,5.66,2.85,,2.0,6.0,3.0,,1.0,6.0,,,1.0,2.0,,,,,,,,,,
11,mariano,282,38877,0.0,,0.0,False,2,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,19,6,Atlético-MG,28,Mariano,Mariano Ferreira Filho,Mariano,6.82,3.5,1.0,5.0,30.0,26.0,1.0,,4.0,,,,7.0,,,,,,,,,,
12,hulk,282,39148,2.5,,-1.67,True,5,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,25,7,Atlético-MG,28,Hulk,Givanildo Vieira de Souza,Hulk,17.71,8.34,6.0,6.0,9.0,43.0,28.0,36.0,83.0,2.0,,,,10.0,11.0,,1.0,,,,1.0,,
13,alan-franco,282,39656,-0.9,,-0.52,True,4,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,9,7,Atlético-MG,28,Alan Franco,Alan Steven Franco Palma,A. Franco,3.0,1.14,,2.0,10.0,15.0,1.0,,1.0,1.0,,,,,,,,,,,,,
14,dorival-junior,276,40990,9.55,,1.32,True,6,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,26,7,São Paulo,28,Dorival Júnior,Dorival Silvestre Júnior,D. Júnior,12.25,4.94,,,,,,,,,,,,,,,,9.0,,,,,
15,renato-gaucho,284,41929,2.25,,-0.13,True,6,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,27,7,Grêmio,28,Renato Gaúcho,Renato Portaluppi,R. Gaúcho,12.58,5.1,,,,,,,,,,,,,,,,13.0,,,,,
