,atletas.rodada_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.slug,atletas.media_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,PC,PS,V,FT,PP,DE,DP,GS,CV,GC,PI
0,29,Corinthians,20,6,Luis Antônio Venker de Menezes,mano-menezes,4.75,7,M. Menezes,11.33,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,True,Mano Menezes,37281,7.26,,264,0.59,,,,,,,,,,,,,7.0,,,,,,,,
1,29,Fluminense,27,1,Fábio Deivson Lopes Maciel,fabio,3.48,7,Fábio,11.01,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,True,Fábio,37656,-2.0,,266,-0.46,,3.0,,,,,2.0,,,9.0,,,,,,84.0,,33.0,,,
2,29,Santos,9,5,Bruno Ferreira Mombra Rosa,bruno-mezenga,0.4,6,B. Mezenga,1.82,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,False,Bruno Mezenga,37865,0.0,,277,0.0,,1.0,2.0,9.0,1.0,3.0,3.0,,2.0,,,,,,,,,,,,
3,29,São Paulo,19,2,Márcio Rafael Ferreira de Souza,rafinha,3.04,3,Rafinha,6.15,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,True,Rafinha,38144,-1.2,,276,-1.38,1.0,7.0,29.0,20.0,1.0,1.0,16.0,,,5.0,1.0,,,1.0,,,,,1.0,1.0,
4,29,Corinthians,18,2,Fábio Santos Romeu,fabio-santos,4.11,7,F. Santos,5.65,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,True,Fábio Santos,38229,4.9,,264,0.78,1.0,4.0,14.0,14.0,,1.0,19.0,3.0,,6.0,,,,,1.0,,,,,,
5,29,América-MG,9,5,Wellington Pereira do Nascimento,wellington-paulista,0.74,6,W. Paulista,2.61,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,False,Wellington Paulista,38279,0.0,,327,0.0,,1.0,,3.0,2.0,6.0,1.0,1.0,2.0,,,,,,1.0,,,,1.0,,
6,29,Athlético-PR,23,3,Thiago Heleno Henrique Ferreira,thiago-heleno,2.81,7,T. Heleno,6.49,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,True,Thiago Heleno,38394,-0.1,,293,-0.53,,6.0,27.0,25.0,1.0,5.0,17.0,,1.0,6.0,1.0,,,1.0,,,,,,,
7,29,Corinthians,15,4,Renato Soares de Oliveira Augusto,renato-augusto,2.94,7,R. Augusto,11.97,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,True,Renato Augusto,38398,4.0,,264,0.54,2.0,,8.0,6.0,6.0,5.0,14.0,1.0,1.0,,,,,,,,,,,,
8,29,Fluminense,15,2,Marcelo Vieira da Silva Júnior,marcelo,5.64,7,Marcelo,12.78,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,True,Marcelo,38402,2.1,,266,-0.28,1.0,3.0,18.0,5.0,6.0,13.0,24.0,1.0,1.0,5.0,,,,,,,,,,,
9,29,Fluminense,17,4,Felipe Melo de Carvalho,felipe-melo,1.14,2,F. Melo,3.71,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,True,Felipe Melo,38545,7.7,,266,1.44,,7.0,10.0,10.0,,1.0,9.0,2.0,,,1.0,,,,,,,,1.0,,
10,29,Flamengo,6,2,Filipe Luís Kasmirski,filipe-luis,2.85,6,F. Luís,5.66,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,False,Filipe Luís,38750,0.0,,262,0.0,,2.0,6.0,3.0,,1.0,6.0,,,2.0,1.0,,,,,,,,,,
11,29,Atlético-MG,19,2,Mariano Ferreira Filho,mariano,3.5,6,Mariano,6.82,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,False,Mariano,38877,0.0,,282,0.0,1.0,5.0,30.0,26.0,1.0,,4.0,,,7.0,,,,,,,,,,,
12,29,Atlético-MG,26,5,Givanildo Vieira de Souza,hulk,8.45,7,Hulk,19.05,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,True,Hulk,39148,11.2,,282,1.34,6.0,6.0,11.0,43.0,28.0,36.0,85.0,11.0,13.0,,,1.0,,2.0,,,,,1.0,,
