,atletas.jogos_num,atletas.preco_num,atletas.pontos_num,atletas.status_id,atletas.posicao_id,atletas.apelido,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.foto,atletas.slug,atletas.clube_id,atletas.nome,atletas.clube.id.full.name,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.media_num,DS,FC,FS,CA,FD,FF,G,I,SG,V,DE,GS,DP,A,FT,PS,GC,PC,CV,PP
0,3,11.66,6.67,7,6,Mano Menezes,37281,3,M. Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,mano-menezes,285,Luis Antônio Venker de Menezes,Internacional,0.63,,6.06,,,,,,,,,,2.0,,,,,,,,,,
1,3,14.36,9.0,7,1,Fábio,37656,3,Fábio,https://s.sde.globo.com/media/person_role/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,fabio,266,Fábio Deivson Lopes Maciel,Fluminense,1.19,,7.67,,,,,,,,,2.0,,17.0,4.0,,,,,,,,
2,2,2.53,0.0,6,5,Bruno Mezenga,37865,3,B. Mezenga,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,bruno-mezenga,277,Bruno Ferreira Mombra Rosa,Santos,0.0,,0.6,1.0,,,,,,,,,,,,,,,,,,,
3,2,6.08,4.1,7,2,Rafinha,38144,3,Rafinha,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,rafinha,276,Márcio Rafael Ferreira de Souza,São Paulo,0.02,,3.75,5.0,,3.0,,,,,,,,,,,,,,,,,
4,2,5.0,0.0,7,2,Fábio Santos,38229,3,F. Santos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,fabio-santos,264,Fábio Santos Romeu,Corinthians,0.0,,2.0,3.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,
5,2,4.57,0.0,6,5,Wellington Paulista,38279,3,W. Paulista,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,wellington-paulista,327,Wellington Pereira do Nascimento,América-MG,0.0,,1.45,,1.0,,,,4.0,,,,,,,,,,,,,,
6,3,6.85,1.0,7,3,Thiago Heleno,38394,3,T. Heleno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,thiago-heleno,293,Thiago Heleno Henrique Ferreira,Athlético-PR,-0.61,,3.0,3.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,
7,0,19.0,0.0,5,4,Renato Augusto,38398,3,R. Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,renato-augusto,264,Renato Soares de Oliveira Augusto,Corinthians,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
8,0,19.0,0.0,7,2,Marcelo,38402,3,Marcelo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_cKnKiav.png,marcelo,266,Marcelo Vieira da Silva Júnior,Fluminense,0.0,,0.0,,,,,,,,,,,,,,,,,,,,
9,1,3.51,0.0,7,4,Felipe Melo,38545,3,F. Melo,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_vO8uTh1.png,felipe-melo,266,Felipe Melo de Carvalho,Fluminense,0.0,,0.5,,,1.0,,,,,,,,,,,,,,,,,
