,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.variacao_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.posicao_id,atletas.atleta_id,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.slug,atletas.nome,atletas.jogos_num,atletas.status_id,atletas.media_num,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FD,FF,FS,FT,I,PC,SG,A,CV,GC,DE,GS,G,PP,V,PS,DP,PI
0,True,M. Menezes,-0.62,30,Corinthians,264,6,37281,2.78,10.71,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,mano-menezes,Luis Antônio Venker de Menezes,21,7,4.66,Mano Menezes,,,,,,,,,,,,,,,,,,,7.0,,,
1,True,Fábio,0.08,30,Fluminense,266,1,37656,-1.0,11.09,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,fabio,Fábio Deivson Lopes Maciel,28,6,3.32,Fábio,,3.0,,,,,2.0,,,,9.0,,,,85.0,35.0,,,,,,
2,False,B. Mezenga,0.0,30,Santos,277,5,37865,0.0,1.82,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,bruno-mezenga,Bruno Ferreira Mombra Rosa,9,6,0.4,Bruno Mezenga,,1.0,2.0,9.0,1.0,3.0,3.0,,2.0,,,,,,,,,,,,,
3,False,Rafinha,0.0,30,São Paulo,276,2,38144,0.0,6.15,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,rafinha,Márcio Rafael Ferreira de Souza,19,7,3.04,Rafinha,,7.0,29.0,20.0,1.0,1.0,16.0,1.0,,1.0,5.0,1.0,1.0,1.0,,,,,,,,
4,True,F. Santos,-0.94,30,Corinthians,264,2,38229,-1.3,4.71,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,fabio-santos,Fábio Santos Romeu,19,3,3.83,Fábio Santos,,5.0,14.0,15.0,,1.0,19.0,,,,6.0,1.0,,,,,3.0,1.0,,,,
5,False,W. Paulista,0.0,30,América-MG,327,5,38279,0.0,2.61,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,wellington-paulista,Wellington Pereira do Nascimento,9,6,0.74,Wellington Paulista,,1.0,,3.0,2.0,6.0,1.0,,2.0,,,,1.0,,,,1.0,1.0,,,,
6,True,T. Heleno,0.19,30,Athlético-PR,293,3,38394,1.2,6.68,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,thiago-heleno,Thiago Heleno Henrique Ferreira,24,7,2.74,Thiago Heleno,,6.0,28.0,25.0,1.0,5.0,17.0,1.0,1.0,1.0,6.0,,,,,,,,,,,
7,True,R. Augusto,0.33,30,Corinthians,264,4,38398,5.6,12.3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,renato-augusto,Renato Soares de Oliveira Augusto,16,7,3.11,Renato Augusto,,,11.0,6.0,7.0,6.0,14.0,,1.0,,,2.0,,,,,1.0,,,,,
8,False,Marcelo,0.0,30,Fluminense,266,2,38402,0.0,12.78,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,marcelo,Marcelo Vieira da Silva Júnior,15,6,5.64,Marcelo,,3.0,18.0,5.0,6.0,13.0,24.0,,1.0,,5.0,1.0,,,,,1.0,,,,,
9,False,F. Melo,0.0,30,Fluminense,266,4,38545,0.0,3.71,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,felipe-melo,Felipe Melo de Carvalho,17,6,1.14,Felipe Melo,,7.0,10.0,10.0,,1.0,9.0,,,1.0,,,1.0,,,,2.0,,,,,
