,atletas.nome,atletas.jogos_num,atletas.foto,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.clube_id,DS,FF,FS,CA,FC,FD,DE,GS,SG,V,A,FT,I,G,GC,PS,CV,PC,PP,DP,PI
0,Luis Antônio Venker de Menezes,22,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,,31,Corinthians,0.88,37281,8.1,M. Menezes,6,7,11.59,4.82,True,mano-menezes,Mano Menezes,264,,,,,,,,,,8.0,,,,,,,,,,,
1,Fábio Deivson Lopes Maciel,28,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,,31,Fluminense,0.0,37656,0.0,Fábio,1,6,11.09,3.32,False,fabio,Fábio,266,,,2.0,3.0,,,85.0,35.0,9.0,,,,,,,,,,,,
2,Bruno Ferreira Mombra Rosa,9,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,,31,Santos,0.0,37865,0.0,B. Mezenga,5,6,1.82,0.4,False,bruno-mezenga,Bruno Mezenga,277,2.0,3.0,3.0,1.0,9.0,1.0,,,,,,,2.0,,,,,,,,
3,Márcio Rafael Ferreira de Souza,20,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,,31,São Paulo,1.03,38144,5.5,Rafinha,2,6,7.18,3.16,True,rafinha,Rafinha,276,29.0,1.0,17.0,7.0,20.0,1.0,,,6.0,,1.0,1.0,,,1.0,,1.0,1.0,,,
4,Fábio Santos Romeu,19,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,,31,Corinthians,0.0,38229,0.0,F. Santos,2,7,4.71,3.83,False,fabio-santos,Fábio Santos,264,14.0,1.0,19.0,5.0,15.0,,,,6.0,,1.0,,,3.0,,,,,1.0,,
5,Wellington Pereira do Nascimento,9,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,,31,América-MG,0.0,38279,0.0,W. Paulista,5,6,2.61,0.74,False,wellington-paulista,Wellington Paulista,327,,6.0,1.0,1.0,3.0,2.0,,,,,,,2.0,1.0,,,1.0,,1.0,,
6,Thiago Heleno Henrique Ferreira,25,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,,31,Athlético-PR,1.48,38394,10.1,T. Heleno,3,7,8.16,3.03,True,thiago-heleno,Thiago Heleno,293,35.0,5.0,18.0,6.0,25.0,2.0,,,6.0,,,1.0,1.0,,,,,1.0,,,
7,Renato Soares de Oliveira Augusto,17,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,,31,Corinthians,-0.28,38398,3.7,R. Augusto,4,7,12.02,3.14,True,renato-augusto,Renato Augusto,264,14.0,6.0,15.0,,7.0,7.0,,,,,2.0,,2.0,1.0,,,,,,,
8,Marcelo Vieira da Silva Júnior,15,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,,31,Fluminense,0.0,38402,0.0,Marcelo,2,6,12.78,5.64,False,marcelo,Marcelo,266,18.0,13.0,24.0,3.0,5.0,6.0,,,5.0,,1.0,,1.0,1.0,,,,,,,
9,Felipe Melo de Carvalho,17,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,,31,Fluminense,0.0,38545,0.0,F. Melo,4,6,3.71,1.14,False,felipe-melo,Felipe Melo,266,10.0,1.0,9.0,7.0,10.0,,,,,,,,,2.0,,,1.0,1.0,,,
