,atletas.pontos_num,atletas.status_id,atletas.entrou_em_campo,atletas.media_num,atletas.apelido_abreviado,atletas.apelido,atletas.foto,atletas.atleta_id,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.preco_num,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.nome,V,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,SG,CV,FT,GC,PC,PP,PS,DP,PI
0,3.15,7,True,4.75,M. Menezes,Mano Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,37281,32,,10.82,Corinthians,6,-0.77,264,mano-menezes,23,Luis Antônio Venker de Menezes,8.0,,,,,,,,,,,,,,,,,,,,
1,0.0,7,False,3.32,Fábio,Fábio,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,37656,32,,11.09,Fluminense,1,0.0,266,fabio,28,Fábio Deivson Lopes Maciel,,,,,,,2.0,,,3.0,85.0,35.0,9.0,,,,,,,,
2,0.0,6,False,0.4,B. Mezenga,Bruno Mezenga,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,37865,32,,1.82,Santos,5,0.0,277,bruno-mezenga,9,Bruno Ferreira Mombra Rosa,,,2.0,9.0,1.0,3.0,3.0,,2.0,1.0,,,,,,,,,,,
3,0.0,7,False,3.16,Rafinha,Rafinha,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,38144,32,,7.18,São Paulo,2,0.0,276,rafinha,20,Márcio Rafael Ferreira de Souza,,1.0,29.0,20.0,1.0,1.0,17.0,,,7.0,,,6.0,1.0,1.0,1.0,1.0,,,,
4,2.4,6,True,3.76,F. Santos,Fábio Santos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,38229,32,,5.2,Corinthians,2,0.49,264,fabio-santos,20,Fábio Santos Romeu,,1.0,15.0,16.0,,1.0,22.0,3.0,,5.0,,,6.0,,,,,1.0,,,
5,0.0,6,False,0.74,W. Paulista,Wellington Paulista,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,38279,32,,2.61,América-MG,5,0.0,327,wellington-paulista,9,Wellington Pereira do Nascimento,,,,3.0,2.0,6.0,1.0,1.0,2.0,1.0,,,,1.0,,,,1.0,,,
6,0.9,7,True,2.95,T. Heleno,Thiago Heleno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,38394,32,,6.76,Athlético-PR,3,-1.4,293,thiago-heleno,26,Thiago Heleno Henrique Ferreira,,,36.0,27.0,2.0,6.0,19.0,,1.0,7.0,,,6.0,,1.0,,1.0,,,,
7,1.4,7,True,3.04,R. Augusto,Renato Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,38398,32,,11.58,Corinthians,4,-0.44,264,renato-augusto,18,Renato Soares de Oliveira Augusto,,2.0,14.0,8.0,8.0,6.0,16.0,1.0,2.0,,,,,,,,,,,,
8,0.0,2,False,5.64,Marcelo,Marcelo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,38402,32,,12.78,Fluminense,2,0.0,266,marcelo,15,Marcelo Vieira da Silva Júnior,,1.0,18.0,5.0,6.0,13.0,24.0,1.0,1.0,3.0,,,5.0,,,,,,,,
9,0.0,6,False,1.14,F. Melo,Felipe Melo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,38545,32,,3.71,Fluminense,4,0.0,266,felipe-melo,17,Felipe Melo de Carvalho,,,10.0,10.0,,1.0,9.0,2.0,,7.0,,,,1.0,,,1.0,,,,
