,atletas.pontos_num,atletas.apelido_abreviado,atletas.clube_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.posicao_id,atletas.apelido,atletas.jogos_num,atletas.preco_num,atletas.slug,atletas.nome,atletas.foto,atletas.variacao_num,atletas.status_id,atletas.entrou_em_campo,atletas.atleta_id,atletas.rodada_id,atletas.clube.id.full.name,CV,DE,DP,FC,FS,GC,GS,SG,A,CA,DS,FD,FF,G,I,FT,PP,PC,PS,V,PI
0,4.12,M. Menezes,264,,4.72,6,Mano Menezes,24,10.89,mano-menezes,Luis Antônio Venker de Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,0.07,7,True,37281,33,Corinthians,,,,,,,,,,,,,,,,,,,,8.0,
1,9.0,Fábio,266,,3.52,1,Fábio,29,12.34,fabio,Fábio Deivson Lopes Maciel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,1.25,7,True,37656,33,Fluminense,,89.0,,,2.0,,35.0,10.0,,3.0,,,,,,,,,,,
2,0.0,B. Mezenga,277,,0.4,5,Bruno Mezenga,9,1.82,bruno-mezenga,Bruno Ferreira Mombra Rosa,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,0.0,6,False,37865,33,Santos,,,,9.0,3.0,,,,,1.0,2.0,1.0,3.0,,2.0,,,,,,
3,9.6,Rafinha,276,,3.47,2,Rafinha,21,7.82,rafinha,Márcio Rafael Ferreira de Souza,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,0.64,7,True,38144,33,São Paulo,1.0,,,20.0,19.0,1.0,,7.0,1.0,7.0,32.0,1.0,1.0,,,1.0,,1.0,,,
4,0.2,F. Santos,264,,3.59,2,Fábio Santos,21,4.81,fabio-santos,Fábio Santos Romeu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,-0.39,7,True,38229,33,Corinthians,,,,17.0,25.0,,,6.0,1.0,6.0,15.0,,1.0,3.0,,,1.0,,,,
5,0.2,W. Paulista,327,,0.69,5,Wellington Paulista,10,2.69,wellington-paulista,Wellington Pereira do Nascimento,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,0.08,6,True,38279,33,América-MG,1.0,,,5.0,1.0,,,,,1.0,,2.0,7.0,1.0,2.0,,1.0,,,,
6,0.7,T. Heleno,293,,2.87,3,Thiago Heleno,27,6.65,thiago-heleno,Thiago Heleno Henrique Ferreira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,-0.11,7,True,38394,33,Athlético-PR,,,,27.0,19.0,,,6.0,,7.0,36.0,2.0,7.0,,2.0,1.0,,1.0,,,
7,7.2,R. Augusto,264,,3.26,4,Renato Augusto,19,12.4,renato-augusto,Renato Soares de Oliveira Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,0.82,2,True,38398,33,Corinthians,,,,9.0,17.0,,,,3.0,,14.0,9.0,7.0,1.0,2.0,,,,,,
8,0.0,Marcelo,266,,5.64,2,Marcelo,15,12.78,marcelo,Marcelo Vieira da Silva Júnior,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,0.0,7,False,38402,33,Fluminense,,,,5.0,24.0,,,5.0,1.0,3.0,18.0,6.0,13.0,1.0,1.0,,,,,,
9,0.0,F. Melo,266,,1.14,4,Felipe Melo,17,3.71,felipe-melo,Felipe Melo de Carvalho,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,0.0,7,False,38545,33,Fluminense,1.0,,,10.0,9.0,,,,,7.0,10.0,,1.0,2.0,,,,1.0,,,
10,0.0,F. Luís,262,,3.93,2,Filipe Luís,7,6.8,filipe-luis,Filipe Luís Kasmirski,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,0.0,6,False,38750,33,Flamengo,,,,4.0,7.0,,,3.0,1.0,3.0,7.0,,1.0,,,,,1.0,,,
11,0.0,Mariano,282,,3.5,2,Mariano,19,6.82,mariano,Mariano Ferreira Filho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,0.0,6,False,38877,33,Atlético-MG,,,,26.0,4.0,,,7.0,1.0,5.0,30.0,1.0,,,,,,,,,
12,0.0,Hulk,282,,8.54,5,Hulk,29,17.75,hulk,Givanildo Vieira de Souza,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,0.0,6,False,39148,33,Atlético-MG,2.0,,,46.0,98.0,,,,7.0,7.0,12.0,30.0,45.0,12.0,16.0,3.0,,,1.0,,
13,-0.3,A. Franco,282,,1.26,4,Alan Franco,14,3.13,alan-franco,Alan Steven Franco Palma,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,-0.02,7,True,39656,33,Atlético-MG,,,,29.0,3.0,,,,,2.0,18.0,1.0,1.0,,,1.0,,,,,
14,8.97,D. Júnior,276,,4.99,6,Dorival Júnior,30,12.14,dorival-junior,Dorival Silvestre Júnior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,0.02,7,True,40990,33,São Paulo,,,,,,,,,,,,,,,,,,,,11.0,
