,atletas.rodada_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.status_id,atletas.jogos_num,atletas.media_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.preco_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.nome,atletas.foto,A,CA,DS,FC,FF,FS,G,I,PC,SG,CV,DE,DP,GC,GS,FD,FT,PS,V,PP,PI
0,35,,283,P. Autuori,7,1,7.99,True,Cruzeiro,11.32,paulo-autuori,7.99,Paulo Autuori,36943,0.73,6,Paulo César Autuori de Mello,https://s.sde.globo.com/media/person_role/2023/11/14/photo_FORMATO_9LUyoUG.png,,,,,,,,,,,,,,,,,,,1.0,,
1,35,,294,G. Ferreira,7,0,0.0,False,Coritiba,4.0,guto-ferreira,0.0,Guto Ferreira,37245,0.0,6,Augusto Sérgio Ferreira,https://s.sde.globo.com/media/person_role/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,,,,,,,,,,,,,,,,,,,,,
2,35,,264,M. Menezes,6,25,4.84,False,Corinthians,11.6,mano-menezes,0.0,Mano Menezes,37281,0.0,6,Luis Antônio Venker de Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,,,,,,,,,,,,,,,,,,,9.0,,
3,35,,266,Fábio,7,31,3.46,True,Fluminense,11.11,fabio,1.0,Fábio,37656,-0.64,1,Fábio Deivson Lopes Maciel,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,,3.0,,,,2.0,,,,10.0,,96.0,,,37.0,,,,,,
4,35,,277,B. Mezenga,6,9,0.4,False,Santos,1.82,bruno-mezenga,0.0,Bruno Mezenga,37865,0.0,5,Bruno Ferreira Mombra Rosa,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,,1.0,2.0,9.0,3.0,3.0,,2.0,,,,,,,,1.0,,,,,
5,35,,276,Rafinha,6,22,3.48,False,São Paulo,7.07,rafinha,0.0,Rafinha,38144,0.0,2,Márcio Rafael Ferreira de Souza,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,1.0,8.0,32.0,21.0,1.0,19.0,,,1.0,8.0,1.0,,,1.0,,1.0,1.0,,,,
6,35,,264,F. Santos,6,21,3.59,False,Corinthians,4.81,fabio-santos,0.0,Fábio Santos,38229,0.0,2,Fábio Santos Romeu,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,1.0,6.0,15.0,17.0,1.0,25.0,3.0,,,6.0,,,,,,,,,,1.0,
7,35,,327,W. Paulista,6,10,0.69,False,América-MG,2.69,wellington-paulista,0.0,Wellington Paulista,38279,0.0,5,Wellington Pereira do Nascimento,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,,1.0,,5.0,7.0,1.0,1.0,2.0,,,1.0,,,,,2.0,,,,1.0,
8,35,,293,T. Heleno,7,29,2.83,True,Athlético-PR,7.25,thiago-heleno,5.0,Thiago Heleno,38394,0.78,3,Thiago Heleno Henrique Ferreira,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,,7.0,37.0,33.0,7.0,19.0,,2.0,1.0,7.0,,,,,,2.0,1.0,,,,
9,35,,264,R. Augusto,6,20,3.22,False,Corinthians,11.8,renato-augusto,0.0,Renato Augusto,38398,0.0,4,Renato Soares de Oliveira Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,3.0,,16.0,9.0,7.0,17.0,1.0,2.0,,,,,,,,9.0,,,,,
