,atletas.clube.id.full.name,atletas.pontos_num,atletas.nome,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.foto,atletas.atleta_id,atletas.preco_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.clube_id,atletas.slug,atletas.jogos_num,atletas.apelido,A,CA,CV,DS,FC,FD,FF,FS,FT,GC,PC,SG,G,I,V,DE,GS,PP,PS,DP,PI
0,Cruzeiro,4.13,Paulo César Autuori de Mello,36,-0.17,6.06,https://s.sde.globo.com/media/person_role/2023/11/14/photo_FORMATO_9LUyoUG.png,36943,11.15,True,6,P. Autuori,7,,283,paulo-autuori,2,Paulo Autuori,,,,,,,,,,,,,,,1.0,,,,,,
1,Corinthians,0.0,Luis Antônio Venker de Menezes,36,0.0,4.84,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,37281,11.6,False,6,M. Menezes,7,,264,mano-menezes,25,Mano Menezes,,,,,,,,,,,,,,,9.0,,,,,,
2,Fluminense,13.0,Fábio Deivson Lopes Maciel,36,2.02,3.76,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,37656,13.13,True,1,Fábio,2,,266,fabio,32,Fábio,,3.0,,,,,,2.0,,,,11.0,,,,104.0,37.0,,,,
3,Santos,0.0,Bruno Ferreira Mombra Rosa,36,0.0,0.4,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,37865,1.82,False,5,B. Mezenga,6,,277,bruno-mezenga,9,Bruno Mezenga,,1.0,,2.0,9.0,1.0,3.0,3.0,,,,,,2.0,,,,,,,
4,São Paulo,6.7,Márcio Rafael Ferreira de Souza,36,0.47,3.62,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,38144,7.54,True,2,Rafinha,7,,276,rafinha,23,Rafinha,1.0,8.0,1.0,33.0,21.0,1.0,1.0,20.0,1.0,1.0,1.0,9.0,,,,,,,,,
5,Corinthians,0.0,Fábio Santos Romeu,36,0.0,3.59,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,38229,4.81,False,2,F. Santos,7,,264,fabio-santos,21,Fábio Santos,1.0,6.0,,15.0,17.0,,1.0,25.0,,,,6.0,3.0,,,,,1.0,,,
6,América-MG,0.0,Wellington Pereira do Nascimento,36,0.0,0.69,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,38279,2.69,False,5,W. Paulista,6,,327,wellington-paulista,10,Wellington Paulista,,1.0,1.0,,5.0,2.0,7.0,1.0,,,,,1.0,2.0,,,,1.0,,,
7,Athlético-PR,0.9,Thiago Heleno Henrique Ferreira,36,-0.56,2.77,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,38394,6.69,True,3,T. Heleno,7,,293,thiago-heleno,30,Thiago Heleno,,7.0,,38.0,34.0,2.0,7.0,19.0,1.0,,1.0,7.0,,2.0,,,,,,,
8,Corinthians,0.0,Renato Soares de Oliveira Augusto,36,0.0,3.22,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,38398,11.8,False,4,R. Augusto,7,,264,renato-augusto,20,Renato Augusto,3.0,,,16.0,9.0,9.0,7.0,17.0,,,,,1.0,2.0,,,,,,,
9,Fluminense,0.0,Marcelo Vieira da Silva Júnior,36,0.0,5.32,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,38402,12.69,False,2,Marcelo,6,,266,marcelo,17,Marcelo,1.0,3.0,,22.0,6.0,6.0,14.0,25.0,,,,5.0,1.0,1.0,,,,,,,
