,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.variacao_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido_abreviado,atletas.nome,atletas.rodada_id,atletas.atleta_id,atletas.apelido,atletas.media_num,atletas.clube_id,atletas.foto,atletas.pontos_num,A,CA,DS,FC,FF,FS,G,PP,SG,V,FD,FT,I,PC,CV,GC,PS,DE,GS,DP,PI
0,True,Cruzeiro,6,0.47,11.62,7,,3,paulo-autuori,P. Autuori,Paulo César Autuori de Mello,37,36943,Paulo Autuori,5.81,283,https://s.sde.globo.com/media/person_role/2023/11/14/photo_FORMATO_9LUyoUG.png,5.31,,,,,,,,,,1.0,,,,,,,,,,,
1,True,Coritiba,6,-0.61,3.39,7,,1,guto-ferreira,G. Ferreira,Augusto Sérgio Ferreira,37,37245,Guto Ferreira,2.45,294,https://s.sde.globo.com/media/person_role/2021/04/27/7b5d614f3eafc2e2e12922930cd3590e_FORMATO.png,2.45,,,,,,,,,,,,,,,,,,,,,
2,True,Corinthians,6,-0.87,10.73,7,,26,mano-menezes,M. Menezes,Luis Antônio Venker de Menezes,37,37281,Mano Menezes,4.75,264,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,2.43,,,,,,,,,,9.0,,,,,,,,,,,
3,True,Fluminense,1,-1.42,11.71,7,,33,fabio,Fábio,Fábio Deivson Lopes Maciel,37,37656,Fábio,3.74,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,3.0,,3.0,,,,2.0,,,11.0,,,,,,,,,108.0,38.0,,
4,False,Santos,5,0.0,1.82,6,,9,bruno-mezenga,B. Mezenga,Bruno Ferreira Mombra Rosa,37,37865,Bruno Mezenga,0.4,277,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,0.0,,1.0,2.0,9.0,3.0,3.0,,,,,1.0,,2.0,,,,,,,,
5,True,São Paulo,2,-0.51,7.03,2,,24,rafinha,Rafinha,Márcio Rafael Ferreira de Souza,37,38144,Rafinha,3.59,276,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,2.9,1.0,8.0,35.0,21.0,1.0,21.0,,,9.0,,1.0,1.0,,1.0,1.0,1.0,,,,,
6,True,Corinthians,2,-0.15,4.66,6,,22,fabio-santos,F. Santos,Fábio Santos Romeu,37,38229,Fábio Santos,3.41,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,-0.3,1.0,6.0,15.0,18.0,1.0,25.0,3.0,1.0,6.0,,,,,,,,,,,,
7,False,América-MG,5,0.0,2.69,6,,10,wellington-paulista,W. Paulista,Wellington Pereira do Nascimento,37,38279,Wellington Paulista,0.69,327,https://s.sde.globo.com/media/person_role/2023/10/10/photo_FORMATO_XcRG22X.png,0.0,,1.0,,5.0,7.0,1.0,1.0,1.0,,,2.0,,2.0,,1.0,,,,,,
8,True,Athlético-PR,3,0.66,7.35,3,,31,thiago-heleno,T. Heleno,Thiago Heleno Henrique Ferreira,37,38394,Thiago Heleno,2.84,293,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,4.9,,8.0,38.0,35.0,7.0,19.0,,,8.0,,3.0,1.0,2.0,1.0,,,,,,,
9,True,Corinthians,4,-0.4,11.4,7,,21,renato-augusto,R. Augusto,Renato Soares de Oliveira Augusto,37,38398,Renato Augusto,3.11,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,1.0,3.0,,16.0,9.0,7.0,19.0,1.0,,,,9.0,,2.0,,,,,,,,
10,False,Fluminense,2,0.0,12.69,2,,17,marcelo,Marcelo,Marcelo Vieira da Silva Júnior,37,38402,Marcelo,5.32,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,0.0,1.0,3.0,22.0,6.0,14.0,25.0,1.0,,5.0,,6.0,,1.0,,,,,,,,
11,False,Fluminense,4,0.0,2.37,2,,18,felipe-melo,F. Melo,Felipe Melo de Carvalho,37,38545,Felipe Melo,1.0,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,0.0,,8.0,10.0,11.0,1.0,9.0,2.0,,,,,,,1.0,1.0,,,,,,
12,True,Flamengo,2,-0.11,5.95,6,,10,filipe-luis,F. Luís,Filipe Luís Kasmirski,37,38750,Filipe Luís,4.01,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,3.6,1.0,3.0,13.0,4.0,1.0,8.0,,,4.0,,,,1.0,1.0,,,,,,,
13,True,Atlético-MG,2,-1.04,5.93,7,,21,mariano,Mariano,Mariano Ferreira Filho,37,38877,Mariano,3.61,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,1.1,1.0,5.0,35.0,28.0,,4.0,,,8.0,,1.0,,,1.0,,,,,,,
14,True,Atlético-MG,5,0.9,20.63,7,,33,hulk,Hulk,Givanildo Vieira de Souza,37,39148,Hulk,9.53,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,14.9,11.0,8.0,19.0,53.0,51.0,112.0,15.0,,,,34.0,3.0,20.0,,2.0,,2.0,,,,
15,True,Atlético-MG,4,0.4,3.55,6,,17,alan-franco,A. Franco,Alan Steven Franco Palma,37,39656,Alan Franco,1.31,282,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,2.4,,2.0,22.0,30.0,1.0,3.0,,,,,1.0,1.0,,,,,,,,,
16,True,São Paulo,6,-0.38,11.69,7,,34,dorival-junior,D. Júnior,Dorival Silvestre Júnior,37,40990,Dorival Júnior,5.05,276,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,4.02,,,,,,,,,,12.0,,,,,,,,,,,
17,True,Grêmio,6,0.47,13.69,7,,36,renato-gaucho,R. Gaúcho,Renato Portaluppi,37,41929,Renato Gaúcho,5.28,284,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,7.61,,,,,,,,,,20.0,,,,,,,,,,,
18,True,Athlético-PR,5,0.93,5.71,7,,17,willian,Willian,Willian Gomes de Siqueira,37,42116,Willian,2.83,293,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,7.7,,,6.0,9.0,5.0,5.0,4.0,,,,2.0,1.0,1.0,,,,,,,,
19,True,Corinthians,1,-2.14,7.94,7,,34,cassio,Cássio,Cássio Roberto Ramos,37,42234,Cássio,3.85,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,-1.0,,2.0,,,,5.0,,,9.0,,,,,1.0,,,,123.0,37.0,,
