,atletas.atleta_id,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.nome,atletas.apelido_abreviado,atletas.apelido,atletas.clube_id,atletas.jogos_num,atletas.foto,atletas.media_num,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.preco_num,atletas.posicao_id,atletas.status_id,A,DS,FC,FD,FF,FS,I,SG,DE,GS,FT,G,PP,CA,CV,DP,V,PS,GC,PC
0,37281,4.05,,4,Luis Antônio Venker de Menezes,M. Menezes,Mano Menezes,285,4,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,5.56,mano-menezes,Internacional,-0.25,11.41,6,7,,,,,,,,,,,,,,,,,2.0,,,
1,37656,-1.0,,4,Fábio Deivson Lopes Maciel,Fábio,Fábio,266,4,https://s.sde.globo.com/media/person_role/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,5.5,fabio,Fluminense,-2.04,12.32,1,7,,,,,,,,2.0,17.0,5.0,,,,,,,,,,
2,37865,0.0,,4,Bruno Ferreira Mombra Rosa,B. Mezenga,Bruno Mezenga,277,2,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,0.6,bruno-mezenga,Santos,0.0,2.53,5,6,,1.0,,,,,,,,,,,,,,,,,,
3,38144,5.8,,4,Márcio Rafael Ferreira de Souza,Rafinha,Rafinha,276,3,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,4.43,rafinha,São Paulo,0.81,6.89,2,7,,7.0,2.0,,,3.0,,1.0,,,,,,1.0,,,,,,
4,38229,1.8,,4,Fábio Santos Romeu,F. Santos,Fábio Santos,264,3,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,1.93,fabio-santos,Corinthians,-0.42,4.58,2,6,,5.0,4.0,,,4.0,,,,,,,,1.0,,,,,,
5,38279,0.0,,4,Wellington Pereira do Nascimento,W. Paulista,Wellington Paulista,327,2,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,1.45,wellington-paulista,América-MG,0.0,4.57,5,6,,,1.0,,4.0,,,,,,,,,,,,,,,
6,38394,0.0,,4,Thiago Heleno Henrique Ferreira,T. Heleno,Thiago Heleno,293,4,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,2.25,thiago-heleno,Athlético-PR,-0.56,6.29,3,7,,3.0,2.0,,,2.0,,1.0,,,,,,,,,,,,
7,38398,0.0,,4,Renato Soares de Oliveira Augusto,R. Augusto,Renato Augusto,264,0,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,0.0,renato-augusto,Corinthians,0.0,19.0,4,5,,,,,,,,,,,,,,,,,,,,
8,38402,6.5,,4,Marcelo Vieira da Silva Júnior,Marcelo,Marcelo,266,1,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_cKnKiav.png,6.5,marcelo,Fluminense,-3.95,15.05,2,7,,1.0,,1.0,2.0,5.0,,,,,,,,,,,,,,
9,38545,-1.6,,4,Felipe Melo de Carvalho,F. Melo,Felipe Melo,266,2,https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_vO8uTh1.png,-0.55,felipe-melo,Fluminense,-1.09,2.42,4,7,,,2.0,,,1.0,,,,,,,,1.0,,,,,,
