,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.foto,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.apelido,atletas.clube.id.full.name,atletas.variacao_num,atletas.posicao_id,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,G,V,A,CA,I,DE,GS,PC,PS,SG,CV,FT,DP,PP,GC
0,7,mano-menezes,5,M. Menezes,2.15,285,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,4.88,37281,5,Luis Antônio Venker de Menezes,10.67,Mano Menezes,Internacional,-0.74,6,,,,,,,,2.0,,,,,,,,,,,,,
1,7,fabio,5,Fábio,10.5,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,6.5,37656,5,Fábio Deivson Lopes Maciel,14.08,Fábio,Fluminense,1.76,1,,,,,,1.0,,,,1.0,,23.0,5.0,,,3.0,,,,,
2,6,bruno-mezenga,5,B. Mezenga,0.0,277,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,0.6,37865,2,Bruno Ferreira Mombra Rosa,2.53,Bruno Mezenga,Santos,0.0,5,,1.0,,,,,,,,,,,,,,,,,,,
3,7,rafinha,5,Rafinha,5.0,276,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,4.57,38144,4,Márcio Rafael Ferreira de Souza,7.01,Rafinha,São Paulo,0.12,2,,7.0,2.0,,,3.0,,,,1.0,,,,,,2.0,,,,,
4,7,fabio-santos,5,F. Santos,0.4,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,1.55,38229,4,Fábio Santos Romeu,4.13,Fábio Santos,Corinthians,-0.45,2,,6.0,5.0,,,5.0,,,,2.0,,,,,,,,,,,
5,6,wellington-paulista,5,W. Paulista,0.0,327,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,1.45,38279,2,Wellington Pereira do Nascimento,4.57,Wellington Paulista,América-MG,0.0,5,,,1.0,,4.0,,,,,,,,,,,,,,,,
6,7,thiago-heleno,5,T. Heleno,6.7,293,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,3.14,38394,5,Thiago Heleno Henrique Ferreira,7.45,Thiago Heleno,Athlético-PR,1.16,3,,4.0,2.0,,,3.0,,,,,,,,,,2.0,,,,,
7,5,renato-augusto,5,R. Augusto,0.0,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,0.0,38398,0,Renato Soares de Oliveira Augusto,19.0,Renato Augusto,Corinthians,0.0,4,,,,,,,,,,,,,,,,,,,,,
8,2,marcelo,5,Marcelo,6.0,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,6.25,38402,2,Marcelo Vieira da Silva Júnior,14.57,Marcelo,Fluminense,-0.48,2,,1.0,1.0,1.0,3.0,8.0,,,,1.0,,,,,,1.0,,,,,
9,7,felipe-melo,5,F. Melo,0.0,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,-0.37,38545,3,Felipe Melo de Carvalho,2.36,Felipe Melo,Fluminense,-0.06,4,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,
10,6,filipe-luis,5,F. Luís,0.0,262,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,0.0,38750,0,Filipe Luís Kasmirski,8.0,Filipe Luís,Flamengo,0.0,2,,,,,,,,,,,,,,,,,,,,,
11,7,mariano,5,Mariano,0.0,282,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,1.82,38877,4,Mariano Ferreira Filho,5.58,Mariano,Atlético-MG,0.0,2,,4.0,5.0,,,,,,,1.0,,,,,,1.0,,,,,
12,7,hulk,5,Hulk,16.8,282,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,9.66,39148,5,Givanildo Vieira de Souza,18.05,Hulk,Atlético-MG,2.83,5,,,7.0,7.0,8.0,14.0,3.0,,1.0,1.0,4.0,,,,1.0,,,,,,
13,7,vagner-mancini,5,V. Mancini,4.14,327,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,3.56,39850,5,Vagner Carmo Mancini,6.65,Vagner Mancini,América-MG,0.27,6,,,,,,,,,,,,,,,,,,,,,
14,7,dorival-junior,5,D. Júnior,5.13,276,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,6.64,40990,4,Dorival Silvestre Júnior,10.51,Dorival Júnior,São Paulo,-0.28,6,,,,,,,,2.0,,,,,,,,,,,,,
15,7,vanderlei-luxemburgo,5,V. Luxemburgo,2.56,264,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,3.3,41327,2,Vanderlei Luxemburgo da Silva,5.65,Vanderlei Luxemburgo,Corinthians,-0.23,6,,,,,,,,,,,,,,,,,,,,,
16,7,renato-gaucho,5,R. Gaúcho,2.68,284,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,4.97,41929,5,Renato Portaluppi,11.45,Renato Gaúcho,Grêmio,-0.81,6,,,,,,,,2.0,,,,,,,,,,,,,
17,6,willian,5,Willian,8.0,293,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,8.0,42116,1,Willian Gomes de Siqueira,6.1,Willian,Athlético-PR,0.1,5,,,,,,,1.0,,,,,,,,,,,,,,
18,7,cassio,5,Cássio,-0.5,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_uEoWXC8.png,0.4,42234,5,Cássio Roberto Ramos,6.17,Cássio,Corinthians,-0.6,1,,,,,,2.0,,,,,,12.0,10.0,1.0,,,,,,,
19,7,fagner,5,Fagner,7.0,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_T3I37Ma.png,4.22,42500,4,Fagner Conserva Lemos,7.93,Fagner,Corinthians,0.48,2,,11.0,2.0,,1.0,3.0,,,,1.0,,,,,,,,1.0,,,
20,6,david-braz,5,D. Braz,5.0,266,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_kZuG4sE.png,5.0,50317,2,David Braz de Oliveira Filho,6.22,David Braz,Fluminense,-0.23,3,,,,,,,,,,,,,,,,2.0,,,,,
21,6,alan-kardec,5,A. Kardec,0.0,282,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_CFMe31N.png,0.0,50347,0,Alan Kardec de Sousa Pereira Júnior,6.0,Alan Kardec,Atlético-MG,0.0,5,,,,,,,,,,,,,,,,,,,,,
22,7,titi,5,Titi,11.0,356,https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_swipUAZ.png,4.64,50353,5,Christian Chagas Tarouco,7.7,Titi,Fortaleza,1.96,3,,9.0,3.0,,1.0,5.0,,,,,,,,,,2.0,,,,,
23,7,emerson-avila,5,E. Ávila,4.05,290,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_dFLXQrB.png,3.65,50456,5,Emerson Rodrigues Ávila,6.02,Emerson Ávila,Goiás,0.23,6,,,,,,,,1.0,,,,,,,,,,,,,
24,7,henrique,5,Henrique,-0.6,294,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_nAVtfcZ.png,0.95,50856,2,Henrique Adriano Buss,2.79,Henrique,Coritiba,-0.69,3,,2.0,4.0,1.0,,1.0,,,,1.0,,,,,,,,,,,
25,6,apodi,5,Apodi,0.0,290,https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_B149DKg.png,3.57,51042,3,Luiz Diallison de Souza Alves,5.84,Apodi,Goiás,0.0,2,,1.0,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,
26,7,walter,5,Walter,-1.0,1371,https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_byoeISo.png,1.0,51413,5,Walter Leandro Capeloza Artune,4.01,Walter,Cuiabá,-0.85,1,,,,,,,,,,,,15.0,10.0,,,,,,,,
27,6,giuliano,5,Giuliano,0.0,264,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_ir8HBOO.png,0.45,51548,4,Giuliano Victor de Paula,2.71,Giuliano,Corinthians,-0.35,4,,2.0,3.0,,1.0,1.0,,,,1.0,,,,,,,,,,,
