,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.apelido,atletas.status_id,atletas.posicao_id,atletas.media_num,atletas.variacao_num,atletas.clube_id,atletas.atleta_id,atletas.foto,CA,DS,FC,FD,FF,FS,G,I,FT,SG,CV,PS,DE,GS,DP,A,PC,PP,V,GC
0,Internacional,2.14,3.11,6,M. Menezes,6,Luis Antônio Venker de Menezes,mano-menezes,10.59,Mano Menezes,7,6,4.58,-0.08,285,37281,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,,,,,,,,,,,,,,,,,,,2.0,
1,Fluminense,4.34,7.0,6,Fábio,6,Fábio Deivson Lopes Maciel,fabio,13.8,Fábio,7,1,6.58,-0.28,266,37656,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,1.0,,,,,1.0,,,,4.0,,,25.0,5.0,,,,,,
2,Santos,0.39,0.0,2,B. Mezenga,6,Bruno Ferreira Mombra Rosa,bruno-mezenga,2.53,Bruno Mezenga,6,5,0.6,0.0,277,37865,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,,1.0,,,,,,,,,,,,,,,,,,
3,São Paulo,3.81,6.6,5,Rafinha,6,Márcio Rafael Ferreira de Souza,rafinha,7.62,Rafinha,7,2,4.98,0.61,276,38144,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,2.0,10.0,2.0,,,3.0,,,,2.0,,,,,,1.0,1.0,,,
4,Corinthians,1.47,0.0,4,F. Santos,6,Fábio Santos Romeu,fabio-santos,4.13,Fábio Santos,7,2,1.55,0.0,264,38229,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,2.0,6.0,5.0,,,5.0,,,,,,,,,,,,,,
5,América-MG,0.18,0.0,3,W. Paulista,6,Wellington Pereira do Nascimento,wellington-paulista,3.58,Wellington Paulista,6,5,0.97,-0.99,327,38279,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,,,1.0,,4.0,,,,,,,,,,,,,,,
6,Athlético-PR,3.16,5.3,6,T. Heleno,6,Thiago Heleno Henrique Ferreira,thiago-heleno,7.54,Thiago Heleno,7,3,3.5,0.09,293,38394,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,,8.0,2.0,,,4.0,,,,2.0,,,,,,,,,,
7,Corinthians,21.47,0.0,0,R. Augusto,6,Renato Soares de Oliveira Augusto,renato-augusto,19.0,Renato Augusto,5,4,0.0,0.0,264,38398,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,,,,,,,,,,,,,,,,,,,,
8,Fluminense,5.08,7.9,3,Marcelo,6,Marcelo Vieira da Silva Júnior,marcelo,14.9,Marcelo,7,2,6.8,0.33,266,38402,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,1.0,3.0,1.0,1.0,3.0,9.0,,,,2.0,,,,,,,,,,
9,Fluminense,0.81,1.2,4,F. Melo,6,Felipe Melo de Carvalho,felipe-melo,2.49,Felipe Melo,7,4,0.02,0.13,266,38545,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,
