,atletas.rodada_id,atletas.clube.id.full.name,atletas.clube_id,atletas.pontos_num,atletas.preco_num,atletas.atleta_id,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.slug,atletas.apelido,atletas.foto,atletas.variacao_num,atletas.media_num,atletas.apelido_abreviado,atletas.posicao_id,atletas.status_id,DS,FC,FD,FF,FS,FT,G,I,CA,CV,SG,PS,DE,GS,DP,A,PC,PP,V,GC
0,7,Internacional,285,4.14,10.71,37281,Luis Antônio Venker de Menezes,2.54,7,mano-menezes,Mano Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,0.12,4.52,M. Menezes,6,7,,,,,,,,,,,,,,,,,,,2.0,
1,7,Fluminense,266,5.0,13.53,37656,Fábio Deivson Lopes Maciel,3.05,7,fabio,Fábio,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,-0.27,6.35,Fábio,1,7,,,,,1.0,,,,1.0,,4.0,,31.0,6.0,,,,,,
2,7,Santos,277,0.0,2.53,37865,Bruno Ferreira Mombra Rosa,0.55,2,bruno-mezenga,Bruno Mezenga,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,0.0,0.6,B. Mezenga,5,6,1.0,,,,,,,,,,,,,,,,,,,
3,7,São Paulo,276,4.8,7.61,38144,Márcio Rafael Ferreira de Souza,2.9,6,rafinha,Rafinha,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,-0.01,4.95,Rafinha,2,2,13.0,3.0,,,6.0,,,,2.0,,2.0,,,,,1.0,1.0,,,
4,7,Corinthians,264,0.0,4.13,38229,Fábio Santos Romeu,2.09,4,fabio-santos,Fábio Santos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,0.0,1.55,F. Santos,2,2,6.0,5.0,,,5.0,,,,2.0,,,,,,,,,,,
5,7,América-MG,327,0.0,3.58,38279,Wellington Pereira do Nascimento,0.72,3,wellington-paulista,Wellington Paulista,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,0.0,0.97,W. Paulista,5,6,,1.0,,4.0,,,,,,,,,,,,,,,,
6,7,Athlético-PR,293,0.0,7.54,38394,Thiago Heleno Henrique Ferreira,3.97,6,thiago-heleno,Thiago Heleno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,0.0,3.5,T. Heleno,3,7,8.0,2.0,,,4.0,,,,,,2.0,,,,,,,,,
7,7,Corinthians,264,0.0,19.0,38398,Renato Soares de Oliveira Augusto,21.47,0,renato-augusto,Renato Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,0.0,0.0,R. Augusto,4,6,,,,,,,,,,,,,,,,,,,,
8,7,Fluminense,266,0.0,14.9,38402,Marcelo Vieira da Silva Júnior,6.72,3,marcelo,Marcelo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,0.0,6.8,Marcelo,2,6,3.0,1.0,1.0,3.0,9.0,,,,1.0,,2.0,,,,,,,,,
9,7,Fluminense,266,1.2,2.5,38545,Felipe Melo de Carvalho,0.78,5,felipe-melo,Felipe Melo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,0.01,0.26,F. Melo,4,2,2.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,
10,7,Flamengo,262,0.0,8.0,38750,Filipe Luís Kasmirski,9.04,0,filipe-luis,Filipe Luís,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,0.0,0.0,F. Luís,2,6,,,,,,,,,,,,,,,,,,,,
11,7,Atlético-MG,282,0.0,6.3,38877,Mariano Ferreira Filho,4.38,5,mariano,Mariano,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,0.0,2.82,Mariano,2,7,6.0,7.0,,,,,,,1.0,,2.0,,,,,,,,,
12,7,Atlético-MG,282,13.4,18.32,39148,Givanildo Vieira de Souza,7.88,7,hulk,Hulk,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,1.49,9.77,Hulk,5,7,,9.0,10.0,10.0,21.0,,4.0,4.0,2.0,,,1.0,,,,2.0,,,,
13,7,América-MG,327,5.25,7.03,39850,Vagner Carmo Mancini,3.15,7,vagner-mancini,Vagner Mancini,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,0.61,3.64,V. Mancini,6,7,,,,,,,,,,,,,,,,,,,1.0,
14,7,São Paulo,276,8.89,11.27,40990,Dorival Silvestre Júnior,5.27,6,dorival-junior,Dorival Júnior,https://s.sde.globo.com/media/person_role/2023/04/20/photo_FORMATO_Lo29Wew.png,1.22,6.37,D. Júnior,6,7,,,,,,,,,,,,,,,,,,,3.0,
15,7,Corinthians,264,2.89,5.85,41327,Vanderlei Luxemburgo da Silva,1.78,4,vanderlei-luxemburgo,Vanderlei Luxemburgo,https://s.sde.globo.com/media/person_role/2023/05/02/photo_FORMATO_53uYX2K.png,0.05,3.16,V. Luxemburgo,6,7,,,,,,,,,,,,,,,,,,,,
16,7,Grêmio,284,5.72,12.11,41929,Renato Portaluppi,3.46,7,renato-gaucho,Renato Gaúcho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,-0.04,5.35,R. Gaúcho,6,7,,,,,,,,,,,,,,,,,,,3.0,
17,7,Athlético-PR,293,0.8,5.7,42116,Willian Gomes de Siqueira,0.58,3,willian,Willian,https://s.sde.globo.com/media/person_role/2023/03/29/photo_FORMATO.png,-1.02,5.6,Willian,5,2,,,,1.0,,,2.0,,,,,,,,,,,,,
