,atletas.media_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.pontos_num,atletas.nome,atletas.clube_id,atletas.apelido_abreviado,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,DS,FC,FS,CA,FD,FF,G,PS,SG,I,V,A,FT,CV,DE,GS,DP,PC,PP,GC
0,4.97,mano-menezes,8,Mano Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,4.81,37281,11.62,7,0.91,8.09,Luis Antônio Venker de Menezes,285,M. Menezes,6,Internacional,8,,,,,,,,,,,3.0,,,,,,,,,
1,5.56,fabio,8,Fábio,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,0.18,37656,12.56,7,-0.97,0.0,Fábio Deivson Lopes Maciel,266,Fábio,1,Fluminense,8,,,1.0,1.0,,,,,4.0,,,,,,33.0,8.0,,,,
2,0.8,bruno-mezenga,3,Bruno Mezenga,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,0.79,37865,2.19,6,-0.34,1.2,Bruno Ferreira Mombra Rosa,277,B. Mezenga,5,Santos,8,1.0,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,
3,4.73,rafinha,7,Rafinha,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,2.11,38144,7.55,7,-0.06,3.4,Márcio Rafael Ferreira de Souza,276,Rafinha,2,São Paulo,8,15.0,3.0,8.0,2.0,,,,,2.0,,,1.0,,,,,,1.0,,
4,1.55,fabio-santos,4,Fábio Santos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,1.02,38229,4.13,6,0.0,0.0,Fábio Santos Romeu,264,F. Santos,2,Corinthians,8,6.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,
5,0.97,wellington-paulista,3,Wellington Paulista,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,1.17,38279,3.58,6,0.0,0.0,Wellington Pereira do Nascimento,327,W. Paulista,5,América-MG,8,,1.0,,,,4.0,,,,,,,,,,,,,,
6,3.01,thiago-heleno,7,Thiago Heleno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,0.19,38394,6.56,7,-0.98,0.1,Thiago Heleno Henrique Ferreira,293,T. Heleno,3,Athlético-PR,8,8.0,4.0,6.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,
7,3.8,renato-augusto,1,Renato Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,2.27,38398,14.14,6,-4.86,3.8,Renato Soares de Oliveira Augusto,264,R. Augusto,4,Corinthians,8,3.0,2.0,,,,1.0,,,,,,,,,,,,,,
8,6.8,marcelo,3,Marcelo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,7.61,38402,14.9,2,0.0,0.0,Marcelo Vieira da Silva Júnior,266,Marcelo,2,Fluminense,8,3.0,1.0,9.0,1.0,1.0,3.0,,,2.0,,,,,,,,,,,
9,0.35,felipe-melo,6,Felipe Melo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,0.56,38545,2.44,6,-0.06,0.8,Felipe Melo de Carvalho,266,F. Melo,4,Fluminense,8,4.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,
10,0.0,filipe-luis,0,Filipe Luís,https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_1mrsipC.png,11.06,38750,8.0,6,0.0,0.0,Filipe Luís Kasmirski,262,F. Luís,2,Flamengo,8,,,,,,,,,,,,,,,,,,,,
11,2.43,mariano,6,Mariano,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_JIN8fSy.png,0.42,38877,5.32,7,-0.98,0.5,Mariano Ferreira Filho,282,Mariano,2,Atlético-MG,8,7.0,11.0,1.0,1.0,,,,,2.0,,,,,,,,,,,
12,8.81,hulk,8,Hulk,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_VrWmS3u.png,1.43,39148,16.67,7,-1.65,2.1,Givanildo Vieira de Souza,282,Hulk,5,Atlético-MG,8,,9.0,22.0,2.0,10.0,12.0,4.0,1.0,,4.0,,2.0,,,,,,,,
