,atletas.nome,atletas.pontos_num,atletas.minimo_para_valorizar,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.variacao_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.slug,atletas.clube.id.full.name,atletas.media_num,atletas.apelido,atletas.foto,atletas.status_id,atletas.clube_id,A,DS,FC,FD,FF,FS,FT,G,I,CA,SG,PS,DE,GS,PC,CV,DP,PP,V,GC
0,Luis Antônio Venker de Menezes,3.39,,9,9,10.92,37281,-0.7,6,M. Menezes,mano-menezes,Internacional,4.79,Mano Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,7,285,,,,,,,,,,,,,,,,,,,3.0,
1,Fábio Deivson Lopes Maciel,3.0,,9,9,12.76,37656,0.2,1,Fábio,fabio,Fluminense,5.28,Fábio,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_TV5Ba3v.png,7,266,,,,,,1.0,,,,1.0,4.0,,37.0,9.0,,,,,,
2,Bruno Ferreira Mombra Rosa,1.3,,9,4,2.23,37865,0.04,5,B. Mezenga,bruno-mezenga,Santos,0.93,Bruno Mezenga,https://s.sde.globo.com/media/person_role/2023/04/22/photo_FORMATO_arJY0Tn.png,6,277,,1.0,2.0,1.0,2.0,1.0,,,2.0,,,,,,,,,,,
3,Márcio Rafael Ferreira de Souza,0.0,,9,7,7.55,38144,0.0,2,Rafinha,rafinha,São Paulo,4.73,Rafinha,https://s.sde.globo.com/media/person_role/2022/03/01/de7df71bb9091a8547f8d8bd0212b549_FORMATO.png,6,276,1.0,15.0,3.0,,,8.0,,,,2.0,2.0,,,,1.0,,,,,
4,Fábio Santos Romeu,-2.8,,9,5,3.0,38229,-1.13,2,F. Santos,fabio-santos,Corinthians,0.68,Fábio Santos,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_1yAQVb2.png,7,264,,6.0,7.0,,1.0,7.0,,,,2.0,,,,,,,,1.0,,
5,Wellington Pereira do Nascimento,0.0,,9,3,3.58,38279,0.0,5,W. Paulista,wellington-paulista,América-MG,0.97,Wellington Paulista,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_8mUcFok.png,6,327,,,1.0,,4.0,,,,,,,,,,,,,,,
6,Thiago Heleno Henrique Ferreira,5.0,,9,8,7.34,38394,0.78,3,T. Heleno,thiago-heleno,Athlético-PR,3.26,Thiago Heleno,https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_msFDFpI.png,6,293,,8.0,4.0,,1.0,6.0,,,1.0,1.0,3.0,,,,,,,,,
7,Renato Soares de Oliveira Augusto,0.7,,9,2,13.3,38398,-0.84,4,R. Augusto,renato-augusto,Corinthians,2.25,Renato Augusto,https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_tP0yBkY.png,6,264,,3.0,3.0,,1.0,2.0,,,,,,,,,,,,,,
8,Marcelo Vieira da Silva Júnior,0.0,,9,3,14.9,38402,0.0,2,Marcelo,marcelo,Fluminense,6.8,Marcelo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_AWlci0T.png,6,266,,3.0,1.0,1.0,3.0,9.0,,,,1.0,2.0,,,,,,,,,
9,Felipe Melo de Carvalho,8.4,,9,7,3.96,38545,1.52,4,F. Melo,felipe-melo,Fluminense,1.5,Felipe Melo,https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_3jDOHjM.png,7,266,,5.0,5.0,,,2.0,,1.0,,3.0,,,,,,,,,,
