,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,DE,GS,CA,FS,SG,G,DS,FC,FF,V,I,FD,PC,PS,A,CV,FT,PP,PI
0,Léo Condé,Vitória,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_kxDsG3A.png,leo-conde,1,L. Condé,1,287,2.65,6,2.65,,3.4,0.4,6,37457,True,Leonardo Rodrigues Condé,,,,,,,,,,,,,,,,,,,
1,Fábio,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,fabio,1,Fábio,1,266,4.0,6,4.0,,12.1,-0.9,1,37656,True,Fábio Deivson Lopes Maciel,6.0,2.0,,,,,,,,,,,,,,,,,
2,Rafinha,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,rafinha,0,Rafinha,1,276,0.0,6,0.0,,7.0,0.0,2,38144,False,Márcio Rafael Ferreira de Souza,,,,,,,,,,,,,,,,,,,
3,Thiago Heleno,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,thiago-heleno,1,T. Heleno,1,293,4.7,7,4.7,,6.59,0.59,3,38394,True,Thiago Heleno Henrique Ferreira,,,,,1.0,,,1.0,,,,,,,,,,,
4,Renato Augusto,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,renato-augusto,0,R. Augusto,1,266,0.0,5,0.0,,7.0,0.0,4,38398,False,Renato Soares de Oliveira Augusto,,,,,,,,,,,,,,,,,,,
5,Marcelo,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,marcelo,1,Marcelo,1,266,6.7,6,6.7,,9.76,0.76,2,38402,True,Marcelo Vieira da Silva Júnior,,,,,,,2.0,1.0,2.0,,,,,,,,1.0,,
6,Felipe Melo,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,felipe-melo,1,F. Melo,1,266,1.5,6,1.5,,5.46,-0.54,3,38545,True,Felipe Melo de Carvalho,,,,2.0,,,,1.0,1.0,,,,,,,,,,
7,Mariano,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,mariano,0,Mariano,1,282,0.0,2,0.0,,6.0,0.0,2,38877,False,Mariano Ferreira Filho,,,,,,,,,,,,,,,,,,,
8,Nenê,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,nene,1,Nenê,1,286,1.9,7,1.9,,4.78,-0.22,4,38913,True,Anderson Luis de Carvalho - Luiz,,,,,,,1.0,1.0,,,2.0,1.0,,,,,,,
9,Vagner Love,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,vagner-love,0,V. Love,1,373,-1.0,6,-1.0,,4.11,-0.89,5,38959,False,Vagner Silva de Souza,,,1.0,,,,,,,,,,,,,,,,
10,Hulk,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,hulk,1,Hulk,1,282,-0.2,7,-0.2,,18.02,-3.98,5,39148,True,Givanildo Vieira de Souza,,,1.0,3.0,,,,2.0,,,1.0,,,,,,,,
11,Alan Franco,Atlético-MG,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,alan-franco,1,A. Franco,1,282,0.5,7,0.5,,4.29,-0.71,4,39656,True,Alan Steven Franco Palma,,,,1.0,,,,,,,,,,,,,,,
12,Renato Gaúcho,Grêmio,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,renato-gaucho,1,R. Gaúcho,1,284,3.03,7,3.03,,9.29,-0.71,6,41929,True,Renato Portaluppi,,,,,,,,,,,,,,,,,,,
13,Osvaldo,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,osvaldo,1,Osvaldo,1,287,2.2,6,2.2,,5.71,-0.29,5,42222,True,Osvaldo Lourenço Filho,,,,2.0,,,,,,,,1.0,,,,,,,
14,Cássio,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ma7sU2r.png,cassio,1,Cássio,1,264,8.0,7,8.0,,13.51,0.51,1,42234,True,Cássio Roberto Ramos,3.0,,,,1.0,,,,,,,,,,,,,,
15,Cuca,Athlético-PR,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,cuca,1,Cuca,1,293,10.81,7,10.81,,12.03,2.03,6,42411,True,Alexi Stival,,,,,,,,,,1.0,,,,,,,,,
16,Fagner,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,fagner,1,Fagner,1,264,5.2,7,5.2,,6.77,0.77,2,42500,True,Fagner Conserva Lemos,,,1.0,,1.0,,1.0,,,,,,,,,,,,
17,Tite,Flamengo,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,tite,1,Tite,1,262,4.08,7,4.08,,11.31,-0.69,6,45125,True,Adenor Leonardo Bachi,,,,,,,,,,1.0,,,,,,,,,
