,atletas.nome,atletas.apelido_abreviado,atletas.variacao_num,atletas.apelido,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.media_num,atletas.pontos_num,atletas.rodada_id,atletas.posicao_id,atletas.status_id,atletas.clube_id,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.foto,atletas.preco_num,atletas.slug,DE,GS,SG,CA,DP,PC,DS,FC,FD,FF,FS,G,I,FT,A,CV,PP,PS,V,GC
0,Fábio Deivson Lopes Maciel,Fábio,-0.37,Fábio,Fluminense,True,2.89,2.0,10,1,7,266,9,37656,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,8.31,fabio,42.0,16.0,,,,,,,,,,,,,,,,,,
1,Thiago Emiliano da Silva de Souza,T. Silva,0.0,Thiago Silva,Fluminense,False,0.0,0.0,10,3,6,266,0,37715,,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,10.0,thiago-silva,,,,,,,,,,,,,,,,,,,,
2,Márcio Rafael Ferreira de Souza,Rafinha,0.0,Rafinha,São Paulo,False,0.0,0.0,10,2,6,276,0,38144,,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,7.0,rafinha,,,,,,,,,,,,,,,,,,,,
3,Thiago Heleno Henrique Ferreira,T. Heleno,0.64,Thiago Heleno,Athlético-PR,True,2.46,4.2,10,3,7,293,7,38394,,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,5.64,thiago-heleno,,,2.0,1.0,,,5.0,7.0,1.0,2.0,3.0,,,,,,,,,
4,Renato Soares de Oliveira Augusto,R. Augusto,0.0,Renato Augusto,Fluminense,True,2.2,1.4,10,4,6,266,6,38398,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,5.61,renato-augusto,,,,,,,3.0,1.0,,2.0,1.0,1.0,2.0,,,,,,,
5,Marcelo Vieira da Silva Júnior,Marcelo,0.0,Marcelo,Fluminense,False,5.46,0.0,10,2,7,266,8,38402,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,9.72,marcelo,,,,1.0,,,14.0,7.0,1.0,6.0,10.0,1.0,,2.0,1.0,,,,,
6,Felipe Melo de Carvalho,F. Melo,0.0,Felipe Melo,Fluminense,False,0.63,0.0,10,3,6,266,6,38545,,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,3.23,felipe-melo,,,,2.0,,,6.0,4.0,,1.0,4.0,,,,,1.0,,,,
7,Mariano Ferreira Filho,Mariano,0.0,Mariano,Atlético-MG,False,0.0,0.0,10,2,6,282,0,38877,,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,6.0,mariano,,,,,,,,,,,,,,,,,,,,
8,Anderson Luis de Carvalho - Luiz,Nenê,-0.23,Nenê,Juventude,True,2.43,2.4,10,4,7,286,7,38913,,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,4.45,nene,,,,,,,2.0,6.0,2.0,1.0,11.0,,3.0,1.0,1.0,,,,,
9,Vagner Silva de Souza,V. Love,-0.63,Vagner Love,Atlético-GO,True,2.64,0.0,10,5,6,373,5,38959,,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,4.82,vagner-love,,,,1.0,,,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,
10,Givanildo Vieira de Souza,Hulk,0.0,Hulk,Atlético-MG,False,4.23,0.0,10,5,7,282,6,39148,,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,12.91,hulk,,,,1.0,,,1.0,5.0,,6.0,15.0,1.0,6.0,,2.0,1.0,,,,
11,Alan Steven Franco Palma,A. Franco,0.0,Alan Franco,Atlético-MG,False,1.02,0.0,10,4,6,282,6,39656,,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,3.01,alan-franco,,,,3.0,,,8.0,11.0,,1.0,4.0,,,,,,,,,
12,Renato Portaluppi,R. Gaúcho,-0.36,Renato Gaúcho,Grêmio,True,3.6,1.45,10,6,7,284,8,41929,,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,8.12,renato-gaucho,,,,,,,,,,,,,,,,,,,2.0,
13,Osvaldo Lourenço Filho,Osvaldo,-0.16,Osvaldo,Vitória,True,2.17,2.3,10,5,7,287,7,42222,,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,4.89,osvaldo,,,,,,1.0,6.0,6.0,4.0,2.0,9.0,,1.0,,,,,,,
