,atletas.foto,atletas.clube.id.full.name,atletas.pontos_num,atletas.slug,atletas.status_id,atletas.jogos_num,atletas.posicao_id,atletas.rodada_id,atletas.media_num,atletas.variacao_num,atletas.nome,atletas.preco_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube_id,atletas.apelido,atletas.minimo_para_valorizar,A,CA,CV,DS,FC,FD,FF,FS,G,I,FT,DE,DP,GS,PC,SG,PP,PS,V,GC
0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,Fluminense,4.0,fabio,7,11,1,12,3.05,0.0,Fábio Deivson Lopes Maciel,8.34,True,Fábio,37656,266,Fábio,,,,,,,,,1.0,,,,51.0,,18.0,,,,,,
1,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,Fluminense,0.0,thiago-silva,6,0,3,12,0.0,0.0,Thiago Emiliano da Silva de Souza,10.0,False,T. Silva,37715,266,Thiago Silva,,,,,,,,,,,,,,,,,,,,,
2,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,São Paulo,0.0,rafinha,6,0,2,12,0.0,0.0,Márcio Rafael Ferreira de Souza,7.0,False,Rafinha,38144,276,Rafinha,,,,,,,,,,,,,,,,,,,,,
3,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,Athlético-PR,0.9,thiago-heleno,7,9,3,12,2.28,-0.33,Thiago Heleno Henrique Ferreira,5.0,True,T. Heleno,38394,293,Thiago Heleno,,,2.0,,8.0,9.0,1.0,3.0,4.0,,,,,,,,2.0,,,,
4,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,Fluminense,-0.3,renato-augusto,6,8,4,12,1.91,-0.59,Renato Soares de Oliveira Augusto,5.02,True,R. Augusto,38398,266,Renato Augusto,,,,,5.0,3.0,,2.0,2.0,1.0,4.0,,,,,,,,,,
5,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,Fluminense,7.1,marcelo,7,9,2,12,5.64,0.82,Marcelo Vieira da Silva Júnior,10.54,True,Marcelo,38402,266,Marcelo,,1.0,1.0,,19.0,9.0,2.0,6.0,11.0,1.0,,2.0,,,,,,,,,
6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,Fluminense,0.0,felipe-melo,6,6,3,12,0.63,0.0,Felipe Melo de Carvalho,3.23,False,F. Melo,38545,266,Felipe Melo,,,2.0,1.0,6.0,4.0,,1.0,4.0,,,,,,,,,,,,
7,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,Atlético-MG,2.8,mariano,7,2,2,12,1.25,0.17,Mariano Ferreira Filho,5.45,True,Mariano,38877,282,Mariano,,,1.0,,3.0,2.0,,,1.0,,,,,,,,,,,,
8,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,Juventude,7.2,nene,7,9,4,12,3.07,0.75,Anderson Luis de Carvalho - Luiz,5.35,True,Nenê,38913,286,Nenê,,2.0,,,4.0,6.0,3.0,1.0,15.0,,3.0,1.0,,,,,,,,,
9,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,Atlético-MG,11.1,hulk,7,7,5,12,5.21,1.64,Givanildo Vieira de Souza,14.55,True,Hulk,39148,282,Hulk,,3.0,1.0,1.0,2.0,6.0,,10.0,19.0,1.0,6.0,,,,,,,,,,
