,atletas.posicao_id,atletas.status_id,atletas.nome,atletas.foto,atletas.media_num,atletas.entrou_em_campo,atletas.jogos_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.rodada_id,atletas.preco_num,atletas.clube_id,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,GC,V
0,6,7,Luis Antônio Venker de Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,0.0,False,0,mano-menezes,0.0,Mano Menezes,,0.0,37281,M. Menezes,Fluminense,13,8.53,266,,,,,,,,,,,,,,,,,,,,
1,1,7,Fábio Deivson Lopes Maciel,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,3.38,True,12,fabio,7.0,Fábio,,0.55,37656,Fábio,Fluminense,13,8.89,266,,59.0,,19.0,,,,,,,1.0,,,,,,,,,
2,3,6,Thiago Emiliano da Silva de Souza,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,0.0,False,0,thiago-silva,0.0,Thiago Silva,,0.0,37715,T. Silva,Fluminense,13,10.0,266,,,,,,,,,,,,,,,,,,,,
3,2,6,Márcio Rafael Ferreira de Souza,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,0.0,False,0,rafinha,0.0,Rafinha,,0.0,38144,Rafinha,São Paulo,13,7.0,276,,,,,,,,,,,,,,,,,,,,
4,3,7,Thiago Heleno Henrique Ferreira,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,2.64,True,10,thiago-heleno,5.9,Thiago Heleno,,0.82,38394,T. Heleno,Athlético-PR,13,5.82,293,2.0,,,,,3.0,9.0,10.0,1.0,3.0,4.0,,,,,,,,,
5,4,6,Renato Soares de Oliveira Augusto,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,1.91,False,8,renato-augusto,0.0,Renato Augusto,,0.0,38398,R. Augusto,Fluminense,13,5.02,266,,,,,,,5.0,3.0,,2.0,2.0,,1.0,4.0,,,,,,
6,2,6,Marcelo Vieira da Silva Júnior,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,5.2,True,10,marcelo,1.2,Marcelo,,-0.9,38402,Marcelo,Fluminense,13,9.64,266,1.0,,,,,,20.0,9.0,2.0,6.0,11.0,2.0,1.0,,1.0,,,,,
7,3,5,Felipe Melo de Carvalho,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,0.63,False,6,felipe-melo,0.0,Felipe Melo,,0.0,38545,F. Melo,Fluminense,13,3.23,266,2.0,,,,,,6.0,4.0,,1.0,4.0,,,,,1.0,,,,
8,2,7,Mariano Ferreira Filho,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,1.13,True,3,mariano,0.9,Mariano,,-0.58,38877,Mariano,Atlético-MG,13,4.87,282,1.0,,,,,,4.0,3.0,,,1.0,,,,,,,,,
9,4,7,Anderson Luis de Carvalho - Luiz,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,2.89,True,10,nene,1.3,Nenê,,-0.75,38913,Nenê,Juventude,13,4.6,286,,,,,,,4.0,6.0,3.0,2.0,16.0,1.0,,3.0,2.0,,,,,
10,5,7,Givanildo Vieira de Souza,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,5.73,True,8,hulk,9.4,Hulk,,0.03,39148,Hulk,Atlético-MG,13,14.58,282,1.0,,,,,,2.0,7.0,3.0,12.0,22.0,1.0,1.0,6.0,3.0,1.0,,,,
