,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
0,mano-menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,0.33,3.16,Mano Menezes,37281,266,Luis Antônio Venker de Menezes,7,3.16,8.86,14,Fluminense,6,M. Menezes,True,1,,,,,,,,,,,,,,,,,,,,,
1,fabio,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,-0.8,2.0,Fábio,37656,266,Fábio Deivson Lopes Maciel,7,3.27,8.09,14,Fluminense,1,Fábio,True,13,,,,,,1.0,,,,,,,62.0,,20.0,,,,,,
2,thiago-silva,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,0.0,0.0,Thiago Silva,37715,266,Thiago Emiliano da Silva de Souza,6,0.0,10.0,14,Fluminense,3,T. Silva,False,0,,,,,,,,,,,,,,,,,,,,,
3,rafinha,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,0.0,0.0,Rafinha,38144,276,Márcio Rafael Ferreira de Souza,2,0.0,7.0,14,São Paulo,2,Rafinha,False,0,,,,,,,,,,,,,,,,,,,,,
4,thiago-heleno,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,-0.76,0.9,Thiago Heleno,38394,293,Thiago Heleno Henrique Ferreira,7,2.48,5.06,14,Athlético-PR,3,T. Heleno,True,11,,10.0,11.0,1.0,3.0,4.0,,,,2.0,,3.0,,,,,,,,,
5,renato-augusto,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,0.5,3.6,Renato Augusto,38398,266,Renato Soares de Oliveira Augusto,6,2.1,5.52,14,Fluminense,4,R. Augusto,True,9,,8.0,3.0,,2.0,2.0,,1.0,4.0,,,,,,,,,,,,
6,marcelo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,0.0,0.0,Marcelo,38402,266,Marcelo Vieira da Silva Júnior,7,5.2,9.64,14,Fluminense,2,Marcelo,False,10,,20.0,9.0,2.0,6.0,11.0,2.0,1.0,,1.0,1.0,,,,,,,,,,
7,felipe-melo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,0.0,0.0,Felipe Melo,38545,266,Felipe Melo de Carvalho,5,0.63,3.23,14,Fluminense,3,F. Melo,False,6,,6.0,4.0,,1.0,4.0,,,,2.0,,,,,,,1.0,,,,
8,mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,-0.69,0.0,Mariano,38877,282,Mariano Ferreira Filho,7,0.85,4.18,14,Atlético-MG,2,Mariano,True,4,,4.0,3.0,,,1.0,,,,1.0,,,,,,,,,,,
9,nene,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,-0.16,1.0,Nenê,38913,286,Anderson Luis de Carvalho - Luiz,6,2.72,4.44,14,Juventude,4,Nenê,True,11,,4.0,6.0,3.0,2.0,18.0,1.0,,3.0,,2.0,,,,,,,,,,
10,hulk,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,1.58,18.0,Hulk,39148,282,Givanildo Vieira de Souza,7,7.09,16.16,14,Atlético-MG,5,Hulk,True,9,,2.0,9.0,3.0,14.0,24.0,1.0,3.0,6.0,1.0,3.0,,,,,,1.0,,,,
11,alan-franco,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,0.0,0.0,Alan Franco,39656,282,Alan Steven Franco Palma,6,1.02,3.01,14,Atlético-MG,4,A. Franco,False,6,,8.0,11.0,,1.0,4.0,,,,3.0,,,,,,,,,,,
12,vagner-mancini,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,0.0,0.0,Vagner Mancini,39850,373,Vagner Carmo Mancini,7,0.0,7.01,14,Atlético-GO,6,V. Mancini,False,0,,,,,,,,,,,,,,,,,,,,,
13,renato-gaucho,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,-0.41,4.84,Renato Gaúcho,41929,284,Renato Portaluppi,7,3.81,8.31,14,Grêmio,6,R. Gaúcho,True,12,,,,,,,,,,,,,,,,,,,,,3.0
14,osvaldo,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,0.0,0.0,Osvaldo,42222,287,Osvaldo Lourenço Filho,5,1.85,4.29,14,Vitória,5,Osvaldo,False,10,,7.0,6.0,5.0,2.0,11.0,,,1.0,,,,,,,1.0,,,,,
15,cassio,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,0.0,0.0,Cássio,42234,283,Cássio Roberto Ramos,6,4.33,11.4,14,Cruzeiro,1,Cássio,False,3,,,,,,,,,,,,1.0,11.0,,3.0,,,,,,
16,fagner,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,0.0,0.0,Fagner,42500,264,Fagner Conserva Lemos,5,4.64,6.97,14,Corinthians,2,Fagner,False,5,,4.0,1.0,1.0,,1.0,1.0,,,1.0,,3.0,,,,,,,,,
17,tite,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,0.0,7.31,Tite,45125,262,Adenor Leonardo Bachi,7,6.08,11.05,14,Flamengo,6,Tite,True,14,,,,,,,,,,,,,,,,,,,,,9.0
