,atletas.preco_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.media_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.atleta_id,atletas.apelido,atletas.nome,atletas.clube_id,atletas.status_id,atletas.pontos_num,atletas.foto,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.slug,A,CA,DS,FC,FD,FF,FS,FT,G,I,DE,GS,SG,PS,V,CV,DP,PC,PP,GC
0,8.48,Fluminense,3,3.26,0.15,,True,37281,Mano Menezes,Luis Antônio Venker de Menezes,266,6,4.58,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,6,M. Menezes,16,mano-menezes,,,,,,,,,,,,,,,,,,,,
1,7.99,Fluminense,15,3.23,-0.31,,True,37656,Fábio,Fábio Deivson Lopes Maciel,266,6,2.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,1,Fábio,16,fabio,,,,,,,1.0,,,,70.0,22.0,,,,,,,,
2,10.0,Fluminense,0,0.0,0.0,,False,37715,Thiago Silva,Thiago Emiliano da Silva de Souza,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,3,T. Silva,16,thiago-silva,,,,,,,,,,,,,,,,,,,,
3,6.31,São Paulo,1,0.0,-0.69,,True,38144,Rafinha,Márcio Rafael Ferreira de Souza,276,2,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,2,Rafinha,16,rafinha,,,,,,,,,,,,,,,,,,,,
4,4.64,Athlético-PR,12,2.18,-0.42,,True,38394,Thiago Heleno,Thiago Heleno Henrique Ferreira,293,6,-1.1,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,3,T. Heleno,16,thiago-heleno,,3.0,10.0,13.0,1.0,3.0,5.0,,,,,,3.0,,,,,,,
5,4.85,Fluminense,10,1.86,0.0,,False,38398,Renato Augusto,Renato Soares de Oliveira Augusto,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,4,R. Augusto,16,renato-augusto,,,8.0,4.0,,2.0,2.0,,1.0,4.0,,,,,,,,,,
6,9.64,Fluminense,10,5.2,0.0,,False,38402,Marcelo,Marcelo Vieira da Silva Júnior,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,2,Marcelo,16,marcelo,1.0,1.0,20.0,9.0,2.0,6.0,11.0,2.0,1.0,,,,,,,,,,,
7,3.23,Fluminense,6,0.63,0.0,,False,38545,Felipe Melo,Felipe Melo de Carvalho,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,3,F. Melo,16,felipe-melo,,2.0,6.0,4.0,,1.0,4.0,,,,,,,,,1.0,,,,
8,4.18,Atlético-MG,4,0.85,0.0,,False,38877,Mariano,Mariano Ferreira Filho,282,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,2,Mariano,16,mariano,,1.0,4.0,3.0,,,1.0,,,,,,,,,,,,,
9,4.44,Juventude,11,2.72,0.0,,False,38913,Nenê,Anderson Luis de Carvalho - Luiz,286,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,4,Nenê,16,nene,2.0,,4.0,6.0,3.0,2.0,18.0,1.0,,3.0,,,,,,,,,,
10,13.85,Atlético-MG,11,6.71,-1.22,,True,39148,Hulk,Givanildo Vieira de Souza,282,7,1.2,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,5,Hulk,16,hulk,3.0,2.0,3.0,11.0,4.0,18.0,30.0,2.0,3.0,6.0,,,,,,1.0,,,,
11,3.61,Atlético-MG,8,1.46,-0.04,,True,39656,Alan Franco,Alan Steven Franco Palma,282,7,2.4,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,4,A. Franco,16,alan-franco,,3.0,11.0,12.0,,2.0,7.0,,,,,,,,,,,,,
12,7.62,Atlético-GO,2,3.39,0.31,,True,39850,Vagner Mancini,Vagner Carmo Mancini,373,7,4.11,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,6,V. Mancini,16,vagner-mancini,,,,,,,,,,,,,,,,,,,,
13,7.94,Grêmio,14,3.62,0.1,,True,41929,Renato Gaúcho,Renato Portaluppi,284,7,3.0,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,6,R. Gaúcho,16,renato-gaucho,,,,,,,,,,,,,,,3.0,,,,,
14,4.29,Vitória,10,1.85,0.0,,False,42222,Osvaldo,Osvaldo Lourenço Filho,287,5,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,5,Osvaldo,16,osvaldo,,,7.0,6.0,5.0,2.0,11.0,,,1.0,,,,,,,,1.0,,
15,11.4,Cruzeiro,3,4.33,0.0,,False,42234,Cássio,Cássio Roberto Ramos,283,6,0.0,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,1,Cássio,16,cassio,,,,,,,,,,,11.0,3.0,1.0,,,,,,,
16,6.97,Corinthians,5,4.64,0.0,,False,42500,Fagner,Fagner Conserva Lemos,264,5,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,2,Fagner,16,fagner,,1.0,4.0,1.0,1.0,,1.0,1.0,,,,,3.0,,,,,,,
17,10.42,Flamengo,16,5.79,-0.18,,True,45125,Tite,Adenor Leonardo Bachi,262,6,3.17,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,6,Tite,16,tite,,,,,,,,,,,,,,,9.0,,,,,
18,2.83,Atlético-MG,5,0.46,0.0,,False,50347,Alan Kardec,Alan Kardec de Sousa Pereira Júnior,282,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,5,A. Kardec,16,alan-kardec,,,,1.0,,2.0,2.0,,,,,,,,,,,,,
19,4.55,Fortaleza,10,2.69,0.0,,False,50353,Titi,Christian Chagas Tarouco,356,7,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,3,Titi,16,titi,,2.0,15.0,17.0,,2.0,9.0,,,1.0,,,2.0,,,,,,,
20,6.22,Cuiabá,13,4.03,0.0,,False,51413,Walter,Walter Leandro Capeloza Artune,1371,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,1,Walter,16,walter,,,,,,,1.0,,,,55.0,18.0,3.0,,,,,,,
21,8.37,Bahia,15,4.34,-0.59,,True,51772,Everton Ribeiro,Everton Augusto de Barros Ribeiro,265,6,-0.3,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,4,E. Ribeiro,16,everton-ribeiro,4.0,1.0,25.0,13.0,3.0,5.0,25.0,,,1.0,,,,,,,,,,
22,5.03,Internacional,9,1.76,0.0,,False,52271,Fernando,Fernando Francisco Reges,285,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,4,Fernando,16,fernando,,3.0,10.0,8.0,,,3.0,,1.0,2.0,,,,,,,,,,
23,6.31,Flamengo,10,2.77,0.06,,True,52827,David Luiz,David Luiz Moreira Marinho,262,6,2.2,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,3,D. Luiz,16,david-luiz,,1.0,2.0,8.0,1.0,5.0,1.0,1.0,2.0,,,,1.0,,,,,1.0,,
24,4.11,Vitória,1,0.0,0.0,,False,53865,Léo Gamalho,Leonardo Gamalho de Souza,287,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_QgLfYPN.png,5,L. Gamalho,16,leo-gamalho,,,,,,,,,,,,,,,,,,,,
25,4.0,Juventude,0,0.0,0.0,,False,60795,Renan,Renan dos Santos,286,5,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RtRxhSx.png,1,Renan,16,renan,,,,,,,,,,,,,,,,,,,,
26,4.17,Bahia,4,1.57,-0.25,,True,61106,Cicinho,Neuciano de Jesus Gusmão,265,6,0.9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,2,Cicinho,16,cicinho,,,1.0,3.0,,,2.0,,,,,,1.0,,,,,,,
27,5.31,Juventude,10,2.19,0.0,,False,61188,Gilberto,Gilberto Oliveira Souza Júnior,286,7,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,5,Gilberto,16,gilberto,,1.0,4.0,7.0,4.0,8.0,3.0,,1.0,4.0,,,,,,,,,,
28,5.96,Internacional,8,4.13,0.0,,False,61228,Fabrício,Fabrício Barros Santana,285,6,0.0,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,1,Fabrício,16,fabricio,,,,,,,,,,,26.0,8.0,3.0,,,,,,,
29,4.06,Fluminense,9,1.16,-0.27,,True,62020,Douglas Costa,Douglas Costa de Souza,266,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_rhXFmGa.png,5,D. Costa,16,douglas-costa,,1.0,5.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,
30,7.43,Fluminense,13,3.68,-0.41,,True,62977,Ganso,Paulo Henrique Chagas de Lima,266,6,2.9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,4,Ganso,16,ganso,2.0,6.0,9.0,8.0,3.0,1.0,14.0,,3.0,,,,,,,,,,,
