,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.media_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.status_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.apelido,atletas.clube_id,A,DS,FC,FD,FS,FT,V,CA,CV,FF,G,I,SG,DE,GS,PP,PS,PC,GC,DP
0,6,mano-menezes,37281,8.48,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,,Fluminense,3.26,False,M. Menezes,7,0.0,Luis Antônio Venker de Menezes,0.0,17,3,Mano Menezes,266,,,,,,,,,,,,,,,,,,,,
1,1,fabio,37656,7.99,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,,Fluminense,3.23,False,Fábio,7,0.0,Fábio Deivson Lopes Maciel,0.0,17,15,Fábio,266,,,,,1.0,,,,,,,,,70.0,22.0,,,,,
2,3,thiago-silva,37715,10.0,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,,Fluminense,0.0,False,T. Silva,7,0.0,Thiago Emiliano da Silva de Souza,0.0,17,0,Thiago Silva,266,,,,,,,,,,,,,,,,,,,,
3,2,rafinha,38144,6.31,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,,São Paulo,0.0,False,Rafinha,7,0.0,Márcio Rafael Ferreira de Souza,0.0,17,1,Rafinha,276,,,,,,,,,,,,,,,,,,,,
4,3,thiago-heleno,38394,4.64,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,,Athlético-PR,2.18,False,T. Heleno,3,0.0,Thiago Heleno Henrique Ferreira,0.0,17,12,Thiago Heleno,293,,10.0,13.0,1.0,5.0,,,3.0,,3.0,,,3.0,,,,,,,
5,4,renato-augusto,38398,4.85,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,,Fluminense,1.86,False,R. Augusto,6,0.0,Renato Soares de Oliveira Augusto,0.0,17,10,Renato Augusto,266,,8.0,4.0,,2.0,,,,,2.0,1.0,4.0,,,,,,,,
6,2,marcelo,38402,9.64,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,,Fluminense,5.2,False,Marcelo,6,0.0,Marcelo Vieira da Silva Júnior,0.0,17,10,Marcelo,266,1.0,20.0,9.0,2.0,11.0,2.0,,1.0,,6.0,1.0,,,,,,,,,
7,3,felipe-melo,38545,3.23,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,,Fluminense,0.63,False,F. Melo,6,0.0,Felipe Melo de Carvalho,0.0,17,6,Felipe Melo,266,,6.0,4.0,,4.0,,,2.0,1.0,1.0,,,,,,,,,,
8,2,mariano,38877,4.18,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,,Atlético-MG,0.85,False,Mariano,6,0.0,Mariano Ferreira Filho,0.0,17,4,Mariano,282,,4.0,3.0,,1.0,,,1.0,,,,,,,,,,,,
9,4,nene,38913,4.44,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,,Juventude,2.72,False,Nenê,6,0.0,Anderson Luis de Carvalho - Luiz,0.0,17,11,Nenê,286,2.0,4.0,6.0,3.0,18.0,1.0,,,,2.0,,3.0,,,,,,,,
