,atletas.minimo_para_valorizar,atletas.media_num,atletas.nome,atletas.posicao_id,atletas.clube_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.apelido,atletas.preco_num,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.status_id,atletas.variacao_num,atletas.rodada_id,CA,DE,FS,GS,SG,A,CV,DS,FC,FD,FF,G,I,V,FT,PP,PS,GC,PC,DP
0,,4.25,Luis Antônio Venker de Menezes,6,266,M. Menezes,Fluminense,Mano Menezes,8.89,7.21,37281,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,True,mano-menezes,4,7,0.41,18,,,,,,,,,,,,,,1.0,,,,,,
1,,3.65,Fábio Deivson Lopes Maciel,1,266,Fábio,Fluminense,Fábio,9.17,10.0,37656,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,True,fabio,16,7,1.18,18,,75.0,1.0,22.0,1.0,,,,,,,,,,,,,,,
2,,6.4,Thiago Emiliano da Silva de Souza,3,266,T. Silva,Fluminense,Thiago Silva,11.47,6.4,37715,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,True,thiago-silva,1,7,1.47,18,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,
3,,4.15,Márcio Rafael Ferreira de Souza,2,276,Rafinha,São Paulo,Rafinha,7.97,8.3,38144,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,True,rafinha,2,2,1.66,18,,,,,1.0,,,3.0,1.0,,,,,,,,,,,
4,,2.18,Thiago Heleno Henrique Ferreira,3,293,T. Heleno,Athlético-PR,Thiago Heleno,4.64,0.0,38394,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,False,thiago-heleno,12,6,0.0,18,3.0,,5.0,,3.0,,,10.0,13.0,1.0,3.0,,,,,,,,,
5,,1.86,Renato Soares de Oliveira Augusto,4,266,R. Augusto,Fluminense,Renato Augusto,4.85,0.0,38398,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,False,renato-augusto,10,6,0.0,18,,,2.0,,,,,8.0,4.0,,2.0,1.0,4.0,,,,,,,
6,,5.2,Marcelo Vieira da Silva Júnior,2,266,Marcelo,Fluminense,Marcelo,9.64,0.0,38402,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,False,marcelo,10,6,0.0,18,1.0,,11.0,,,1.0,,20.0,9.0,2.0,6.0,1.0,,,2.0,,,,,
7,,0.63,Felipe Melo de Carvalho,3,266,F. Melo,Fluminense,Felipe Melo,3.23,0.0,38545,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,False,felipe-melo,6,6,0.0,18,2.0,,4.0,,,,1.0,6.0,4.0,,1.0,,,,,,,,,
8,,0.85,Mariano Ferreira Filho,2,282,Mariano,Atlético-MG,Mariano,4.18,0.0,38877,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,False,mariano,4,6,0.0,18,1.0,,1.0,,,,,4.0,3.0,,,,,,,,,,,
9,,2.72,Anderson Luis de Carvalho - Luiz,4,286,Nenê,Juventude,Nenê,4.44,0.0,38913,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,False,nene,11,6,0.0,18,,,18.0,,,2.0,,4.0,6.0,3.0,2.0,,3.0,,1.0,,,,,
