,atletas.media_num,atletas.pontos_num,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.status_id,atletas.atleta_id,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.clube_id,atletas.entrou_em_campo,atletas.nome,DS,FC,FF,FS,G,I,A,CA,FD,FT,SG,CV,V,DE,GS,PC,PP,PS,DP,GC
0,4.92,7.58,6,,Mano Menezes,7,37281,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,M. Menezes,9.11,Fluminense,mano-menezes,0.22,19,5,266,True,Luis Antônio Venker de Menezes,,,,,,,,,,,,,2.0,,,,,,,
1,3.79,6.0,1,,Fábio,7,37656,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,Fábio,8.77,Fluminense,fabio,-0.4,19,17,266,True,Fábio Deivson Lopes Maciel,,,,1.0,,,,,,,2.0,,,76.0,22.0,,,,,
2,6.1,5.8,3,,Thiago Silva,7,37715,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,T. Silva,11.76,Fluminense,thiago-silva,0.29,19,2,266,True,Thiago Emiliano da Silva de Souza,,1.0,1.0,1.0,,,,,1.0,,2.0,,,,,,,,,
3,3.65,-1.0,2,,Rafinha,6,38144,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,Rafinha,9.33,São Paulo,rafinha,1.36,19,2,276,False,Márcio Rafael Ferreira de Souza,3.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,
4,2.18,0.0,3,,Thiago Heleno,7,38394,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,T. Heleno,4.64,Athlético-PR,thiago-heleno,0.0,19,12,293,False,Thiago Heleno Henrique Ferreira,10.0,13.0,3.0,5.0,,,,3.0,1.0,,3.0,,,,,,,,,
5,1.86,0.0,4,,Renato Augusto,6,38398,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,R. Augusto,4.85,Fluminense,renato-augusto,0.0,19,10,266,False,Renato Soares de Oliveira Augusto,8.0,4.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,
6,5.23,5.5,2,,Marcelo,6,38402,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,Marcelo,10.19,Fluminense,marcelo,0.55,19,11,266,True,Marcelo Vieira da Silva Júnior,20.0,9.0,6.0,12.0,1.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,
7,0.63,0.0,3,,Felipe Melo,6,38545,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,F. Melo,3.23,Fluminense,felipe-melo,0.0,19,6,266,False,Felipe Melo de Carvalho,6.0,4.0,1.0,4.0,,,,2.0,,,,1.0,,,,,,,,
8,0.85,0.0,2,,Mariano,6,38877,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,Mariano,4.18,Atlético-MG,mariano,0.0,19,4,282,False,Mariano Ferreira Filho,4.0,3.0,,1.0,,,,1.0,,,,,,,,,,,,
9,2.41,-1.0,4,,Nenê,6,38913,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,Nenê,4.06,Juventude,nene,-0.38,19,12,286,True,Anderson Luis de Carvalho - Luiz,4.0,6.0,2.0,18.0,,3.0,2.0,1.0,3.0,1.0,,,,,,,,,,
