,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.clube.id.full.name,atletas.status_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.media_num,atletas.pontos_num,atletas.nome,atletas.slug,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,DE,GS,V,PS,PC,PP,GC,DP
0,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,6,0.1,True,M. Menezes,37281,,Mano Menezes,Fluminense,7,20,266,6,9.21,5.31,7.26,Luis Antônio Venker de Menezes,mano-menezes,,,,,,,,,,,,,,,3.0,,,,,
1,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,18,0.41,True,Fábio,37656,,Fábio,Fluminense,7,20,266,1,9.18,4.08,9.0,Fábio Deivson Lopes Maciel,fabio,,,,,,,1.0,,,3.0,,,80.0,22.0,,,,,,
2,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,3,-0.11,True,T. Silva,37715,,Thiago Silva,Fluminense,7,20,266,3,11.65,6.13,6.2,Thiago Emiliano da Silva de Souza,thiago-silva,,,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,,,,,,,
3,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,2,-0.19,False,Rafinha,38144,,Rafinha,São Paulo,6,20,276,2,9.14,3.15,-1.0,Márcio Rafael Ferreira de Souza,rafinha,,2.0,3.0,1.0,,,,,,1.0,,,,,,,,,,
4,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,13,0.2,True,T. Heleno,38394,,Thiago Heleno,Athlético-PR,7,20,293,3,4.84,2.12,1.4,Thiago Heleno Henrique Ferreira,thiago-heleno,,3.0,11.0,14.0,1.0,3.0,6.0,,,3.0,,,,,,,,,,
5,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,11,-0.13,True,R. Augusto,38398,,Renato Augusto,Fluminense,6,20,266,4,4.72,1.69,0.0,Renato Soares de Oliveira Augusto,renato-augusto,,,8.0,4.0,,2.0,2.0,1.0,4.0,,,,,,,,,,,
6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,11,0.0,False,Marcelo,38402,,Marcelo,Fluminense,6,20,266,2,10.19,5.23,0.0,Marcelo Vieira da Silva Júnior,marcelo,1.0,1.0,20.0,9.0,2.0,6.0,12.0,1.0,,1.0,,2.0,,,,,,,,
7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,6,0.0,False,F. Melo,38545,,Felipe Melo,Fluminense,6,20,266,3,3.23,0.63,0.0,Felipe Melo de Carvalho,felipe-melo,,2.0,6.0,4.0,,1.0,4.0,,,,1.0,,,,,,,,,
8,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,4,0.0,False,Mariano,38877,,Mariano,Atlético-MG,6,20,282,2,4.18,0.85,0.0,Mariano Ferreira Filho,mariano,,1.0,4.0,3.0,,,1.0,,,,,,,,,,,,,
9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,13,0.16,True,Nenê,38913,,Nenê,Juventude,6,20,286,4,4.22,2.32,1.2,Anderson Luis de Carvalho - Luiz,nene,2.0,1.0,4.0,6.0,4.0,2.0,18.0,,3.0,,,1.0,,,,,,,,
10,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,14,0.52,True,Hulk,39148,,Hulk,Atlético-MG,7,20,282,5,16.63,8.2,19.1,Givanildo Vieira de Souza,hulk,3.0,2.0,4.0,17.0,6.0,22.0,38.0,7.0,6.0,,1.0,2.0,,,,,,,,
11,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,11,0.75,True,A. Franco,39656,,Alan Franco,Atlético-MG,6,20,282,4,4.09,1.81,5.6,Alan Steven Franco Palma,alan-franco,,3.0,15.0,15.0,,3.0,8.0,,,,,1.0,,,,,,,,
12,https://s.sde.globo.com/media/person_role/2021/04/28/5745220dd2c869e1f9de357e41902989_FORMATO.png,6,-0.15,True,V. Mancini,39850,,Vagner Mancini,Atlético-GO,7,20,373,6,6.49,3.03,2.92,Vagner Carmo Mancini,vagner-mancini,,,,,,,,,,,,,,,,,,,,
