,atletas.entrou_em_campo,atletas.slug,atletas.foto,atletas.apelido,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.atleta_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.variacao_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.media_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,SG,DE,GS,PS,V,PP,PC,GC,DP
0,True,mano-menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,Mano Menezes,266,6,Luis Antônio Venker de Menezes,37281,Fluminense,7,9.56,7,,8.0,0.35,M. Menezes,21,5.69,,,,,,,,,,,,,,,,4.0,,,,
1,True,fabio,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,Fábio,266,1,Fábio Deivson Lopes Maciel,37656,Fluminense,19,9.25,7,,8.5,0.07,Fábio,21,4.31,,,,,,,,2.0,,,,4.0,83.0,22.0,,,,,,
2,True,thiago-silva,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,Thiago Silva,266,3,Thiago Emiliano da Silva de Souza,37715,Fluminense,4,11.15,7,,4.9,-0.5,T. Silva,21,5.82,,1.0,,2.0,2.0,1.0,1.0,1.0,,,,4.0,,,,,,,,
3,True,rafinha,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,Rafinha,276,2,Márcio Rafael Ferreira de Souza,38144,São Paulo,3,7.95,7,,6.6,-1.19,Rafinha,21,4.3,,2.0,,4.0,3.0,,,2.0,,,,2.0,,,,,,,,
4,False,thiago-heleno,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,Thiago Heleno,293,3,Thiago Heleno Henrique Ferreira,38394,Athlético-PR,13,4.84,6,,0.0,0.0,T. Heleno,21,2.12,,3.0,,11.0,14.0,1.0,3.0,6.0,,,,3.0,,,,,,,,
5,False,renato-augusto,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,Renato Augusto,266,4,Renato Soares de Oliveira Augusto,38398,Fluminense,11,4.72,6,,0.0,0.0,R. Augusto,21,1.69,,,,8.0,4.0,,2.0,2.0,,1.0,4.0,,,,,,,,,
6,False,marcelo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,Marcelo,266,2,Marcelo Vieira da Silva Júnior,38402,Fluminense,11,10.19,6,,0.0,0.0,Marcelo,21,5.23,1.0,1.0,,20.0,9.0,2.0,6.0,12.0,2.0,1.0,,1.0,,,,,,,,
7,False,felipe-melo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,Felipe Melo,266,3,Felipe Melo de Carvalho,38545,Fluminense,6,3.23,6,,0.0,0.0,F. Melo,21,0.63,,2.0,1.0,6.0,4.0,,1.0,4.0,,,,,,,,,,,,
8,False,mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,Mariano,282,2,Mariano Ferreira Filho,38877,Atlético-MG,4,4.18,6,,0.0,0.0,Mariano,21,0.85,,1.0,,4.0,3.0,,,1.0,,,,,,,,,,,,
9,False,nene,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,Nenê,286,4,Anderson Luis de Carvalho - Luiz,38913,Juventude,13,4.22,6,,0.0,0.0,Nenê,21,2.32,2.0,1.0,,4.0,6.0,4.0,2.0,18.0,1.0,,3.0,,,,,,,,,
