,atletas.foto,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.pontos_num,atletas.slug,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.rodada_id,atletas.preco_num,atletas.clube_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,FT,CV,PS,PC,PP,DP,V,GC
0,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,9,6,Luis Antônio Venker de Menezes,5.64,mano-menezes,0.37,M. Menezes,Mano Menezes,,True,Fluminense,7,37281,5.3,23,8.96,266,,,,,,,,,,,,,,,,,,,4.0,
1,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,21,1,Fábio Deivson Lopes Maciel,7.0,fabio,0.83,Fábio,Fábio,,True,Fluminense,7,37656,4.24,23,8.84,266,,,1.0,,,,2.0,,,5.0,86.0,24.0,,,,,,,,
2,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,5,3,Thiago Emiliano da Silva de Souza,6.2,thiago-silva,-0.32,T. Silva,Thiago Silva,,True,Fluminense,7,37715,5.9,23,10.83,266,,1.0,3.0,2.0,1.0,1.0,1.0,,,5.0,,,,,,,,,,
3,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,3,2,Márcio Rafael Ferreira de Souza,0.0,rafinha,0.0,Rafinha,Rafinha,,False,São Paulo,7,38144,4.3,23,7.95,276,,2.0,4.0,3.0,,,2.0,,,2.0,,,,,,,,,,
4,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,14,3,Thiago Heleno Henrique Ferreira,0.0,thiago-heleno,0.0,T. Heleno,Thiago Heleno,,False,Athlético-PR,7,38394,2.14,23,4.91,293,,3.0,13.0,14.0,1.0,3.0,6.0,,,3.0,,,,,,,,,,
5,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,12,4,Renato Soares de Oliveira Augusto,0.0,renato-augusto,0.0,R. Augusto,Renato Augusto,,False,Fluminense,6,38398,1.55,23,4.55,266,,,8.0,4.0,,2.0,2.0,1.0,4.0,,,,,,,,,,,
6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,11,2,Marcelo Vieira da Silva Júnior,0.0,marcelo,0.0,Marcelo,Marcelo,,False,Fluminense,6,38402,5.23,23,10.19,266,1.0,1.0,20.0,9.0,2.0,6.0,12.0,1.0,,1.0,,,2.0,,,,,,,
7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,6,3,Felipe Melo de Carvalho,0.0,felipe-melo,0.0,F. Melo,Felipe Melo,,False,Fluminense,2,38545,0.63,23,3.23,266,,2.0,6.0,4.0,,1.0,4.0,,,,,,,1.0,,,,,,
8,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,5,2,Mariano Ferreira Filho,-0.8,mariano,-0.77,Mariano,Mariano,,True,Atlético-MG,6,38877,0.52,23,3.41,282,,2.0,5.0,3.0,,,1.0,,,,,,,,,1.0,,,,
9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,15,4,Anderson Luis de Carvalho - Luiz,9.7,nene,-0.05,Nenê,Nenê,,True,Juventude,6,38913,3.47,23,5.87,286,3.0,1.0,6.0,8.0,5.0,3.0,22.0,1.0,3.0,,,,2.0,,,,,,,
10,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,14,5,Givanildo Vieira de Souza,0.0,hulk,0.0,Hulk,Hulk,,False,Atlético-MG,5,39148,8.2,23,16.63,282,3.0,2.0,4.0,17.0,6.0,22.0,38.0,7.0,6.0,,,,2.0,1.0,,,,,,
11,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,14,4,Alan Steven Franco Palma,-2.2,alan-franco,-0.72,A. Franco,Alan Franco,,True,Atlético-MG,6,39656,1.4,23,2.82,282,,4.0,16.0,23.0,,3.0,12.0,,,,,,1.0,,,,,,,
12,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,21,6,Renato Portaluppi,3.22,renato-gaucho,-0.53,R. Gaúcho,Renato Gaúcho,,True,Grêmio,7,41929,4.4,23,8.11,284,,,,,,,,,,,,,,,,,,,7.0,
13,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,16,5,Osvaldo Lourenço Filho,12.6,osvaldo,1.66,Osvaldo,Osvaldo,,True,Vitória,7,42222,2.71,23,6.05,287,,1.0,8.0,10.0,7.0,5.0,21.0,2.0,1.0,,,,,,,1.0,,,,
14,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,9,1,Cássio Roberto Ramos,3.0,cassio,-1.0,Cássio,Cássio,,True,Cruzeiro,7,42234,5.17,23,10.48,283,,1.0,,,,,1.0,,,4.0,36.0,9.0,,,,,,,,
15,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,10,2,Fagner Conserva Lemos,0.0,fagner,0.0,Fagner,Fagner,,False,Corinthians,6,42500,3.77,23,6.45,264,1.0,1.0,6.0,1.0,1.0,,5.0,,,4.0,,,1.0,,,,,,,
16,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,22,6,Adenor Leonardo Bachi,4.37,tite,-0.14,Tite,Tite,,True,Flamengo,7,45125,5.71,23,10.27,262,,,,,,,,,,,,,,,,,,,12.0,
17,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,6,5,Alan Kardec de Sousa Pereira Júnior,0.0,alan-kardec,0.0,A. Kardec,Alan Kardec,,False,Atlético-MG,6,50347,0.33,23,2.57,282,,,,2.0,,2.0,2.0,,,,,,,,,,,,,
18,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,13,3,Christian Chagas Tarouco,2.3,titi,-0.13,Titi,Titi,,True,Fortaleza,3,50353,2.42,23,4.21,356,,5.0,18.0,22.0,,2.0,10.0,,1.0,3.0,,,,,,,,,,
19,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,18,1,Walter Leandro Capeloza Artune,2.0,walter,0.19,Walter,Walter,,True,Cuiabá,7,51413,3.2,23,4.92,1371,,,,,,,1.0,,,3.0,68.0,26.0,,,,,,,,
20,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,21,4,Everton Augusto de Barros Ribeiro,-0.3,everton-ribeiro,-1.43,E. Ribeiro,Everton Ribeiro,,True,Bahia,7,51772,4.09,23,7.91,265,4.0,1.0,30.0,16.0,4.0,7.0,35.0,1.0,1.0,,,,,,,,,,,
