,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.variacao_num,atletas.jogos_num,atletas.clube_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido,atletas.media_num,atletas.foto,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PS,DE,GS,SG,PP,PC,DP,V,GC
0,7.87,9.4,7,24,True,0.44,10,266,37281,M. Menezes,mano-menezes,Luis Antônio Venker de Menezes,Fluminense,6,Mano Menezes,5.56,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,,,,,,,,,,,,,,,,,,,,5.0,
1,5.0,8.62,7,24,True,-0.22,22,266,37656,Fábio,fabio,Fábio Deivson Lopes Maciel,Fluminense,1,Fábio,4.27,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,,,1.0,1.0,,,,4.0,,,,,,86.0,24.0,6.0,,,,,
2,5.2,10.63,7,24,True,-0.2,6,266,37715,T. Silva,thiago-silva,Thiago Emiliano da Silva de Souza,Fluminense,3,Thiago Silva,5.78,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,,,1.0,3.0,3.0,1.0,1.0,2.0,,,,,,,,6.0,,,,,
3,0.0,7.95,7,24,False,0.0,3,276,38144,Rafinha,rafinha,Márcio Rafael Ferreira de Souza,São Paulo,2,Rafinha,4.3,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,,,2.0,4.0,3.0,,,2.0,,,,,,,,2.0,,,,,
4,-1.1,4.31,7,24,True,-0.6,15,293,38394,T. Heleno,thiago-heleno,Thiago Heleno Henrique Ferreira,Athlético-PR,3,Thiago Heleno,1.92,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,,,4.0,13.0,16.0,1.0,3.0,7.0,,,,,,,,3.0,,,,,
5,0.0,4.55,6,24,False,0.0,12,266,38398,R. Augusto,renato-augusto,Renato Soares de Oliveira Augusto,Fluminense,4,Renato Augusto,1.55,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,,,,8.0,4.0,,2.0,2.0,,1.0,4.0,,,,,,,,,,
6,0.0,10.19,6,24,False,0.0,11,266,38402,Marcelo,marcelo,Marcelo Vieira da Silva Júnior,Fluminense,2,Marcelo,5.23,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,,1.0,1.0,20.0,9.0,2.0,6.0,12.0,2.0,1.0,,,,,,1.0,,,,,
7,5.0,4.28,6,24,True,1.05,7,266,38545,F. Melo,felipe-melo,Felipe Melo de Carvalho,Fluminense,3,Felipe Melo,1.25,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,,,2.0,6.0,4.0,,1.0,4.0,,,,1.0,,,,1.0,,,,,
8,0.0,3.41,6,24,False,0.0,5,282,38877,Mariano,mariano,Mariano Ferreira Filho,Atlético-MG,2,Mariano,0.52,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,,,2.0,5.0,3.0,,,1.0,,,,,,,,,,1.0,,,
9,0.0,5.87,3,24,False,0.0,15,286,38913,Nenê,nene,Anderson Luis de Carvalho - Luiz,Juventude,4,Nenê,3.47,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,,3.0,1.0,6.0,8.0,5.0,3.0,22.0,2.0,1.0,3.0,,,,,,,,,,
