,atletas.atleta_id,atletas.rodada_id,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.apelido_abreviado,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.slug,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.clube_id,atletas.nome,atletas.apelido,atletas.clube.id.full.name,CA,DS,FC,FD,FF,FS,SG,A,CV,FT,G,I,DE,GS,V,PC,PP,DP,PS,GC
0,37281,25,5.85,True,9.72,M. Menezes,0.32,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,8.75,mano-menezes,11,,7,6,266,Luis Antônio Venker de Menezes,Mano Menezes,Fluminense,,,,,,,,,,,,,,,6.0,,,,,
1,37656,25,4.43,True,9.08,Fábio,0.46,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,8.0,fabio,23,,7,1,266,Fábio Deivson Lopes Maciel,Fábio,Fluminense,1.0,1.0,,,,4.0,7.0,,,,,,89.0,24.0,,,,,,
2,37715,25,5.94,True,10.9,T. Silva,0.27,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,6.9,thiago-silva,7,,7,3,266,Thiago Emiliano da Silva de Souza,Thiago Silva,Fluminense,2.0,5.0,3.0,1.0,1.0,3.0,7.0,,,,,,,,,,,,,
3,38144,25,3.18,True,6.48,Rafinha,-1.47,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,-0.2,rafinha,4,,3,2,276,Márcio Rafael Ferreira de Souza,Rafinha,São Paulo,3.0,5.0,6.0,,,3.0,2.0,,,,,,,,,,,,,
4,38394,25,1.92,False,4.31,T. Heleno,0.0,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,0.0,thiago-heleno,15,,7,3,293,Thiago Heleno Henrique Ferreira,Thiago Heleno,Athlético-PR,4.0,13.0,16.0,1.0,3.0,7.0,3.0,,,,,,,,,,,,,
5,38398,25,1.55,False,4.55,R. Augusto,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,0.0,renato-augusto,12,,6,4,266,Renato Soares de Oliveira Augusto,Renato Augusto,Fluminense,,8.0,4.0,,2.0,2.0,,,,,1.0,4.0,,,,,,,,
6,38402,25,5.28,True,10.03,Marcelo,-0.16,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,5.8,marcelo,12,,6,2,266,Marcelo Vieira da Silva Júnior,Marcelo,Fluminense,1.0,20.0,9.0,2.0,7.0,12.0,2.0,1.0,,2.0,1.0,,,,,,,,,
7,38545,25,1.72,True,4.49,F. Melo,0.21,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,5.0,felipe-melo,8,,2,3,266,Felipe Melo de Carvalho,Felipe Melo,Fluminense,2.0,6.0,4.0,,1.0,4.0,2.0,,1.0,,,,,,,,,,,
8,38877,25,0.52,False,3.41,Mariano,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,0.0,mariano,5,,6,2,282,Mariano Ferreira Filho,Mariano,Atlético-MG,2.0,5.0,3.0,,,1.0,,,,,,,,,,1.0,,,,
9,38913,25,3.47,False,5.87,Nenê,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,0.0,nene,15,,7,4,286,Anderson Luis de Carvalho - Luiz,Nenê,Juventude,1.0,6.0,8.0,5.0,3.0,22.0,,3.0,,2.0,1.0,3.0,,,,,,,,
10,39148,25,8.2,False,16.63,Hulk,0.0,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,0.0,hulk,14,,7,5,282,Givanildo Vieira de Souza,Hulk,Atlético-MG,2.0,4.0,17.0,6.0,22.0,38.0,,3.0,1.0,2.0,7.0,6.0,,,,,,,,
11,39656,25,1.43,True,3.37,A. Franco,0.21,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,2.4,alan-franco,16,,7,4,282,Alan Steven Franco Palma,Alan Franco,Atlético-MG,4.0,18.0,24.0,1.0,3.0,12.0,,,,1.0,,,,,,,,,,
12,41929,25,4.52,True,8.32,R. Gaúcho,-0.41,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,4.19,renato-gaucho,23,,7,6,284,Renato Portaluppi,Renato Gaúcho,Grêmio,,,,,,,,,,,,,,,8.0,,,,,
13,42222,25,2.61,True,4.77,Osvaldo,0.15,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,2.4,osvaldo,18,,7,5,287,Osvaldo Lourenço Filho,Osvaldo,Vitória,1.0,8.0,12.0,9.0,6.0,23.0,,,,,2.0,1.0,,,,1.0,,,,
