,atletas.slug,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.entrou_em_campo,atletas.media_num,atletas.preco_num,atletas.atleta_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.status_id,atletas.foto,atletas.rodada_id,atletas.clube_id,atletas.apelido_abreviado,V,CA,DE,FS,GS,SG,A,DS,FC,FD,FF,G,I,CV,FT,PC,PS,PP,DP,GC
0,mano-menezes,Luis Antônio Venker de Menezes,3.5,-0.26,,Mano Menezes,True,5.49,8.8,37281,6,Fluminense,13,7,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,27,266,M. Menezes,6.0,,,,,,,,,,,,,,,,,,,
1,fabio,Fábio Deivson Lopes Maciel,5.0,0.46,,Fábio,True,4.28,8.48,37656,1,Fluminense,25,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,27,266,Fábio,,2.0,98.0,4.0,27.0,7.0,,1.0,,,,,,,,,,,,
2,thiago-silva,Thiago Emiliano da Silva de Souza,0.0,0.0,,Thiago Silva,False,5.5,10.15,37715,3,Fluminense,8,2,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,27,266,T. Silva,,2.0,,3.0,,7.0,,7.0,3.0,1.0,1.0,,,,,,,,,
3,rafinha,Márcio Rafael Ferreira de Souza,0.0,0.0,,Rafinha,False,3.18,6.48,38144,2,São Paulo,4,7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,27,276,Rafinha,,3.0,,3.0,,2.0,,5.0,6.0,,,,,,,,,,,
4,thiago-heleno,Thiago Heleno Henrique Ferreira,7.4,1.14,,Thiago Heleno,True,2.26,5.45,38394,3,Athlético-PR,16,7,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,27,293,T. Heleno,,4.0,,7.0,,4.0,,15.0,16.0,1.0,3.0,,,,,,,,,
5,renato-augusto,Renato Soares de Oliveira Augusto,0.0,0.0,,Renato Augusto,False,1.55,4.55,38398,4,Fluminense,12,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,27,266,R. Augusto,,,,2.0,,,,8.0,4.0,,2.0,1.0,4.0,,,,,,,
6,marcelo,Marcelo Vieira da Silva Júnior,4.3,0.38,,Marcelo,True,4.77,9.37,38402,2,Fluminense,14,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,27,266,Marcelo,,2.0,,15.0,,2.0,1.0,22.0,11.0,3.0,7.0,1.0,,,2.0,,,,,
7,felipe-melo,Felipe Melo de Carvalho,-1.0,-0.34,,Felipe Melo,True,1.25,3.37,38545,3,Fluminense,10,3,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,27,266,F. Melo,,3.0,,4.0,,2.0,,6.0,5.0,,1.0,,,1.0,,,,,,
8,mariano,Mariano Ferreira Filho,6.1,0.77,,Mariano,True,1.49,4.45,38877,2,Atlético-MG,7,6,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,27,282,Mariano,,2.0,,3.0,,1.0,,7.0,5.0,,,,,,,1.0,,,,
9,nene,Anderson Luis de Carvalho - Luiz,3.5,0.55,,Nenê,True,3.17,4.93,38913,4,Juventude,17,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,27,286,Nenê,,2.0,,23.0,,,3.0,6.0,10.0,5.0,3.0,1.0,3.0,,3.0,,,,,
10,hulk,Givanildo Vieira de Souza,9.5,0.2,,Hulk,True,8.13,15.04,39148,5,Atlético-MG,16,7,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,27,282,Hulk,,2.0,,47.0,,,3.0,4.0,18.0,8.0,23.0,8.0,7.0,1.0,2.0,,,,,
11,alan-franco,Alan Steven Franco Palma,0.2,-0.37,,Alan Franco,True,1.36,3.0,39656,4,Atlético-MG,17,7,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,27,282,A. Franco,,4.0,,12.0,,,,18.0,26.0,1.0,4.0,,,,1.0,,,,,
12,renato-gaucho,Renato Portaluppi,6.9,0.18,,Renato Gaúcho,True,4.62,8.58,41929,6,Grêmio,25,7,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,27,284,R. Gaúcho,9.0,,,,,,,,,,,,,,,,,,,
13,osvaldo,Osvaldo Lourenço Filho,0.0,0.0,,Osvaldo,False,2.61,4.77,42222,5,Vitória,18,5,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,27,287,Osvaldo,,1.0,,23.0,,,,8.0,12.0,9.0,6.0,2.0,1.0,,,1.0,,,,
14,cassio,Cássio Roberto Ramos,9.0,0.78,,Cássio,True,5.12,10.85,42234,1,Cruzeiro,13,7,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,27,283,Cássio,,2.0,54.0,3.0,12.0,5.0,,,,,,,,,,,,,,
15,fagner,Fagner Conserva Lemos,11.5,1.22,,Fagner,True,4.4,7.93,42500,2,Corinthians,12,7,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,27,264,Fagner,,1.0,,9.0,,5.0,1.0,13.0,2.0,1.0,,,,,1.0,,,,,
16,tite,Adenor Leonardo Bachi,3.98,-0.16,,Tite,True,5.39,9.91,45125,6,Flamengo,26,7,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,27,262,Tite,13.0,,,,,,,,,,,,,,,,,,,
17,alan-kardec,Alan Kardec de Sousa Pereira Júnior,0.8,-0.06,,Alan Kardec,True,0.36,2.39,50347,5,Atlético-MG,9,6,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,27,282,A. Kardec,,,,3.0,,,,,2.0,,3.0,,,,,,,,,
18,titi,Christian Chagas Tarouco,0.0,0.0,,Titi,False,2.42,4.21,50353,3,Fortaleza,13,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,27,356,Titi,,5.0,,10.0,,3.0,,18.0,22.0,,2.0,,1.0,,,,,,,
19,walter,Walter Leandro Capeloza Artune,7.0,0.51,,Walter,True,3.08,5.43,51413,1,Cuiabá,22,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,27,1371,Walter,,1.0,83.0,1.0,35.0,4.0,,,,,,,,,,,,,,
20,everton-ribeiro,Everton Augusto de Barros Ribeiro,3.1,-1.31,,Everton Ribeiro,True,4.27,8.28,51772,4,Bahia,25,7,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,27,265,E. Ribeiro,,1.0,,46.0,,,4.0,38.0,23.0,4.0,7.0,2.0,1.0,,,,,,,
21,fernando,Fernando Francisco Reges,1.5,-0.29,,Fernando,True,2.21,5.15,52271,4,Internacional,13,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,27,285,Fernando,,3.0,,4.0,,,,21.0,13.0,,1.0,1.0,2.0,,,,,,,
