,atletas.pontos_num,atletas.status_id,atletas.apelido_abreviado,atletas.preco_num,atletas.variacao_num,atletas.media_num,atletas.nome,atletas.slug,atletas.foto,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.clube_id,atletas.rodada_id,atletas.posicao_id,atletas.apelido,atletas.jogos_num,atletas.atleta_id,CA,DE,DS,FS,GS,SG,FC,FD,FF,A,CV,FT,G,I,PC,V,PP,PS,DP,GC
0,2.42,7,M. Menezes,8.7,-0.1,5.27,Luis Antônio Venker de Menezes,mano-menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,True,Fluminense,,266,28,6,Mano Menezes,14,37281,,,,,,,,,,,,,,,,6.0,,,,
1,5.0,7,Fábio,8.63,0.15,4.31,Fábio Deivson Lopes Maciel,fabio,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,True,Fluminense,,266,28,1,Fábio,26,37656,2.0,104.0,1.0,4.0,28.0,7.0,,,,,,,,,,,,,,
2,0.0,2,T. Silva,10.15,0.0,5.5,Thiago Emiliano da Silva de Souza,thiago-silva,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,False,Fluminense,,266,28,3,Thiago Silva,8,37715,2.0,,7.0,3.0,,7.0,3.0,1.0,1.0,,,,,,,,,,,
3,-1.3,7,Rafinha,5.55,-0.93,2.28,Márcio Rafael Ferreira de Souza,rafinha,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,True,São Paulo,,276,28,2,Rafinha,5,38144,4.0,,5.0,3.0,,2.0,7.0,,,,,,,,,,,,,
4,1.2,7,T. Heleno,4.73,-0.72,2.2,Thiago Heleno Henrique Ferreira,thiago-heleno,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,True,Athlético-PR,,293,28,3,Thiago Heleno,17,38394,4.0,,16.0,7.0,,4.0,16.0,1.0,3.0,,,,,,,,,,,
5,0.0,6,R. Augusto,4.55,0.0,1.55,Renato Soares de Oliveira Augusto,renato-augusto,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,False,Fluminense,,266,28,4,Renato Augusto,12,38398,,,8.0,2.0,,,4.0,,2.0,,,,1.0,4.0,,,,,,
6,0.0,2,Marcelo,9.37,0.0,4.77,Marcelo Vieira da Silva Júnior,marcelo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,False,Fluminense,,266,28,2,Marcelo,14,38402,2.0,,22.0,15.0,,2.0,11.0,3.0,7.0,1.0,,2.0,1.0,,,,,,,
7,0.0,6,F. Melo,3.37,0.0,1.25,Felipe Melo de Carvalho,felipe-melo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,False,Fluminense,,266,28,3,Felipe Melo,10,38545,3.0,,6.0,4.0,,2.0,5.0,,1.0,,1.0,,,,,,,,,
8,0.0,6,Mariano,4.45,0.0,1.49,Mariano Ferreira Filho,mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,False,Atlético-MG,,282,28,2,Mariano,7,38877,2.0,,7.0,3.0,,1.0,5.0,,,,,,,,1.0,,,,,
9,1.7,7,Nenê,4.76,-0.17,3.09,Anderson Luis de Carvalho - Luiz,nene,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,True,Juventude,,286,28,4,Nenê,18,38913,2.0,,7.0,24.0,,,10.0,5.0,3.0,3.0,,3.0,1.0,3.0,,,,,,
