,atletas.jogos_num,atletas.nome,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.slug,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PP,PS,DE,GS,SG,V,PC,DP,GC
0,15,Luis Antônio Venker de Menezes,Mano Menezes,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,7,8.64,37281,29,M. Menezes,266,5.49,,0.88,9.58,True,Fluminense,6,mano-menezes,,,,,,,,,,,,,,,,,7.0,,,
1,27,Fábio Deivson Lopes Maciel,Fábio,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,7,9.0,37656,29,Fábio,266,4.48,,0.57,9.2,True,Fluminense,1,fabio,,2.0,,1.0,,,,4.0,,,,,,108.0,28.0,8.0,,,,
2,8,Thiago Emiliano da Silva de Souza,Thiago Silva,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,2,0.0,37715,29,T. Silva,266,5.5,,0.0,10.15,False,Fluminense,3,thiago-silva,,2.0,,7.0,3.0,1.0,1.0,3.0,,,,,,,,7.0,,,,
3,6,Márcio Rafael Ferreira de Souza,Rafinha,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,7,0.0,38144,29,Rafinha,276,1.9,,-0.21,5.34,True,São Paulo,2,rafinha,,4.0,,5.0,7.0,,,3.0,,,,,,,,2.0,,,,
4,17,Thiago Heleno Henrique Ferreira,Thiago Heleno,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,7,0.0,38394,29,T. Heleno,293,2.2,,0.0,4.73,False,Athlético-PR,3,thiago-heleno,,4.0,,16.0,16.0,1.0,3.0,7.0,,,,,,,,4.0,,,,
5,12,Renato Soares de Oliveira Augusto,Renato Augusto,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,6,0.0,38398,29,R. Augusto,266,1.55,,0.0,4.55,False,Fluminense,4,renato-augusto,,,,8.0,4.0,,2.0,2.0,,1.0,4.0,,,,,,,,,
6,15,Marcelo Vieira da Silva Júnior,Marcelo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,3,7.3,38402,29,Marcelo,266,4.94,,0.58,9.95,True,Fluminense,2,marcelo,1.0,3.0,,25.0,12.0,3.0,7.0,15.0,2.0,1.0,,,,,,3.0,,,,
7,10,Felipe Melo de Carvalho,Felipe Melo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,6,0.0,38545,29,F. Melo,266,1.25,,0.0,3.37,False,Fluminense,3,felipe-melo,,3.0,1.0,6.0,5.0,,1.0,4.0,,,,,,,,2.0,,,,
8,7,Mariano Ferreira Filho,Mariano,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,6,0.0,38877,29,Mariano,282,1.49,,0.0,4.45,False,Atlético-MG,2,mariano,,2.0,,7.0,5.0,,,3.0,,,,,,,,1.0,,1.0,,
9,18,Anderson Luis de Carvalho - Luiz,Nenê,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,6,0.0,38913,29,Nenê,286,3.09,,0.0,4.76,False,Juventude,4,nene,3.0,2.0,,7.0,10.0,5.0,3.0,24.0,3.0,1.0,3.0,,,,,,,,,
10,17,Givanildo Vieira de Souza,Hulk,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,7,0.0,39148,29,Hulk,282,8.26,,0.0,15.45,False,Atlético-MG,5,hulk,3.0,2.0,1.0,4.0,18.0,8.0,24.0,50.0,2.0,9.0,7.0,,,,,,,,,
11,19,Alan Steven Franco Palma,Alan Franco,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,6,0.0,39656,29,A. Franco,282,1.2,,-0.02,2.9,True,Atlético-MG,4,alan-franco,,4.0,,18.0,27.0,1.0,4.0,12.0,1.0,,,,,,,,,,,
