,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FF,FS,G,DE,GS,SG,I,A,V,PC,FT,PS,CV,PP
0,Léo Condé,Vitória,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_kxDsG3A.png,leo-conde,2,L. Condé,3,287,4.92,7,3.78,,4.43,1.03,6,37457,True,Leonardo Rodrigues Condé,,,,,,,,,,,,,,,,,,
1,Fábio,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,fabio,2,Fábio,3,266,3.0,7,3.5,,11.32,-0.78,1,37656,True,Fábio Deivson Lopes Maciel,,,,,,,,10.0,3.0,,,,,,,,,
2,Rafinha,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,rafinha,0,Rafinha,3,276,0.0,6,0.0,,7.0,0.0,2,38144,False,Márcio Rafael Ferreira de Souza,,,,,,,,,,,,,,,,,,
3,Thiago Heleno,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,thiago-heleno,3,T. Heleno,3,293,6.1,5,3.67,,6.53,0.54,3,38394,True,Thiago Heleno Henrique Ferreira,1.0,2.0,3.0,,,1.0,,,,2.0,,,,,,,,
4,Renato Augusto,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,renato-augusto,0,R. Augusto,3,266,0.0,2,0.0,,7.0,0.0,4,38398,False,Renato Soares de Oliveira Augusto,,,,,,,,,,,,,,,,,,
5,Marcelo,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,marcelo,2,Marcelo,3,266,12.7,2,9.7,,12.24,2.48,2,38402,True,Marcelo Vieira da Silva Júnior,,6.0,2.0,1.0,2.0,4.0,,,,,,1.0,,,1.0,,,
6,Felipe Melo,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,felipe-melo,2,F. Melo,3,266,1.1,2,1.3,,5.0,-0.46,3,38545,True,Felipe Melo de Carvalho,1.0,2.0,2.0,,1.0,2.0,,,,,,,,,,,,
7,Mariano,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,mariano,0,Mariano,3,282,0.0,2,0.0,,6.0,0.0,2,38877,False,Mariano Ferreira Filho,,,,,,,,,,,,,,,,,,
8,Nenê,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,nene,3,Nenê,3,286,0.5,7,1.2,,3.92,-0.51,4,38913,True,Anderson Luis de Carvalho - Luiz,,1.0,1.0,1.0,1.0,2.0,,,,,3.0,,,,,,,
9,Vagner Love,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,vagner-love,1,V. Love,3,373,0.0,6,3.4,,5.1,0.0,5,38959,False,Vagner Silva de Souza,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,
10,Hulk,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,hulk,3,Hulk,3,282,7.4,6,4.6,,15.77,-0.52,5,39148,True,Givanildo Vieira de Souza,1.0,,5.0,,2.0,10.0,,,,,3.0,2.0,,,,,,
