,atletas.variacao_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.apelido,atletas.slug,atletas.pontos_num,atletas.media_num,atletas.status_id,atletas.clube_id,atletas.preco_num,atletas.posicao_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.nome,CA,DS,FC,FD,FF,FS,SG,A,FT,G,V,CV,I,PC,DE,GS,PP,PS,DP,GC
0,-0.05,Fluminense,16,Mano Menezes,mano-menezes,7.68,5.63,7,266,9.53,6,37281,M. Menezes,,True,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,30,Luis Antônio Venker de Menezes,,,,,,,,,,,8.0,,,,,,,,,
1,0.21,Fluminense,28,Fábio,fabio,10.0,4.68,7,266,9.41,1,37656,Fábio,,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,30,Fábio Deivson Lopes Maciel,2.0,1.0,,,,4.0,9.0,,,,,,,,113.0,28.0,,,,
2,0.0,Fluminense,8,Thiago Silva,thiago-silva,0.0,5.5,6,266,10.15,3,37715,T. Silva,,False,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,30,Thiago Emiliano da Silva de Souza,2.0,7.0,3.0,1.0,1.0,3.0,7.0,,,,,,,,,,,,,
3,0.0,São Paulo,6,Rafinha,rafinha,0.0,1.9,6,276,5.34,2,38144,Rafinha,,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,30,Márcio Rafael Ferreira de Souza,4.0,5.0,7.0,,,3.0,2.0,,,,,,,,,,,,,
4,0.16,Athlético-PR,18,Thiago Heleno,thiago-heleno,2.7,2.23,7,293,4.89,3,38394,T. Heleno,,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,30,Thiago Heleno Henrique Ferreira,5.0,18.0,16.0,1.0,4.0,8.0,4.0,,,,,,,,,,,,,
5,-0.18,Fluminense,13,Renato Augusto,renato-augusto,-0.3,1.41,6,266,4.37,4,38398,R. Augusto,,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,30,Renato Soares de Oliveira Augusto,,8.0,5.0,,2.0,2.0,,,,1.0,,,4.0,,,,,,,
6,0.0,Fluminense,15,Marcelo,marcelo,0.0,4.94,6,266,9.95,2,38402,Marcelo,,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,30,Marcelo Vieira da Silva Júnior,3.0,25.0,12.0,3.0,7.0,15.0,3.0,1.0,2.0,1.0,,,,,,,,,,
7,0.0,Fluminense,10,Felipe Melo,felipe-melo,0.0,1.25,6,266,3.37,3,38545,F. Melo,,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,30,Felipe Melo de Carvalho,3.0,6.0,5.0,,1.0,4.0,2.0,,,,,1.0,,,,,,,,
8,-0.56,Atlético-MG,8,Mariano,mariano,1.4,1.48,7,282,3.89,2,38877,Mariano,,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,30,Mariano Ferreira Filho,2.0,8.0,6.0,,,4.0,1.0,,,,,,,1.0,,,,,,
9,0.0,Juventude,18,Nenê,nene,0.0,3.09,6,286,4.76,4,38913,Nenê,,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,30,Anderson Luis de Carvalho - Luiz,2.0,7.0,10.0,5.0,3.0,24.0,,3.0,3.0,1.0,,,3.0,,,,,,,
10,0.0,Atlético-MG,17,Hulk,hulk,0.0,8.26,6,282,15.45,5,39148,Hulk,,False,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,30,Givanildo Vieira de Souza,2.0,4.0,18.0,8.0,24.0,50.0,,3.0,2.0,9.0,,1.0,7.0,,,,,,,
11,0.0,Atlético-MG,19,Alan Franco,alan-franco,0.0,1.2,6,282,2.9,4,39656,A. Franco,,False,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,30,Alan Steven Franco Palma,4.0,18.0,27.0,1.0,4.0,12.0,,,1.0,,,,,,,,,,,
12,-0.49,Grêmio,28,Renato Gaúcho,renato-gaucho,3.07,4.63,7,284,8.22,6,41929,R. Gaúcho,,True,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,30,Renato Portaluppi,,,,,,,,,,,10.0,,,,,,,,,
13,0.0,Vitória,18,Osvaldo,osvaldo,0.0,2.61,5,287,4.77,5,42222,Osvaldo,,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,30,Osvaldo Lourenço Filho,1.0,8.0,12.0,9.0,6.0,23.0,,,,2.0,,,1.0,1.0,,,,,,
14,-0.41,Cruzeiro,16,Cássio,cassio,2.0,4.66,7,283,9.75,1,42234,Cássio,,True,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,30,Cássio Roberto Ramos,2.0,,,,,3.0,5.0,,,,,,,,65.0,15.0,,,,
15,0.0,Corinthians,13,Fagner,fagner,0.0,3.73,6,264,5.77,2,42500,Fagner,,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,30,Fagner Conserva Lemos,1.0,13.0,3.0,1.0,,9.0,5.0,1.0,1.0,,,1.0,,1.0,,,,,,
16,0.2,Atlético-MG,12,Alan Kardec,alan-kardec,1.6,0.4,7,282,2.37,5,50347,A. Kardec,,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,30,Alan Kardec de Sousa Pereira Júnior,,,3.0,1.0,4.0,3.0,,,,,,,1.0,,,,,,,
