,atletas.clube.id.full.name,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.status_id,atletas.apelido,atletas.entrou_em_campo,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.media_num,atletas.atleta_id,atletas.slug,atletas.nome,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.pontos_num,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PC,SG,DE,GS,V,PS,GC,PP,DP
0,Fluminense,6,,6,Mano Menezes,True,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,M. Menezes,-0.49,5.5,37281,mano-menezes,Luis Antônio Venker de Menezes,266,9.04,31,17,3.5,,,,,,,,,,,,,,,,8.0,,,,
1,Fluminense,1,,6,Fábio,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,Fábio,-1.42,4.48,37656,fabio,Fábio Deivson Lopes Maciel,266,7.99,31,29,-1.0,,2.0,,1.0,,,,4.0,,,,,9.0,114.0,30.0,,,,,
2,Fluminense,3,,6,Thiago Silva,False,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,T. Silva,0.0,5.5,37715,thiago-silva,Thiago Emiliano da Silva de Souza,266,10.15,31,8,0.0,,2.0,,7.0,3.0,1.0,1.0,3.0,,,,,7.0,,,,,,,
3,São Paulo,2,,6,Rafinha,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,Rafinha,0.0,1.9,38144,rafinha,Márcio Rafael Ferreira de Souza,276,5.34,31,6,0.0,,4.0,,5.0,7.0,,,3.0,,,,,2.0,,,,,,,
4,Athlético-PR,3,,7,Thiago Heleno,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,T. Heleno,0.52,2.42,38394,thiago-heleno,Thiago Heleno Henrique Ferreira,293,5.41,31,19,5.8,,5.0,,18.0,16.0,1.0,5.0,8.0,,,,,5.0,,,,,,,
5,Fluminense,4,,6,Renato Augusto,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,R. Augusto,0.0,1.41,38398,renato-augusto,Renato Soares de Oliveira Augusto,266,4.37,31,13,0.0,,,,8.0,5.0,,2.0,2.0,,1.0,4.0,,,,,,,,,
6,Fluminense,2,,6,Marcelo,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,Marcelo,-1.04,4.63,38402,marcelo,Marcelo Vieira da Silva Júnior,266,8.91,31,16,0.0,1.0,3.0,,25.0,12.0,3.0,7.0,15.0,2.0,1.0,,,3.0,,,,,,,
7,Fluminense,3,,6,Felipe Melo,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,F. Melo,0.0,1.25,38545,felipe-melo,Felipe Melo de Carvalho,266,3.37,31,10,0.0,,3.0,1.0,6.0,5.0,,1.0,4.0,,,,,2.0,,,,,,,
8,Atlético-MG,2,,3,Mariano,False,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,Mariano,-0.12,1.36,38877,mariano,Mariano Ferreira Filho,282,3.77,31,8,-1.0,,3.0,,8.0,6.0,,,4.0,,,,1.0,1.0,,,,,,,
9,Juventude,4,,3,Nenê,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,Nenê,-0.74,2.77,38913,nene,Anderson Luis de Carvalho - Luiz,286,4.02,31,19,-3.0,3.0,2.0,1.0,7.0,10.0,5.0,3.0,24.0,3.0,1.0,3.0,,,,,,,,,
10,Atlético-MG,5,,6,Hulk,False,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,Hulk,0.0,8.26,39148,hulk,Givanildo Vieira de Souza,282,15.45,31,17,0.0,3.0,2.0,1.0,4.0,18.0,8.0,24.0,50.0,2.0,9.0,7.0,,,,,,,,,
11,Atlético-MG,4,,7,Alan Franco,False,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,A. Franco,0.0,1.2,39656,alan-franco,Alan Steven Franco Palma,282,2.9,31,19,0.0,,4.0,,18.0,27.0,1.0,4.0,12.0,1.0,,,,,,,,,,,
12,Grêmio,6,,6,Renato Gaúcho,True,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,R. Gaúcho,0.67,4.73,41929,renato-gaucho,Renato Portaluppi,284,8.89,31,29,7.45,,,,,,,,,,,,,,,,11.0,,,,
13,Vitória,5,,5,Osvaldo,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,Osvaldo,0.0,2.61,42222,osvaldo,Osvaldo Lourenço Filho,287,4.77,31,18,0.0,,1.0,,8.0,12.0,9.0,6.0,23.0,,2.0,1.0,1.0,,,,,,,,
14,Cruzeiro,1,,7,Cássio,False,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,Cássio,0.0,4.66,42234,cassio,Cássio Roberto Ramos,283,9.75,31,16,0.0,,2.0,,,,,,3.0,,,,,5.0,65.0,15.0,,,,,
15,Corinthians,2,,7,Fagner,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,Fagner,0.0,3.73,42500,fagner,Fagner Conserva Lemos,264,5.77,31,13,0.0,1.0,1.0,1.0,13.0,3.0,1.0,,9.0,1.0,,,1.0,5.0,,,,,,,
16,Atlético-MG,5,,6,Alan Kardec,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,A. Kardec,0.29,0.61,50347,alan-kardec,Alan Kardec de Sousa Pereira Júnior,282,2.66,31,13,3.1,,,,2.0,4.0,1.0,4.0,5.0,,,1.0,,,,,,,,,
17,Fortaleza,3,,7,Titi,True,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,Titi,-0.16,2.01,50353,titi,Christian Chagas Tarouco,356,3.62,31,15,-0.9,,6.0,,19.0,27.0,,2.0,12.0,,,1.0,1.0,3.0,,,,,,,
18,Cuiabá,1,,7,Walter,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,Walter,-0.99,3.49,51413,walter,Walter Leandro Capeloza Artune,1371,5.08,31,26,1.0,,1.0,,,,,,1.0,,,,,6.0,98.0,37.0,,,,,
19,Bahia,4,,7,Everton Ribeiro,True,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,E. Ribeiro,0.85,4.22,51772,everton-ribeiro,Everton Augusto de Barros Ribeiro,265,8.78,31,28,6.2,4.0,3.0,,45.0,28.0,7.0,7.0,52.0,,2.0,1.0,,,,,,,,,
20,Internacional,4,,6,Fernando,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Fernando,0.0,2.34,52271,fernando,Fernando Francisco Reges,285,5.36,31,15,0.0,,4.0,,23.0,14.0,1.0,1.0,6.0,1.0,1.0,2.0,,,,,,,,,
21,Flamengo,3,,7,David Luiz,False,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,D. Luiz,0.0,2.44,52827,david-luiz,David Luiz Moreira Marinho,262,5.91,31,18,0.0,,4.0,,7.0,18.0,3.0,6.0,7.0,1.0,2.0,,1.0,3.0,,,,,,,
22,Vasco,4,,6,Alex Teixeira,True,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,A. Teixeira,0.43,2.0,60793,alex-teixeira,Alex Teixeira Santos,267,5.12,31,2,3.5,,,,3.0,,,,1.0,,,1.0,,,,,,,,,
23,Vasco,4,,6,Souza,False,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,Souza,0.0,-0.5,60803,souza,Josef de Souza Dias,267,3.57,31,4,0.0,,1.0,1.0,2.0,3.0,,,1.0,,,,,,,,,,,,
24,Bahia,2,,6,Cicinho,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Cicinho,0.0,1.32,61106,cicinho,Neuciano de Jesus Gusmão,265,4.32,31,4,0.0,,1.0,,1.0,3.0,,,2.0,,,,,1.0,,,,,,,
25,Juventude,5,,7,Gilberto,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Gilberto,0.54,2.44,61188,gilberto,Gilberto Oliveira Souza Júnior,286,4.92,31,18,8.4,1.0,3.0,,6.0,19.0,7.0,10.0,11.0,1.0,2.0,5.0,,,,,,,,,
26,Internacional,1,,6,Fabrício,False,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Fabrício,0.0,4.13,61228,fabricio,Fabrício Barros Santana,285,5.96,31,8,0.0,,,,,,,,,,,,,3.0,26.0,8.0,,,,,
27,Flamengo,2,,6,Alex Sandro,False,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,A. Sandro,0.0,2.17,61987,alex-sandro,Alex Sandro Lobo Silva,262,6.94,31,3,0.0,,,,1.0,5.0,,1.0,2.0,,,,,1.0,,,,,,,
28,Fluminense,4,,6,Ganso,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Ganso,0.46,3.18,62977,ganso,Paulo Henrique Chagas de Lima,266,6.61,31,26,1.0,5.0,10.0,,23.0,18.0,6.0,4.0,31.0,,3.0,1.0,,,,,,,,1.0,
