,atletas.status_id,atletas.posicao_id,atletas.pontos_num,atletas.atleta_id,atletas.variacao_num,atletas.apelido,atletas.preco_num,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.jogos_num,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube_id,atletas.media_num,atletas.rodada_id,atletas.foto,CA,DS,FC,FF,FS,I,SG,A,G,DE,GS,V,FD,FT,CV,PC,PS,DP,PP,GC
0,6,6,0.0,37281,0.0,Mano Menezes,9.04,M. Menezes,Luis Antônio Venker de Menezes,mano-menezes,17,Fluminense,,False,266,5.5,32,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,,,,,,,,,,,,8.0,,,,,,,,
1,6,1,0.0,37656,0.0,Fábio,7.99,Fábio,Fábio Deivson Lopes Maciel,fabio,29,Fluminense,,False,266,4.48,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,2.0,1.0,,,4.0,,9.0,,,114.0,30.0,,,,,,,,,
2,6,3,0.0,37715,0.0,Thiago Silva,10.15,T. Silva,Thiago Emiliano da Silva de Souza,thiago-silva,8,Fluminense,,False,266,5.5,32,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,2.0,7.0,3.0,1.0,3.0,,7.0,,,,,,1.0,,,,,,,
3,6,2,5.0,38144,0.68,Rafinha,6.02,Rafinha,Márcio Rafael Ferreira de Souza,rafinha,7,São Paulo,,True,276,2.34,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,4.0,5.0,7.0,,3.0,,3.0,,,,,,,,,,,,,
4,7,3,0.7,38394,-0.75,Thiago Heleno,4.66,T. Heleno,Thiago Heleno Henrique Ferreira,thiago-heleno,20,Athlético-PR,,True,293,2.33,32,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,5.0,18.0,18.0,6.0,9.0,,5.0,,,,,,1.0,,,,,,,
5,6,4,0.0,38398,0.0,Renato Augusto,4.37,R. Augusto,Renato Soares de Oliveira Augusto,renato-augusto,13,Fluminense,,False,266,1.41,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,,8.0,5.0,2.0,2.0,4.0,,,1.0,,,,,,,,,,,
6,6,3,0.0,38545,0.0,Felipe Melo,3.37,F. Melo,Felipe Melo de Carvalho,felipe-melo,10,Fluminense,,False,266,1.25,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,3.0,6.0,5.0,1.0,4.0,,2.0,,,,,,,,1.0,,,,,
7,6,2,0.0,38877,0.0,Mariano,3.77,Mariano,Mariano Ferreira Filho,mariano,8,Atlético-MG,,False,282,1.36,32,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,3.0,8.0,6.0,,4.0,,1.0,,,,,,,,,1.0,,,,
8,6,4,0.0,38913,0.0,Nenê,4.02,Nenê,Anderson Luis de Carvalho - Luiz,nene,19,Juventude,,False,286,2.77,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,2.0,7.0,10.0,3.0,24.0,3.0,,3.0,1.0,,,,5.0,3.0,1.0,,,,,
9,6,5,0.0,39148,0.0,Hulk,15.45,Hulk,Givanildo Vieira de Souza,hulk,17,Atlético-MG,,False,282,8.26,32,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,2.0,4.0,18.0,24.0,50.0,7.0,,3.0,9.0,,,,8.0,2.0,1.0,,,,,
10,6,4,0.0,39656,0.0,Alan Franco,2.9,A. Franco,Alan Steven Franco Palma,alan-franco,19,Atlético-MG,,False,282,1.2,32,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,4.0,18.0,27.0,4.0,12.0,,,,,,,,1.0,1.0,,,,,,
11,6,6,0.0,41929,0.0,Renato Gaúcho,8.89,R. Gaúcho,Renato Portaluppi,renato-gaucho,29,Grêmio,,False,284,4.73,32,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,,,,,,,,,,,,11.0,,,,,,,,
12,5,5,0.0,42222,0.0,Osvaldo,4.77,Osvaldo,Osvaldo Lourenço Filho,osvaldo,18,Vitória,,False,287,2.61,32,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,1.0,8.0,12.0,6.0,23.0,1.0,,,2.0,,,,9.0,,,1.0,,,,
13,7,1,1.0,42234,-0.34,Cássio,9.41,Cássio,Cássio Roberto Ramos,cassio,17,Cruzeiro,,True,283,4.44,32,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,2.0,,,,3.0,,5.0,,,67.0,16.0,,,,,,,,,
14,7,2,0.0,42500,0.0,Fagner,5.77,Fagner,Fagner Conserva Lemos,fagner,13,Corinthians,,False,264,3.73,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,1.0,13.0,3.0,,9.0,,5.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,
15,6,5,1.7,50347,-0.19,Alan Kardec,2.47,A. Kardec,Alan Kardec de Sousa Pereira Júnior,alan-kardec,14,Atlético-MG,,True,282,0.69,32,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,,3.0,4.0,4.0,6.0,1.0,,,,,,,1.0,,,,,,,
16,7,3,8.6,50353,1.34,Titi,4.96,Titi,Christian Chagas Tarouco,titi,16,Fortaleza,,True,356,2.42,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,6.0,22.0,27.0,2.0,12.0,1.0,4.0,,,,,,,,,1.0,,,,
17,7,1,8.0,51413,0.9,Walter,5.98,Walter,Walter Leandro Capeloza Artune,walter,27,Cuiabá,,True,1371,3.66,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,2.0,,,,1.0,,7.0,,,102.0,37.0,,,,,,,,,
18,7,4,4.8,51772,-0.29,Everton Ribeiro,8.49,E. Ribeiro,Everton Augusto de Barros Ribeiro,everton-ribeiro,29,Bahia,,True,265,4.24,32,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,3.0,47.0,30.0,7.0,58.0,1.0,,4.0,2.0,,,,7.0,,,,,,,
19,6,4,0.0,52271,0.0,Fernando,5.36,Fernando,Fernando Francisco Reges,fernando,15,Internacional,,False,285,2.34,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,4.0,23.0,14.0,1.0,6.0,2.0,,,1.0,,,,1.0,1.0,,,,,,
20,6,3,13.3,52827,1.44,David Luiz,7.35,D. Luiz,David Luiz Moreira Marinho,david-luiz,19,Flamengo,,True,262,3.01,32,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,5.0,8.0,19.0,6.0,8.0,1.0,4.0,,3.0,,,,3.0,1.0,,1.0,,,,
21,6,4,0.0,60793,0.0,Alex Teixeira,5.12,A. Teixeira,Alex Teixeira Santos,alex-teixeira,2,Vasco,,False,267,2.0,32,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,,3.0,,,1.0,1.0,,,,,,,,,,,,,,
22,6,4,0.0,60803,0.0,Souza,3.57,Souza,Josef de Souza Dias,souza,4,Vasco,,False,267,-0.5,32,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,1.0,2.0,3.0,,1.0,,,,,,,,,,1.0,,,,,
23,6,2,0.0,61106,0.0,Cicinho,4.32,Cicinho,Neuciano de Jesus Gusmão,cicinho,4,Bahia,,False,265,1.32,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,1.0,1.0,3.0,,2.0,,1.0,,,,,,,,,,,,,
24,7,5,2.9,61188,-0.72,Gilberto,4.2,Gilberto,Gilberto Oliveira Souza Júnior,gilberto,19,Juventude,,True,286,2.46,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,3.0,6.0,20.0,11.0,11.0,5.0,,1.0,2.0,,,,9.0,1.0,,,,,,
25,6,1,0.0,61228,0.0,Fabrício,5.96,Fabrício,Fabrício Barros Santana,fabricio,8,Internacional,,False,285,4.13,32,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,,,,,,,3.0,,,26.0,8.0,,,,,,,,,
26,6,2,3.9,61987,0.13,Alex Sandro,7.07,A. Sandro,Alex Sandro Lobo Silva,alex-sandro,4,Flamengo,,True,262,2.6,32,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,1.0,1.0,5.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,
27,6,4,0.0,62977,0.0,Ganso,6.61,Ganso,Paulo Henrique Chagas de Lima,ganso,26,Fluminense,,False,266,3.18,32,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,10.0,23.0,18.0,4.0,31.0,1.0,,5.0,3.0,,,,6.0,,,,,,1.0,
28,6,2,4.5,63013,0.51,Marcos Rocha,7.54,M. Rocha,Marcos Luis Rocha Aquino,marcos-rocha,23,Palmeiras,,True,275,4.75,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,4.0,36.0,23.0,2.0,11.0,2.0,12.0,2.0,,,,,,,,,,,,
29,7,2,1.7,63110,-0.06,Alan Ruschel,4.92,A. Ruschel,Alan Luciano Ruschel,alan-ruschel,21,Juventude,,True,286,3.6,32,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,2.0,39.0,21.0,4.0,28.0,,2.0,1.0,1.0,,,,,,1.0,,,,,
30,6,4,0.0,63289,0.0,Edenílson,4.36,Edenílson,Edenílson Andrade dos Santos,edenilson,22,Grêmio,,False,284,1.8,32,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,3.0,11.0,16.0,3.0,21.0,3.0,,1.0,1.0,,,,5.0,1.0,,,,,,
31,6,4,11.9,68685,0.34,Alan Patrick,11.38,A. Patrick,Alan Patrick Lourenço,alan-patrick,16,Internacional,,True,285,5.59,32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_gaZ38EO.png,3.0,14.0,17.0,9.0,20.0,,,2.0,6.0,,,,8.0,,,,,,1.0,
32,6,4,0.0,68708,0.0,Eduardo,6.27,Eduardo,Carlos Eduardo de Oliveira Alves,eduardo,12,Botafogo,,False,263,2.7,32,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,1.0,6.0,9.0,5.0,9.0,1.0,,1.0,2.0,,,,3.0,,,,,,1.0,
33,6,1,0.0,68872,0.0,Marcelo Lomba,4.99,M. Lomba,Marcelo Lomba do Nascimento,marcelo-lomba,1,Palmeiras,,False,275,-1.0,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,,,,,,,,,,1.0,2.0,,,,,,,,,
34,6,4,0.0,68899,0.0,Philippe Coutinho,5.87,P. Coutinho,Philippe Coutinho Correia,philippe-coutinho,8,Vasco,,False,267,2.28,32,https://s.sde.globo.com/media/person_role/2024/07/10/photo_FORMATO.png,,4.0,5.0,2.0,6.0,,,,1.0,,,,2.0,,,,,,,
35,6,5,5.2,68920,0.58,Dudu,5.91,Dudu,Eduardo Pereira Rodrigues,dudu,14,Palmeiras,,True,275,1.57,32,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,,5.0,3.0,3.0,15.0,,,,,,,,5.0,,,,1.0,,,
36,7,1,11.0,68928,1.36,Rafael,7.64,Rafael,Rafael Pires Monteiro,rafael,20,São Paulo,,True,276,3.45,32,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,1.0,,,,,,8.0,,,49.0,19.0,,,,,,,,,
37,6,1,0.0,68940,0.0,Rafael Cabral,5.34,R. Cabral,Rafael Cabral Barbosa,rafael-cabral,6,Grêmio,,False,284,2.08,32,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,,,,,1.0,,1.0,,,15.0,8.0,,,,,,,,,
38,6,5,4.2,68952,-0.35,Marinho,6.16,Marinho,Mário Sérgio Santos Costa,marinho,16,Fortaleza,,True,356,4.48,32,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,3.0,16.0,22.0,15.0,33.0,8.0,,1.0,3.0,,,,7.0,,1.0,,,,,
39,6,4,0.0,68954,0.0,Marquinhos Gabriel,2.79,M. Gabriel,Marcos Gabriel do Nascimento,marquinhos-gabriel,20,Criciúma,,False,288,1.03,32,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,3.0,9.0,7.0,6.0,11.0,3.0,,,,,,,4.0,,,,,,,
