,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.foto,atletas.posicao_id,atletas.variacao_num,atletas.entrou_em_campo,atletas.nome,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.pontos_num,atletas.clube_id,atletas.apelido,atletas.apelido_abreviado,atletas.media_num,atletas.slug,CA,DS,FC,FS,FD,FF,SG,G,I,A,CV,FT,V,PS,DE,GS,PC,PP,DP,GC
0,17,37281,,Fluminense,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,6,0.0,False,Luis Antônio Venker de Menezes,33,6,9.04,0.0,266,Mano Menezes,M. Menezes,5.5,mano-menezes,,,,,,,,,,,,,8.0,,,,,,,
1,29,37656,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,1,0.0,False,Fábio Deivson Lopes Maciel,33,6,7.99,0.0,266,Fábio,Fábio,4.48,fabio,2.0,1.0,,4.0,,,9.0,,,,,,,,114.0,30.0,,,,
2,8,37715,,Fluminense,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,3,0.0,False,Thiago Emiliano da Silva de Souza,33,6,10.15,0.0,266,Thiago Silva,T. Silva,5.5,thiago-silva,2.0,7.0,3.0,3.0,1.0,1.0,7.0,,,,,,,,,,,,,
3,7,38144,,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,2,0.0,False,Márcio Rafael Ferreira de Souza,33,6,6.02,0.0,276,Rafinha,Rafinha,2.34,rafinha,4.0,5.0,7.0,3.0,,,3.0,,,,,,,,,,,,,
4,20,38394,,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,3,0.0,False,Thiago Heleno Henrique Ferreira,33,6,4.66,0.0,293,Thiago Heleno,T. Heleno,2.33,thiago-heleno,5.0,18.0,18.0,9.0,1.0,6.0,5.0,,,,,,,,,,,,,
5,13,38398,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,4,0.0,False,Renato Soares de Oliveira Augusto,33,6,4.37,0.0,266,Renato Augusto,R. Augusto,1.41,renato-augusto,,8.0,5.0,2.0,,2.0,,1.0,4.0,,,,,,,,,,,
6,10,38545,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,3,0.0,False,Felipe Melo de Carvalho,33,6,3.37,0.0,266,Felipe Melo,F. Melo,1.25,felipe-melo,3.0,6.0,5.0,4.0,,1.0,2.0,,,,1.0,,,,,,,,,
7,8,38877,,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,2,0.0,False,Mariano Ferreira Filho,33,6,3.77,0.0,282,Mariano,Mariano,1.36,mariano,3.0,8.0,6.0,4.0,,,1.0,,,,,,,,,,1.0,,,
8,20,38913,,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,4,1.21,True,Anderson Luis de Carvalho - Luiz,33,6,5.23,6.3,286,Nenê,Nenê,2.95,nene,2.0,7.0,10.0,25.0,5.0,4.0,,1.0,3.0,4.0,1.0,3.0,,,,,,,,
9,17,39148,,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,5,0.0,False,Givanildo Vieira de Souza,33,7,15.45,0.0,282,Hulk,Hulk,8.26,hulk,2.0,4.0,18.0,50.0,8.0,24.0,,9.0,7.0,3.0,1.0,2.0,,,,,,,,
10,19,39656,,Atlético-MG,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,4,0.0,False,Alan Steven Franco Palma,33,2,2.9,0.0,282,Alan Franco,A. Franco,1.2,alan-franco,4.0,18.0,27.0,12.0,1.0,4.0,,,,,,1.0,,,,,,,,
11,29,41929,,Grêmio,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,6,0.0,False,Renato Portaluppi,33,7,8.89,0.0,284,Renato Gaúcho,R. Gaúcho,4.73,renato-gaucho,,,,,,,,,,,,,11.0,,,,,,,
12,18,42222,,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,5,0.0,False,Osvaldo Lourenço Filho,33,5,4.77,0.0,287,Osvaldo,Osvaldo,2.61,osvaldo,1.0,8.0,12.0,23.0,9.0,6.0,,2.0,1.0,,,,,,,,1.0,,,
13,18,42234,,Cruzeiro,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,1,0.49,True,Cássio Roberto Ramos,33,6,9.9,5.0,283,Cássio,Cássio,4.47,cassio,2.0,,,3.0,,,5.0,,,,,,,,73.0,17.0,,,,
14,14,42500,,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,2,0.59,True,Fagner Conserva Lemos,33,6,6.36,1.6,264,Fagner,Fagner,3.58,fagner,2.0,15.0,4.0,10.0,1.0,,5.0,,,1.0,1.0,1.0,,,,,1.0,,,
15,14,50347,,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,5,0.0,False,Alan Kardec de Sousa Pereira Júnior,33,6,2.47,0.0,282,Alan Kardec,A. Kardec,0.69,alan-kardec,,3.0,4.0,6.0,1.0,4.0,,,1.0,,,,,,,,,,,
16,17,50353,,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,3,-0.19,True,Christian Chagas Tarouco,33,6,4.77,5.9,356,Titi,Titi,2.62,titi,6.0,23.0,28.0,12.0,,2.0,5.0,,1.0,,,,,,,,1.0,,,
17,28,51413,,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,1,0.27,True,Walter Leandro Capeloza Artune,33,7,6.25,9.0,1371,Walter,Walter,3.85,walter,3.0,,,1.0,,,8.0,,,,,,,,107.0,37.0,,,,
18,30,51772,,Bahia,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,4,-0.47,True,Everton Augusto de Barros Ribeiro,33,7,8.02,1.4,265,Everton Ribeiro,E. Ribeiro,4.15,everton-ribeiro,3.0,48.0,31.0,59.0,7.0,7.0,,2.0,1.0,4.0,,,,,,,,,,
19,15,52271,,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,4,0.0,False,Fernando Francisco Reges,33,6,5.36,0.0,285,Fernando,Fernando,2.34,fernando,4.0,23.0,14.0,6.0,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,
20,19,52827,,Flamengo,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,3,0.0,False,David Luiz Moreira Marinho,33,6,7.35,0.0,262,David Luiz,D. Luiz,3.01,david-luiz,5.0,8.0,19.0,8.0,3.0,6.0,4.0,3.0,1.0,,,1.0,,,,,1.0,,,
21,3,60793,,Vasco,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,4,-0.43,True,Alex Teixeira Santos,33,6,4.69,1.7,267,Alex Teixeira,A. Teixeira,1.9,alex-teixeira,,4.0,,2.0,,,,,1.0,,,,,,,,,,,
22,4,60803,,Vasco,https://s.sde.globo.com/media/person_role/2024/07/14/photo_220x220_9cOrW1c.png,4,0.0,False,Josef de Souza Dias,33,6,3.57,0.0,267,Souza,Souza,-0.5,souza,1.0,2.0,3.0,1.0,,,,,,,1.0,,,,,,,,,
23,4,61106,,Bahia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,2,0.0,False,Neuciano de Jesus Gusmão,33,6,4.32,0.0,265,Cicinho,Cicinho,1.32,cicinho,1.0,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,
24,20,61188,,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,5,-0.29,True,Gilberto Oliveira Souza Júnior,33,7,3.91,0.8,286,Gilberto,Gilberto,2.38,gilberto,3.0,6.0,20.0,11.0,9.0,12.0,,2.0,5.0,1.0,,1.0,,,,,,,,
25,8,61228,,Internacional,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,1,0.0,False,Fabrício Barros Santana,33,6,5.96,0.0,285,Fabrício,Fabrício,4.13,fabricio,,,,,,,3.0,,,,,,,,26.0,8.0,,,,
26,4,61987,,Flamengo,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,2,0.0,False,Alex Sandro Lobo Silva,33,7,7.07,0.0,262,Alex Sandro,A. Sandro,2.6,alex-sandro,1.0,1.0,5.0,2.0,,1.0,2.0,,1.0,,,,,,,,,,,
27,26,62977,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,4,0.0,False,Paulo Henrique Chagas de Lima,33,6,6.61,0.0,266,Ganso,Ganso,3.18,ganso,10.0,23.0,18.0,31.0,6.0,4.0,,3.0,1.0,5.0,,,,,,,,1.0,,
28,23,63013,,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,2,0.0,False,Marcos Luis Rocha Aquino,33,7,7.54,0.0,275,Marcos Rocha,M. Rocha,4.75,marcos-rocha,4.0,36.0,23.0,11.0,,2.0,12.0,,2.0,2.0,,,,,,,,,,
