,atletas.clube.id.full.name,atletas.clube_id,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.atleta_id,atletas.foto,atletas.nome,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.preco_num,atletas.variacao_num,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,PC,CV,DE,GS,PP,GC,DP
0,Fluminense,266,6.26,M. Menezes,Mano Menezes,37281,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,Luis Antônio Venker de Menezes,7,mano-menezes,35,6,,True,18,5.54,9.45,0.41,,,,,,,,,,,,,8.0,,,,,,,
1,Fluminense,266,8.0,Fábio,Fábio,37656,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,Fábio Deivson Lopes Maciel,7,fabio,35,1,,True,30,4.6,9.22,1.23,,2.0,1.0,,,,4.0,,,,,10.0,,,,117.0,30.0,,,
2,Fluminense,266,7.9,T. Silva,Thiago Silva,37715,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,Thiago Emiliano da Silva,7,thiago-silva,35,3,,True,9,5.77,11.02,0.87,,2.0,9.0,3.0,1.0,1.0,4.0,,,,,8.0,,,,,,,,
3,São Paulo,276,2.7,Rafinha,Rafinha,38144,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,Márcio Rafael Ferreira de Souza,6,rafinha,35,2,,True,8,2.38,5.8,-0.22,,4.0,6.0,7.0,,,6.0,,,,,3.0,,,,,,,,
4,Athlético-PR,293,0.0,T. Heleno,Thiago Heleno,38394,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,Thiago Heleno Henrique Ferreira,7,thiago-heleno,35,3,,False,21,2.3,4.78,0.0,,5.0,18.0,19.0,1.0,6.0,9.0,,,,,6.0,,,1.0,,,,,
5,Fluminense,266,5.1,R. Augusto,Renato Augusto,38398,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,Renato Soares de Oliveira Augusto,7,renato-augusto,35,4,,True,14,1.67,5.19,0.82,,,10.0,7.0,1.0,4.0,3.0,,1.0,4.0,,,,,,,,,,
6,Fluminense,266,0.0,F. Melo,Felipe Melo,38545,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,Felipe Melo de Carvalho,6,felipe-melo,35,3,,False,10,1.25,3.37,0.0,,3.0,6.0,5.0,,1.0,4.0,,,,,2.0,,,1.0,,,,,
7,Atlético-MG,282,-4.0,Mariano,Mariano,38877,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,Mariano Ferreira Filho,6,mariano,35,2,,True,10,1.41,3.17,-1.68,,4.0,9.0,6.0,,,6.0,,,,,2.0,,1.0,1.0,,,,,
8,Juventude,286,8.5,Nenê,Nenê,38913,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,Anderson Luis de Carvalho - Luiz,6,nene,35,4,,True,22,3.09,5.67,1.2,4.0,2.0,7.0,10.0,5.0,4.0,27.0,3.0,2.0,3.0,,,,,1.0,,,,,
9,Atlético-MG,282,8.4,Hulk,Hulk,39148,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,Givanildo Vieira de Souza,6,hulk,35,5,,True,19,7.88,15.1,1.1,4.0,2.0,4.0,20.0,8.0,25.0,52.0,3.0,9.0,7.0,,,,,1.0,,,,,
10,Atlético-MG,282,0.0,A. Franco,Alan Franco,39656,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,Alan Steven Franco Palma,6,alan-franco,35,4,,True,20,1.14,2.87,-0.03,,4.0,19.0,31.0,1.0,4.0,12.0,1.0,,,,,,,,,,,,
11,Grêmio,284,3.84,R. Gaúcho,Renato Gaúcho,41929,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,Renato Portaluppi,7,renato-gaucho,35,6,,True,31,4.67,8.44,0.07,,,,,,,,,,,,,11.0,,,,,,,
12,Vitória,287,0.0,Osvaldo,Osvaldo,42222,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,Osvaldo Lourenço Filho,5,osvaldo,35,5,,False,18,2.61,4.77,0.0,,1.0,8.0,12.0,9.0,6.0,23.0,,2.0,1.0,,,,1.0,,,,,,
13,Cruzeiro,283,2.0,Cássio,Cássio,42234,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,Cássio Roberto Ramos,7,cassio,35,1,,True,19,4.34,9.55,-0.35,,2.0,,,,,3.0,,,,,5.0,,,,76.0,18.0,,,
14,Corinthians,264,0.0,Fagner,Fagner,42500,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,Fagner Conserva Lemos,6,fagner,35,2,,False,14,3.58,6.36,0.0,1.0,2.0,15.0,4.0,1.0,,10.0,1.0,,,,5.0,,1.0,1.0,,,,,
15,Atlético-MG,282,0.0,A. Kardec,Alan Kardec,50347,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,Alan Kardec de Sousa Pereira Júnior,6,alan-kardec,35,5,,False,14,0.69,2.47,0.0,,,3.0,4.0,1.0,4.0,6.0,,,1.0,,,,,,,,,,
16,Fortaleza,356,10.3,Titi,Titi,50353,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,Christian Chagas Tarouco,7,titi,35,3,,True,18,3.05,5.64,0.87,,6.0,27.0,28.0,,2.0,13.0,,,1.0,,6.0,,1.0,,,,,,
17,Cuiabá,1371,2.0,Walter,Walter,51413,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,Walter Leandro Capeloza Artune,7,walter,35,1,,True,30,3.76,5.44,-0.08,,3.0,,,,,1.0,,,,,8.0,,,,115.0,40.0,,,
18,Bahia,265,3.9,E. Ribeiro,Everton Ribeiro,51772,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,Everton Augusto de Barros Ribeiro,7,everton-ribeiro,35,4,,True,32,4.11,8.41,0.18,4.0,3.0,51.0,32.0,8.0,7.0,64.0,,2.0,1.0,,,,,,,,,,
19,Internacional,285,0.9,Fernando,Fernando,52271,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,Fernando Francisco Reges,6,fernando,35,4,,True,17,2.33,5.16,-0.35,,4.0,27.0,15.0,1.0,1.0,6.0,1.0,1.0,2.0,,,,,,,,,,
20,Flamengo,262,5.0,D. Luiz,David Luiz,52827,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_5AohPGw.png,David Luiz Moreira Marinho,6,david-luiz,35,3,,True,20,3.11,6.49,-0.86,,5.0,8.0,19.0,3.0,6.0,8.0,1.0,3.0,1.0,,5.0,,1.0,,,,,,
21,Vasco,267,0.0,A. Teixeira,Alex Teixeira,60793,https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_95Ip8xR.png,Alex Teixeira Santos,6,alex-teixeira,35,4,,True,4,1.42,4.09,-0.6,,,4.0,,,,2.0,,,1.0,,,,,,,,,,
22,Vasco,267,0.0,Souza,Souza,60803,https://s.sde.globo.com/media/person_role/2024/07/14/photo_FORMATO_9cOrW1c.png,Josef de Souza Dias,6,souza,35,4,,False,4,-0.5,3.57,0.0,,1.0,2.0,3.0,,,1.0,,,,,,,,1.0,,,,,
23,Bahia,265,0.0,Cicinho,Cicinho,61106,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_99whIvZ.png,Neuciano de Jesus Gusmão,6,cicinho,35,2,,False,4,1.32,4.32,0.0,,1.0,1.0,3.0,,,2.0,,,,,1.0,,,,,,,,
24,Juventude,286,0.5,Gilberto,Gilberto,61188,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_pf8CAXv.png,Gilberto Oliveira Souza Júnior,6,gilberto,35,5,,True,21,2.29,3.87,-0.04,1.0,3.0,6.0,21.0,9.0,13.0,11.0,1.0,2.0,5.0,,,,,,,,,,
25,Internacional,285,0.0,Fabrício,Fabrício,61228,https://s.sde.globo.com/media/person_role/2024/06/11/photo_FORMATO_zdmyueQ.png,Fabrício Barros Santana,6,fabricio,35,1,,False,8,4.13,5.96,0.0,,,,,,,,,,,,3.0,,,,26.0,8.0,,,
26,Flamengo,262,10.8,A. Sandro,Alex Sandro,61987,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_fiP7yWy.png,Alex Sandro Lobo Silva,7,alex-sandro,35,2,,True,6,3.52,7.93,2.02,,1.0,6.0,10.0,,2.0,3.0,,,2.0,,3.0,,,,,,,,
27,Fluminense,266,1.9,Ganso,Ganso,62977,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_60FyCL4.png,Paulo Henrique Chagas de Lima,6,ganso,35,4,,True,27,3.13,6.71,0.1,5.0,10.0,24.0,18.0,6.0,5.0,31.0,,3.0,2.0,,,,,,,,1.0,,
28,Palmeiras,275,9.5,M. Rocha,Marcos Rocha,63013,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XmAqO1V.png,Marcos Luis Rocha Aquino,6,marcos-rocha,35,2,,True,25,4.77,8.33,1.34,2.0,5.0,40.0,25.0,1.0,2.0,12.0,,,2.0,,13.0,,,,,,,,
29,Juventude,286,5.8,A. Ruschel,Alan Ruschel,63110,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vo1ifE5.png,Alan Luciano Ruschel,6,alan-ruschel,35,2,,True,23,3.59,5.55,0.73,1.0,3.0,45.0,22.0,,4.0,30.0,,1.0,,,2.0,,,1.0,,,,,
30,Grêmio,284,1.4,Edenílson,Edenílson,63289,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_TU1lzBm.png,Edenílson Andrade dos Santos,6,edenilson,35,4,,True,24,1.81,4.17,-0.13,1.0,3.0,14.0,18.0,5.0,3.0,23.0,1.0,1.0,3.0,,,,,,,,,,
