,atletas.atleta_id,atletas.apelido,atletas.variacao_num,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.status_id,atletas.preco_num,atletas.nome,atletas.media_num,atletas.foto,atletas.posicao_id,atletas.clube_id,atletas.slug,CA,DS,FC,FF,FS,FT,I,A,FD,G,PP,SG,CV,PC,PS,GC,V,DE,GS,DP
0,37281,Mano Menezes,-0.49,19,,True,Fluminense,2.74,36,M. Menezes,7,8.96,Luis Antônio Venker de Menezes,5.39,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,6,266,mano-menezes,,,,,,,,,,,,,,,,,8.0,,,
1,37656,Fábio,-0.79,31,,True,Fluminense,2.0,36,Fábio,7,8.43,Fábio Deivson Lopes Maciel,4.52,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,1,266,fabio,2.0,1.0,,,4.0,,,,,,,10.0,,,,,,120.0,31.0,
2,37715,Thiago Silva,-1.07,10,,True,Fluminense,1.2,36,T. Silva,7,9.95,Thiago Emiliano da Silva,5.31,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,3,266,thiago-silva,2.0,10.0,3.0,1.0,4.0,,,,1.0,,,8.0,,,,,,,,
3,38144,Rafinha,-0.08,9,,True,São Paulo,2.4,36,Rafinha,7,5.72,Márcio Rafael Ferreira de Souza,2.38,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,2,276,rafinha,4.0,8.0,7.0,,6.0,,,,,,,3.0,,,,,,,,
4,38394,Thiago Heleno,0.79,22,,True,Athlético-PR,6.7,36,T. Heleno,7,5.57,Thiago Heleno Henrique Ferreira,2.5,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,3,293,thiago-heleno,5.0,19.0,19.0,6.0,10.0,,,1.0,1.0,,,6.0,1.0,,,,,,,
5,38398,Renato Augusto,0.0,14,,False,Fluminense,0.0,36,R. Augusto,6,5.19,Renato Soares de Oliveira Augusto,1.67,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,4,266,renato-augusto,,10.0,7.0,4.0,3.0,,4.0,,1.0,1.0,,,,,,,,,,
6,38545,Felipe Melo,0.0,10,,False,Fluminense,0.0,36,F. Melo,6,3.37,Felipe Melo de Carvalho,1.25,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,3,266,felipe-melo,3.0,6.0,5.0,1.0,4.0,,,,,,,2.0,1.0,,,,,,,
7,38877,Mariano,0.0,10,,False,Atlético-MG,0.0,36,Mariano,6,3.17,Mariano Ferreira Filho,1.41,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,2,282,mariano,4.0,9.0,6.0,,6.0,,,,,,,2.0,1.0,1.0,,,,,,
8,38913,Nenê,0.0,22,,False,Juventude,0.0,36,Nenê,6,5.67,Anderson Luis de Carvalho - Luiz,3.09,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,4,286,nene,2.0,7.0,10.0,4.0,27.0,3.0,3.0,4.0,5.0,2.0,,,1.0,,,,,,,
9,39148,Hulk,0.0,19,,False,Atlético-MG,0.0,36,Hulk,7,15.1,Givanildo Vieira de Souza,7.88,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,5,282,hulk,2.0,4.0,20.0,25.0,52.0,3.0,7.0,4.0,8.0,9.0,,,1.0,,,,,,,
10,39656,Alan Franco,0.0,20,,False,Atlético-MG,0.0,36,A. Franco,7,2.87,Alan Steven Franco Palma,1.14,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,4,282,alan-franco,4.0,19.0,31.0,4.0,12.0,1.0,,,1.0,,,,,,,,,,,
11,41929,Renato Gaúcho,0.23,32,,True,Grêmio,5.43,36,R. Gaúcho,7,8.67,Renato Portaluppi,4.69,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,6,284,renato-gaucho,,,,,,,,,,,,,,,,,12.0,,,
12,42222,Osvaldo,0.0,18,,False,Vitória,0.0,36,Osvaldo,5,4.77,Osvaldo Lourenço Filho,2.61,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,5,287,osvaldo,1.0,8.0,12.0,6.0,23.0,,1.0,,9.0,2.0,,,,1.0,,,,,,
13,42234,Cássio,-0.39,20,,True,Cruzeiro,0.0,36,Cássio,7,9.16,Cássio Roberto Ramos,4.12,https://s.sde.globo.com/media/person_role/2024/05/22/photo_FORMATO.png,1,283,cassio,2.0,,,,3.0,,,,,,,5.0,,,,,,77.0,19.0,
14,42500,Fagner,0.0,14,,False,Corinthians,0.0,36,Fagner,6,6.36,Fagner Conserva Lemos,3.58,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,2,264,fagner,2.0,15.0,4.0,,10.0,1.0,,1.0,1.0,,,5.0,1.0,1.0,,,,,,
15,50347,Alan Kardec,0.0,14,,False,Atlético-MG,0.0,36,A. Kardec,6,2.47,Alan Kardec de Sousa Pereira Júnior,0.69,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_vFJpxe5.png,5,282,alan-kardec,,3.0,4.0,4.0,6.0,,1.0,,1.0,,,,,,,,,,,
16,50353,Titi,-1.39,19,,True,Fortaleza,-0.2,36,Titi,7,4.25,Christian Chagas Tarouco,2.88,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xJrxKei.png,3,356,titi,7.0,28.0,31.0,2.0,14.0,,1.0,,,,,6.0,,1.0,,,,,,
17,51413,Walter,-0.45,31,,True,Cuiabá,-1.0,36,Walter,7,4.99,Walter Leandro Capeloza Artune,3.61,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_1t3HUJH.png,1,1371,walter,3.0,,,,1.0,,,,,,,8.0,,,,,,116.0,42.0,
18,51772,Everton Ribeiro,-0.32,33,,True,Bahia,1.7,36,E. Ribeiro,6,8.09,Everton Augusto de Barros Ribeiro,4.04,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_NvwmZSj.png,4,265,everton-ribeiro,3.0,52.0,32.0,7.0,65.0,,1.0,4.0,8.0,2.0,,,,,,,,,,
19,52271,Fernando,-0.22,18,,True,Internacional,-0.1,36,Fernando,7,4.94,Fernando Francisco Reges,2.19,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OiqMDlL.png,4,285,fernando,5.0,28.0,16.0,1.0,6.0,1.0,2.0,,1.0,1.0,,,,,,,,,,
