,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.jogos_num,atletas.entrou_em_campo,atletas.foto,atletas.status_id,atletas.nome,atletas.preco_num,DS,FC,FD,FF,FS,G,I,CA,FT,A,SG,PP,CV,PC,PS,GC,V,DE,GS,DP
0,,6,266,mano-menezes,Mano Menezes,37281,7.4,0.57,37,5.49,Fluminense,M. Menezes,20,True,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,7,Luis Antônio Venker de Menezes,9.53,,,,,,,,,,,,,,,,,9.0,,,
1,,1,266,fabio,Fábio,37656,8.0,0.74,37,4.63,Fluminense,Fábio,32,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,7,Fábio Deivson Lopes Maciel,9.17,1.0,,,,4.0,,,2.0,,,11.0,,,,,,,123.0,31.0,
2,,3,266,thiago-silva,Thiago Silva,37715,7.5,0.76,37,5.51,Fluminense,T. Silva,11,True,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,7,Thiago Emiliano da Silva,10.71,11.0,3.0,1.0,2.0,5.0,,,2.0,,,9.0,,,,,,,,,
3,,2,276,rafinha,Rafinha,38144,0.0,0.0,37,2.38,São Paulo,Rafinha,9,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,7,Márcio Rafael Ferreira de Souza,5.72,8.0,7.0,,,6.0,,,4.0,,,3.0,,,,,,,,,
4,,3,293,thiago-heleno,Thiago Heleno,38394,2.4,-0.59,37,2.5,Athlético-PR,T. Heleno,23,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,7,Thiago Heleno Henrique Ferreira,4.98,20.0,19.0,2.0,6.0,10.0,,,5.0,,1.0,6.0,,1.0,,,,,,,
5,,4,266,renato-augusto,Renato Augusto,38398,2.6,-0.34,37,1.73,Fluminense,R. Augusto,15,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,6,Renato Soares de Oliveira Augusto,4.85,12.0,8.0,1.0,4.0,4.0,1.0,4.0,,,,,,,,,,,,,
6,,3,266,felipe-melo,Felipe Melo,38545,0.0,0.0,37,1.25,Fluminense,F. Melo,10,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,6,Felipe Melo de Carvalho,3.37,6.0,5.0,,1.0,4.0,,,3.0,,,2.0,,1.0,,,,,,,
7,,2,282,mariano,Mariano,38877,0.0,0.0,37,1.41,Atlético-MG,Mariano,10,False,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,6,Mariano Ferreira Filho,3.17,9.0,6.0,,,6.0,,,4.0,,,2.0,,1.0,1.0,,,,,,
8,,4,286,nene,Nenê,38913,1.7,-0.9,37,3.03,Juventude,Nenê,23,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,7,Anderson Luis de Carvalho - Luiz,4.77,7.0,10.0,6.0,4.0,28.0,2.0,3.0,2.0,3.0,4.0,,,1.0,,,,,,,
9,,5,282,hulk,Hulk,39148,5.5,-0.54,37,7.76,Atlético-MG,Hulk,20,True,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,7,Givanildo Vieira de Souza,14.56,4.0,21.0,9.0,27.0,58.0,9.0,7.0,2.0,3.0,4.0,,,1.0,,,,,,,
10,,4,282,alan-franco,Alan Franco,39656,0.4,0.0,37,1.1,Atlético-MG,A. Franco,21,True,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,7,Alan Steven Franco Palma,2.87,20.0,32.0,1.0,4.0,13.0,,,5.0,1.0,,,,,,,,,,,
11,,6,284,renato-gaucho,Renato Gaúcho,41929,3.0,-0.41,37,4.64,Grêmio,R. Gaúcho,33,True,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,7,Renato Portaluppi,8.26,,,,,,,,,,,,,,,,,12.0,,,
12,,5,287,osvaldo,Osvaldo,42222,0.0,0.0,37,2.61,Vitória,Osvaldo,18,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,5,Osvaldo Lourenço Filho,4.77,8.0,12.0,9.0,6.0,23.0,2.0,1.0,1.0,,,,,,1.0,,,,,,
