,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
0,mano-menezes,6,38,True,266,37281,5.6,Mano Menezes,Fluminense,7.76,7,0.12,https://s.sde.globo.com/media/person_role/2023/03/13/photo_FORMATO.png,M. Menezes,9.65,Luis Antônio Venker de Menezes,,21,,,,,,,,10.0,,,,,,,,,,,,
1,fabio,1,38,True,266,37656,4.72,Fábio,Fluminense,7.5,7,-0.01,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,Fábio,9.16,Fábio Deivson Lopes Maciel,,33,3.0,1.0,,,,5.0,12.0,,,,,,,,126.0,31.0,,,,
2,thiago-silva,3,38,True,266,37715,5.86,Thiago Silva,Fluminense,9.7,7,0.47,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO_PkPCCEl.png,T. Silva,11.18,Thiago Emiliano da Silva,,12,2.0,12.0,3.0,1.0,2.0,6.0,10.0,,,,,,1.0,,,,,,,
3,rafinha,2,38,False,276,38144,2.38,Rafinha,São Paulo,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,Rafinha,5.72,Márcio Rafael Ferreira de Souza,,9,4.0,8.0,7.0,,,6.0,3.0,,,,,,,,,,,,,
4,thiago-heleno,3,38,True,293,38394,2.32,Thiago Heleno,Athlético-PR,-1.9,7,-0.65,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,T. Heleno,4.33,Thiago Heleno Henrique Ferreira,,24,6.0,20.0,22.0,2.0,6.0,10.0,6.0,,,,1.0,1.0,,,,,,,,
5,renato-augusto,4,38,False,266,38398,1.73,Renato Augusto,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,R. Augusto,4.85,Renato Soares de Oliveira Augusto,,15,,12.0,8.0,1.0,4.0,4.0,,,1.0,4.0,,,,,,,,,,
6,felipe-melo,3,38,False,266,38545,1.25,Felipe Melo,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,F. Melo,3.37,Felipe Melo de Carvalho,,10,3.0,6.0,5.0,,1.0,4.0,2.0,,,,1.0,,,,,,,,,
7,mariano,2,38,False,282,38877,1.41,Mariano,Atlético-MG,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,Mariano,3.17,Mariano Ferreira Filho,,10,4.0,9.0,6.0,,,6.0,2.0,,,,1.0,,,,,,,1.0,,
8,nene,4,38,True,286,38913,2.91,Nenê,Juventude,0.2,6,-0.25,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,Nenê,4.52,Anderson Luis de Carvalho - Luiz,,24,2.0,7.0,11.0,6.0,4.0,29.0,,,2.0,3.0,1.0,4.0,3.0,,,,,,,
9,hulk,5,38,True,282,39148,7.47,Hulk,Atlético-MG,1.7,7,-0.64,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,Hulk,13.92,Givanildo Vieira de Souza,,21,2.0,4.0,22.0,10.0,28.0,60.0,,,9.0,7.0,1.0,4.0,4.0,,,,1.0,,,
10,alan-franco,4,38,True,282,39656,1.2,Alan Franco,Atlético-MG,3.3,7,0.4,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_idJMCN6.png,A. Franco,3.27,Alan Steven Franco Palma,,22,5.0,23.0,33.0,1.0,4.0,13.0,,,,,,,1.0,,,,,,,
