,atletas.entrou_em_campo,atletas.foto,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.preco_num,atletas.slug,atletas.jogos_num,atletas.apelido,atletas.clube_id,atletas.rodada_id,atletas.variacao_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,CA,DS,FC,FF,FS,SG,DE,GS,A,I,G,FD,FT,PS,PP,PC,V,CV,DP,GC
0,True,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_kxDsG3A.png,,37457,4.31,leo-conde,3,Léo Condé,287,4,-0.12,1.86,L. Condé,7,6,Leonardo Rodrigues Condé,Vitória,3.14,,,,,,,,,,,,,,,,,,,,
1,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_kG7j2Bl.png,,37656,10.01,fabio,3,Fábio,266,4,-1.31,1.0,Fábio,7,1,Fábio Deivson Lopes Maciel,Fluminense,2.67,,,,,,,14.0,6.0,,,,,,,,,,,,
2,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TsrWqdM.png,,38144,7.0,rafinha,0,Rafinha,276,4,0.0,0.0,Rafinha,6,2,Márcio Rafael Ferreira de Souza,São Paulo,0.0,,,,,,,,,,,,,,,,,,,,
3,False,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_RN1xUpJ.png,,38394,6.53,thiago-heleno,3,Thiago Heleno,293,4,0.0,0.0,T. Heleno,5,3,Thiago Heleno Henrique Ferreira,Athlético-PR,3.67,1.0,2.0,3.0,,1.0,2.0,,,,,,,,,,,,,,
4,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_5yW5MSp.png,,38398,6.0,renato-augusto,1,Renato Augusto,266,4,-1.0,0.7,R. Augusto,6,4,Renato Soares de Oliveira Augusto,Fluminense,0.7,,,,1.0,,,,,,1.0,,,,,,,,,,
5,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_TeNxwE6.png,,38402,10.69,marcelo,3,Marcelo,266,4,-1.55,0.0,Marcelo,7,2,Marcelo Vieira da Silva Júnior,Fluminense,6.47,,6.0,2.0,2.0,4.0,,,,1.0,,,1.0,1.0,,,,,,,
6,True,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_7HMR4pA.png,,38545,5.21,felipe-melo,3,Felipe Melo,266,4,0.21,3.8,F. Melo,7,3,Felipe Melo de Carvalho,Fluminense,2.13,1.0,5.0,3.0,1.0,3.0,,,,,,,,,,,,,,,
7,False,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_IOyd2Qa.png,,38877,6.0,mariano,0,Mariano,282,4,0.0,0.0,Mariano,6,2,Mariano Ferreira Filho,Atlético-MG,0.0,,,,,,,,,,,,,,,,,,,,
8,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_h0cWmA3.png,,38913,3.95,nene,4,Nenê,286,4,0.03,2.4,Nenê,6,4,Anderson Luis de Carvalho - Luiz,Juventude,1.5,,2.0,2.0,1.0,5.0,,,,,3.0,,1.0,,,,,,,,
9,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_BmOmgCS.png,,38959,5.1,vagner-love,1,Vagner Love,373,4,0.0,0.0,V. Love,6,5,Vagner Silva de Souza,Atlético-GO,3.4,1.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,
10,False,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_qZNTt0n.png,,39148,15.77,hulk,3,Hulk,282,4,0.0,0.0,Hulk,7,5,Givanildo Vieira de Souza,Atlético-MG,4.6,1.0,,5.0,2.0,10.0,,,,2.0,3.0,,,,,,,,,,
11,True,https://s.sde.globo.com/media/person_role/2021/05/02/fdebad6783b5559cac6ed2d7d429e802_FORMATO.png,,39656,3.52,alan-franco,4,Alan Franco,282,4,-0.77,-0.7,A. Franco,7,4,Alan Steven Franco Palma,Atlético-MG,1.3,2.0,6.0,6.0,1.0,2.0,,,,,,,,,,,,,,,
12,True,https://s.sde.globo.com/media/person_role/2021/07/12/a1f0a8f108ede4bf4ca2033148bcb547_FORMATO.png,,41929,9.28,renato-gaucho,4,Renato Gaúcho,284,4,-1.07,1.55,R. Gaúcho,6,6,Renato Portaluppi,Grêmio,5.0,,,,,,,,,,,,,,,,,2.0,,,
13,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ehAae2c.png,,42222,5.12,osvaldo,3,Osvaldo,287,4,-0.72,0.2,Osvaldo,7,5,Osvaldo Lourenço Filho,Vitória,1.87,,1.0,2.0,,3.0,,,,,1.0,,3.0,,,,,,,,
14,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ma7sU2r.png,,42234,11.4,cassio,3,Cássio,264,4,0.0,0.0,Cássio,6,1,Cássio Roberto Ramos,Corinthians,4.33,,,,,,1.0,11.0,3.0,,,,,,,,,,,,
15,True,https://s.sde.globo.com/media/person_role/2021/04/27/0ea32497ac7f6b6b22649eecca984fec_FORMATO.png,,42411,10.72,cuca,4,Cuca,293,4,-0.68,3.89,Cuca,7,6,Alexi Stival,Athlético-PR,5.74,,,,,,,,,,,,,,,,,2.0,,,
16,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ziHCmbL.png,,42500,7.79,fagner,3,Fagner,264,4,1.64,10.4,Fagner,7,2,Fagner Conserva Lemos,Corinthians,5.2,1.0,3.0,,,,2.0,,,,,,,1.0,,,,,,,
17,True,https://s.sde.globo.com/media/person_role/2023/10/09/photo_FORMATO_KL4MJhP.png,,45125,9.9,tite,4,Tite,262,4,-0.91,2.41,Tite,7,6,Adenor Leonardo Bachi,Flamengo,4.34,,,,,,,,,,,,,,,,,2.0,,,
